Sheathing Type,Material,nail size,panel thickness,nail spacing,Vs (plf),Ga(OSB)(kips/in),Sheathed sides,LRFD(klf),ASD(klf),Assembly,OpenSeesTag,Test Program
WSP,OSB,6d,5/16in,6,360,13,1,0.288,0.18,Use 5/16in WSP on 1 side with 6d nails @ 6o.c. spacing,1,
WSP,OSB,6d,3/8in,6,400,11,1,0.32,0.2,Use 3/8in WSP on 1 side with 6d nails @ 6o.c. spacing,1,
Structural I,OSB,6d,5/16in,6,400,13,1,0.32,0.2,Use 5/16in Structural I on 1 side with 6d nails @ 6o.c. spacing,1,
WSP,OSB,8d,3/8in,6,440,17,1,0.352,0.22,Use 3/8in WSP on 1 side with 8d nails @ 6o.c. spacing,1,CUREE
Structural I,OSB,8d,3/8in,6,460,19,1,0.368,0.23,Use 3/8in Structural I on 1 side with 8d nails @ 6o.c. spacing,1,CoLA
WSP,OSB,8d,7/16in,6,480,15,1,0.384,0.24,Use 7/16in WSP on 1 side with 8d nails @ 6o.c. spacing,1,ATC 116
Structural I,OSB,8d,7/16in,6,510,16,1,0.408,0.255,Use 7/16in Structural I on 1 side with 8d nails @ 6o.c. spacing,1,
WSP,OSB,8d,15/32in,6,520,13,1,0.416,0.26,Use 15/32in WSP on 1 side with 8d nails @ 6o.c. spacing,1,
WSP,OSB,6d,5/16in,4,540,18,1,0.432,0.27,Use 5/16in WSP on 1 side with 6d nails @ 4o.c. spacing,1,
Structural I,OSB,8d,15/32in,6,560,14,1,0.448,0.28,Use 15/32in Structural I on 1 side with 8d nails @ 6o.c. spacing,1,CoLA
WSP,OSB,6d,3/8in,4,600,15,1,0.48,0.3,Use 3/8in WSP on 1 side with 6d nails @ 4o.c. spacing,1,
Structural I,OSB,6d,5/16in,4,600,18,1,0.48,0.3,Use 5/16in Structural I on 1 side with 6d nails @ 4o.c. spacing,1,
WSP,OSB,10d,15/32in,6,620,22,1,0.496,0.31,Use 15/32in WSP on 1 side with 10d nails @ 6o.c. spacing,1,CoLA
WSP,OSB,8d,3/8in,4,640,25,1,0.512,0.32,Use 3/8in WSP on 1 side with 8d nails @ 4o.c. spacing,1,
WSP,OSB,10d,19/32in,6,680,19,1,0.544,0.34,Use 19/32in WSP on 1 side with 10d nails @ 6o.c. spacing,1,
Structural I,OSB,10d,15/32in,6,680,22,1,0.544,0.34,Use 15/32in Structural I on 1 side with 10d nails @ 6o.c. spacing,1,
WSP,OSB,8d,7/16in,4,700,22,1,0.56,0.35,Use 7/16in WSP on 1 side with 8d nails @ 4o.c. spacing,1,CoLA
WSP,OSB,6d,5/16in,3,700,24,1,0.56,0.35,Use 5/16in WSP on 1 side with 6d nails @ 3o.c. spacing,1,
Structural I,OSB,8d,3/8in,4,720,24,1,0.576,0.36,Use 3/8in Structural I on 1 side with 8d nails @ 4o.c. spacing,1,CoLA
WSP,OSB,8d,15/32in,4,760,19,1,0.608,0.38,Use 15/32in WSP on 1 side with 8d nails @ 4o.c. spacing,1,
WSP,OSB,6d,3/8in,3,780,20,1,0.624,0.39,Use 3/8in WSP on 1 side with 6d nails @ 3o.c. spacing,1,CUREE
Structural I,OSB,6d,5/16in,3,780,23,1,0.624,0.39,Use 5/16in Structural I on 1 side with 6d nails @ 3o.c. spacing,1,
Structural I,OSB,8d,7/16in,4,790,21,1,0.632,0.395,Use 7/16in Structural I on 1 side with 8d nails @ 4o.c. spacing,1,
