Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(汐),Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix / 106,Zx / 103,Sx / 103,rx,Iy / 106,Zy / 103,Sy / 103,ry,Iz / 106,rz,Sz / 103,J / 103,Cw / 109,C / 103,Wno,Sw1 / 106,Sw2 / 106,Sw3 / 106,Qf / 103,Qw / 103,ro,H,tan(汐),Qs,Iw / 106,zA,zB,zC,wA,wB,wC,SwA / 103,SwB / 103,SwC / 103,SzA / 103,SzB / 103,SzC / 103,rts,ho,PA,PB
W,W44X335,W44X335,F,335,98.5,44,44,每,每,每,15.9,16,每,每,每,1.03,1,  1/2 ,1.77,1  3/4 ,每,每,每,2.56,2  5/8 ,1  5/16,每,每,每,每,每,4.5,每,每,38,每,每,31100,1620,1410,17.8,1200,236,150,3.49,每,每,每,74.7,535000,每,168,1180,每,每,278,805,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.24,42.2,132,148,W1100X499,W1100X499,499,63500,1120,1120,每,每,每,404,406,每,每,每,26.2,25.4,12.7,45,44.4,每,每,每,65,66.7,33.3,每,每,每,每,每,4.5,每,每,38,每,每,12900,26500,23100,452,499,3870,2460,88.6,每,每,每,31100,144000,每,108000,491,每,每,4560,13200,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,108,1070,3350,3760
W,W44X290,W44X290,F,290,85.4,43.6,43  5/8 ,每,每,每,15.8,15  7/8 ,每,每,每,0.865,  7/8 ,  7/16,1.58,1  9/16,每,每,每,2.36,2  7/16,1  1/4 ,每,每,每,每,每,5.02,每,每,45,每,每,27000,1410,1240,17.8,1040,205,132,3.49,每,每,每,50.9,461000,每,166,1040,每,每,248,701,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.2,42,131,147,W1100X433,W1100X433,433,55100,1110,1110,每,每,每,401,403,每,每,每,22,22.2,11.1,40.1,39.7,每,每,每,59.9,61.9,31.8,每,每,每,每,每,5.02,每,每,45,每,每,11200,23100,20300,452,433,3360,2160,88.6,每,每,每,21200,124000,每,107000,433,每,每,4060,11500,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,107,1070,3330,3730
W,W44X262,W44X262,F,262,77.2,43.3,43  1/4 ,每,每,每,15.8,15  3/4 ,每,每,每,0.785, 13/16,  7/16,1.42,1  7/16,每,每,每,2.2,2  1/4 ,1  3/16,每,每,每,每,每,5.57,每,每,49.6,每,每,24100,1270,1110,17.7,923,182,117,3.47,每,每,每,37.3,405000,每,165,928,每,每,223,630,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.17,41.9,131,147,W1100X390,W1100X390,390,49800,1100,1100,每,每,每,401,400,每,每,每,19.9,20.6,11.1,36.1,36.5,每,每,每,55.9,57.2,30.2,每,每,每,每,每,5.57,每,每,49.6,每,每,10000,20800,18200,450,384,2980,1920,88.1,每,每,每,15500,109000,每,106000,386,每,每,3650,10300,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,106,1060,3330,3730
W,W44X230,W44X230,F,230,67.8,42.9,42  7/8 ,每,每,每,15.8,15  3/4 ,每,每,每,0.71, 11/16,  3/8 ,1.22,1  1/4 ,每,每,每,2.01,2  1/16,1  3/16,每,每,每,每,每,6.45,每,每,54.8,每,每,20800,1100,971,17.5,796,157,101,3.43,每,每,每,24.9,346000,每,165,793,每,每,192,547,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.13,41.7,130,146,W1100X343,W1100X343,343,43700,1090,1090,每,每,每,401,400,每,每,每,18,17.5,9.52,31,31.8,每,每,每,51.1,52.4,30.2,每,每,每,每,每,6.45,每,每,54.8,每,每,8660,18000,15900,445,331,2570,1660,87.1,每,每,每,10400,92900,每,106000,330,每,每,3150,8960,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,105,1060,3300,3710
W,W40X593,W40X593,T,593,174,43,43,每,每,每,16.7,16  3/4 ,每,每,每,1.79,1 13/16, 15/16,3.23,3  1/4 ,每,每,每,4.41,4  1/2 ,2  1/8 ,每,每,每,每,每,2.58,每,每,19.1,每,每,50400,2760,2340,17,2520,481,302,3.8,每,每,每,445,997000,每,166,2240,每,每,479,1370,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.63,39.8,130,147,W1000X883,W1000X883,883,112000,1090,1090,每,每,每,424,425,每,每,每,45.5,46,23.8,82,82.6,每,每,每,112,114,54,每,每,每,每,每,2.58,每,每,19.1,每,每,21000,45200,38300,432,1050,7880,4950,96.5,每,每,每,185000,268000,每,107000,932,每,每,7850,22500,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,118,1010,3300,3730
W,W40X503,W40X503,T,503,148,42.1,42,每,每,每,16.4,16  3/8 ,每,每,每,1.54,1  9/16, 13/16,2.76,2  3/4 ,每,每,每,3.94,4,2,每,每,每,每,每,2.98,每,每,22.3,每,每,41600,2320,1980,16.8,2040,394,249,3.72,每,每,每,277,789000,每,161,1830,每,每,403,1150,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.5,39.3,129,145,W1000X748,W1000X748,748,95500,1070,1070,每,每,每,417,416,每,每,每,39.1,39.7,20.6,70.1,69.8,每,每,每,100,102,50.8,每,每,每,每,每,2.98,每,每,22.3,每,每,17300,38000,32400,427,849,6460,4080,94.5,每,每,每,115000,212000,每,104000,762,每,每,6600,18800,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,114,998,3280,3680
W,W40X431,W40X431,T,431,127,41.3,41  1/4 ,每,每,每,16.2,16  1/4 ,每,每,每,1.34,1  5/16, 11/16,2.36,2  3/8 ,每,每,每,3.54,3  5/8 ,1  7/8 ,每,每,每,每,每,3.44,每,每,25.5,每,每,34800,1960,1690,16.6,1690,328,208,3.65,每,每,每,177,638000,每,158,1510,每,每,341,969,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.41,38.9,127,143,W1000X642,W1000X642,642,81900,1050,1050,每,每,每,411,413,每,每,每,34,33.3,17.5,59.9,60.3,每,每,每,89.9,92.1,47.6,每,每,每,每,每,3.44,每,每,25.5,每,每,14500,32100,27700,422,703,5370,3410,92.7,每,每,每,73700,171000,每,102000,629,每,每,5590,15900,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,112,988,3230,3630
W,W40X397,W40X397,T,397,117,41,41,每,每,每,16.1,16  1/8 ,每,每,每,1.22,1  1/4 ,  5/8 ,2.2,2  3/16,每,每,每,3.38,3  1/2 ,1 13/16,每,每,每,每,每,3.66,每,每,28,每,每,32000,1800,1560,16.6,1540,300,191,3.64,每,每,每,142,579000,每,156,1380,每,每,318,891,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.38,38.8,126,142,W1000X591,W1000X591,591,75500,1040,1040,每,每,每,409,410,每,每,每,31,31.8,15.9,55.9,55.6,每,每,每,85.9,88.9,46,每,每,每,每,每,3.66,每,每,28,每,每,13300,29500,25600,422,641,4920,3130,92.5,每,每,每,59100,155000,每,101000,574,每,每,5210,14600,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,111,986,3200,3610
W,W40X372,W40X372,T,372,110,40.6,40  5/8 ,每,每,每,16.1,16  1/8 ,每,每,每,1.16,1  3/16,  5/8 ,2.05,2  1/16,每,每,每,3.23,3  5/16,1 13/16,每,每,每,每,每,3.93,每,每,29.5,每,每,29600,1680,1460,16.5,1420,277,177,3.6,每,每,每,116,528000,每,155,1280,每,每,295,829,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.33,38.6,125,141,W1000X554,W1000X554,554,71000,1030,1030,每,每,每,409,410,每,每,每,29.5,30.2,15.9,52.1,52.4,每,每,每,82,84.1,46,每,每,每,每,每,3.93,每,每,29.5,每,每,12300,27500,23900,419,591,4540,2900,91.4,每,每,每,48300,142000,每,100000,533,每,每,4830,13600,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,110,980,3180,3580
W,W40X362,W40X362,T,362,106,40.6,40  1/2 ,每,每,每,16,16,每,每,每,1.12,1  1/8 ,  9/16,2.01,2,每,每,每,3.19,3  1/4 ,1  3/4 ,每,每,每,每,每,3.99,每,每,30.5,每,每,28900,1640,1420,16.5,1380,270,173,3.6,每,每,每,109,513000,每,154,1240,每,每,289,808,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,4.33,38.6,125,141,W1000X539,W1000X539,539,68400,1030,1030,每,每,每,406,406,每,每,每,28.4,28.6,14.3,51.1,50.8,每,每,每,81,82.6,44.5,每,每,每,每,每,3.99,每,每,30.5,每,每,12000,26900,23300,419,574,4420,2830,91.4,每,每,每,45400,138000,每,99400,516,每,每,4740,13200,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,每,110,980,3180,3580
