,BuildingID,Hazard_level,SA(T1=0.3s),Max SDR Profile,Max PFA Profile,Max RDR Profile,Max PGA
0,MFD6B,1,0.1,"[0.00330136, 0.00145157, 0.00238045, 0.00121292, 0.00109842, 0.000871534, 0.000387168, 0.00062157]","[0.15568291619765848, 0.1214638586353166, 0.17637700035589912, 0.20085934016427998, 0.2236424521547344, 0.24338300161667017, 0.27021475359615804, 0.3192270581814648]","[0.00257907, 0.00084313]","[0.07479829922287845, 0.0675954037301834]"
1,MFD6B,2,0.3,"[0.00517223, 0.00463112, 0.00447133, 0.00437158, 0.002349, 0.00241458, 0.000803362, 0.00095255]","[0.4127583551023901, 0.378025776140084, 0.46844850853803965, 0.4455548755607986, 0.5013873862393816, 0.5209757428670541, 0.5171191557403056, 0.6425954179755454]","[0.00313579, 0.00231793]","[0.22439489766863538, 0.2027862111905502]"
2,MFD6B,3,0.5,"[0.00883178, 0.00851588, 0.00704729, 0.0074306, 0.0046237, 0.00470656, 0.00105472, 0.00127603]","[0.6186121050114848, 0.5261394283152842, 0.7577158378657379, 0.6946049896029827, 0.8013625685491995, 0.8028120241136151, 0.8040595912244153, 0.8439610322619677]","[0.00549243, 0.00456451]","[0.36823778078955555, 0.33277737221013365]"
3,MFD6B,4,0.7,"[0.0146927, 0.0119566, 0.00936176, 0.0107891, 0.00710897, 0.00729764, 0.0018642, 0.00210267]","[0.8331522350530405, 0.7167091869603188, 1.1151852281262007, 1.0707283553147715, 1.0752268441914752, 1.0253163948189323, 1.1207397489141215, 1.0788608363565453]","[0.0137771, 0.00826551]","[0.5178343792353125, 0.4679681796705005]"
4,MFD6B,5,0.9,"[0.0187772, 0.0146395, 0.0123132, 0.0157041, 0.00851823, 0.0093155, 0.00272881, 0.00330429]","[1.0077650409219654, 0.9621951933021453, 1.478377379552597, 1.389639639248274, 1.307652220572515, 1.293991101877899, 1.3424986853291683, 1.3801017039717187]","[0.0182169, 0.0117067]","[0.6674309776810693, 0.6031589871308672]"
5,MFD6B,6,1.1,"[0.0417028, 0.0197571, 0.0146597, 0.0207739, 0.0110019, 0.0111406, 0.00404503, 0.00493024]","[1.1676632844985653, 1.1796808241156744, 1.703697835354493, 1.6865476700512487, 1.695456645145388, 1.614952330109647, 1.6702180001300033, 1.7035503014845432]","[0.0407683, 0.0173948]","[0.8112738608019895, 0.7331501481504508]"
6,MFD6B,7,1.3,"[0.0545199, 0.0296642, 0.0170829, 0.0251598, 0.0145571, 0.0137067, 0.00555659, 0.00592947]","[1.3722125243996859, 1.478571503065688, 1.9626560135048596, 1.946388463107804, 1.9498904512839725, 1.9171922867388633, 1.9681406498280682, 1.9616232764152135]","[0.0530017, 0.0282513]","[0.9608704592477466, 0.8683409556108176]"
7,MFD6B,8,1.5,"[0.197172, 0.0655279, 0.032646, 0.0363479, 0.0149956, 0.0122185, 0.00536213, 0.00597477]","[1.6195258800780792, 1.7390774926937704, 2.1084479484634877, 2.152325039049151, 2.2594760416485657, 2.194675024665163, 2.2389118908284216, 2.2961213842931993]","[0.197172, 0.0639819]","[1.1104670576935032, 1.0035317630711842]"
8,MFD6B,9,1.7,"[0.221669, 0.136467, 0.0323685, 0.103172, 0.0118686, 0.0121115, 0.0047266, 0.00591076]","[2.061079222955688, 1.9765267855936144, 2.2851987012899255, 2.2708827392778153, 2.510022200898308, 2.4744199485973524, 2.4907470302050894, 2.5666079108076856]","[0.221669, 0.136467]","[1.2543099408144236, 1.1335229240907676]"
9,MFD6B,10,1.9,"[0.358335, 0.141555, 0.0346783, 0.0538677, 0.0131508, 0.0133341, 0.0051594, 0.00617315]","[2.513767490544217, 2.2708335613211643, 2.519278010002503, 2.485246864000834, 2.7721872994849437, 2.708359488380504, 2.742085213388244, 2.7425769929547417]","[0.358335, 0.141555]","[1.4039065392601802, 1.2687137315511345]"
