,BuildingID,Mean Functional Recovery,Std Functional Recovery,Median Functional Recovery,25th percentile FR,75th percentile FR,90th percentile FR,Mean Reoccupancy,Std Reoccupancy,Median Reoccupancy,25th percentile Reoccupancy,75th percentile Reoccupancy,90th percentile Reoccupancy,Hazard_level,SA(T1=0.3s)
0,MFD6B,1.22699,16.584294861099764,0.0,0.0,0.0,2.0,1.12555,16.527649006967085,0.0,0.0,0.0,0.0,1,0.1
1,MFD6B,12.204020000000002,55.746189051167335,2.0,0.0,8.0,12.0,8.33429,52.42903831133521,0.0,0.0,7.0,11.0,2,0.3
2,MFD6B,49.456466666666664,137.63935881685717,8.0,4.0,13.0,113.0,37.77350666666666,135.8432858729866,7.0,0.0,10.0,15.0,3,0.5
3,MFD6B,121.32780666666666,217.73606568812812,12.0,8.0,117.0,434.10000000000036,100.41433333333333,221.77912134373696,9.0,6.0,14.0,434.10000000000036,4,0.7
4,MFD6B,210.86795642681977,265.9754219510886,83.0,10.0,351.25,602.1000000000004,184.03704309348646,278.2284081754895,11.0,7.0,350.625,602.1000000000004,5,0.9
5,MFD6B,292.7391667454009,278.3901616136828,240.0,47.0,466.0,690.0,265.95062341206756,296.91159909079,219.0,9.0,465.0,690.0,6,1.1
6,MFD6B,379.34812882394255,289.33661809901463,351.08333333333337,115.75,560.0,746.5500000000002,355.5999254906092,309.7052497865193,348.0,11.0,557.0,744.0,7,1.3
7,MFD6B,431.4998945987137,277.3027968538484,406.33333333333337,241.0,614.0,770.0500000000002,412.548227932047,295.8655825881746,402.0,226.25,609.375,769.0,8,1.5
8,MFD6B,444.6575545988284,272.0940316080781,418.0,258.0,643.25,768.4000000000003,425.94445459882843,291.76061133906234,413.5,248.0,640.0,765.0,9,1.7
9,MFD6B,472.7223981739169,261.99056163878123,445.0,290.76666666666665,702.25,762.1000000000004,454.511308173917,282.41613872198946,441.0,283.0,698.25,756.0,10,1.9
10,MFD6B,472.64682532451917,265.06533613356777,444.0,291.0,697.0,788.4000000000003,456.38404865785253,284.2173556413848,441.0,286.625,694.0416666666666,786.1500000000005,11,2.1
11,MFD6B,480.6056112834489,265.8237186950895,455.29166666666663,292.0,728.25,782.0,465.988761283449,284.2732936530864,452.5,289.0,726.0,779.85,12,2.3
12,MFD6B,439.5223012297157,270.08648194102756,413.0,245.0,611.0,780.0,417.53823122971573,294.02939237552005,409.0,235.0,608.0,779.0,13,2.5
13,MFD6B,422.07294848169533,262.92210214800406,391.0,227.0,593.25,746.1000000000004,392.42076181502864,290.7764748927007,382.0,191.0,587.0,738.1000000000004,14,2.7
14,MFD6B,396.8439,266.705695475808,369.5,176.0,548.0,763.0,370.53843333333333,294.74891674118345,369.0,14.0,547.25,762.1000000000004,15,2.9
15,MFD6B,438.9594666666667,256.8572593682335,405.83333333333337,264.625,581.0,793.3250000000003,415.5914,282.34220289380914,402.0,254.0,578.0,791.1000000000004,16,3.1
16,MFD6B,471.12708,246.53736931437268,430.0,304.25,604.25,812.0,451.8379,266.9743923919192,423.1666666666667,295.0,600.0,806.183333333334,17,3.3
17,MFD6B,513.1664250806346,236.52388958876526,474.0,335.0,685.875,815.0,495.8364150806346,253.56317271605653,465.0,322.8333333333333,679.0416666666666,803.1000000000004,18,3.5
