,BuildingID,Replacement_Cost,Mean_Repair_Cost,Median_Repair_Cost,RepairCost_10th_percentile,RepairCost_25th_percentile,RepairCost_75th_percentile,RepairCost_90th_percentile,RepairCost_std,Hazard_level,SA(T1=0.3s),Max SDR,Max PFA,Max RDR,Max PGA
0,MFD6B,7133184,34687.63523180009,32143.536981181245,12086.467619154611,21144.080509094703,43532.2855806896,58824.8005530853,20650.35879173618,1,0.1,0.00330136,0.3192270581814648,0.00257907,0.07479829922287845
1,MFD6B,7133184,101194.87390474975,83372.34034875303,41801.781463150524,55480.76528235414,128724.20975470568,185919.03362658518,63791.1865725683,2,0.3,0.00517223,0.6425954179755454,0.00313579,0.22439489766863538
2,MFD6B,7133184,216820.1275320642,190854.29243029642,76408.91122256964,123221.21861362457,288617.1520014037,393278.42878012615,125609.8154454416,3,0.5,0.00883178,0.8439610322619677,0.00549243,0.36823778078955555
3,MFD6B,7133184,369751.0232903814,344542.1796686071,147283.7369289265,224312.11816840724,483624.0545485415,617560.0551695812,191370.3597917791,4,0.7,0.0146927,1.1207397489141215,0.0137771,0.5178343792353125
4,MFD6B,7133184,555731.0810251018,497628.5604067534,235092.46094407447,348441.09085816354,665510.2544132364,855431.1260450202,525749.4646030113,5,0.9,0.0187772,1.478377379552597,0.0182169,0.6674309776810693
5,MFD6B,7133184,684910.7574152153,634701.7197644005,343337.3284934114,469907.0430130131,829191.0189320918,1050259.388651207,398915.8941272842,6,1.1,0.0417028,1.703697835354493,0.0407683,0.8112738608019895
6,MFD6B,7133184,1013515.9392450342,787400.2658966698,453035.8254386993,595780.1183797168,1020897.4655396272,1298573.53568409,1152695.7172095056,7,1.3,0.0545199,1.9681406498280682,0.0530017,0.9608704592477466
7,MFD6B,7133184,1274144.0010359078,911625.8123062828,531675.1474612905,693097.6961610129,1174533.2104142795,1489877.5056836798,1486266.571913414,8,1.5,0.197172,2.2961213842931993,0.197172,1.1104670576935032
8,MFD6B,7133184,1452416.530537635,970193.5835828129,561937.561010954,734131.4960319428,1247231.517121919,1655223.5176236765,1714232.4943606805,9,1.7,0.221669,2.5666079108076856,0.221669,1.2543099408144236
9,MFD6B,7133184,1724544.3672718522,1043432.2406620583,624790.6989544424,801899.9003223497,1344270.816254908,7133161.546226954,1996491.6890239154,10,1.9,0.358335,2.7721872994849437,0.358335,1.4039065392601802
10,MFD6B,7133184,1663479.9515192553,1030436.9507139634,640209.2546484664,799304.3861241774,1334501.800647358,7133149.286750943,1917477.9835422738,11,2.1,0.232236,3.0494992087197224,0.232236,1.5535031377059374
11,MFD6B,7133184,1773635.2240561643,1060191.6642917949,652356.249599146,817382.4375768381,1386670.260498235,7133167.160289744,2026379.7349605057,12,2.3,0.325128,3.320029736563842,0.325128,1.697346020826858
12,MFD6B,7133184,1248616.3799442637,935926.387250198,636336.5770110838,762411.1771349782,1160192.6702254447,1400218.0675928604,1359652.5864077047,13,2.5,0.356042,3.604977170646881,0.356042,1.8469426192726142
13,MFD6B,7133184,1141576.03493633,850338.4124359917,687571.8658505039,759414.9815816241,959403.8118374582,1089861.8050833591,1319636.74301989,14,2.7,0.35932,3.913271192571041,0.35932,1.9965392177183716
14,MFD6B,7133184,836420.0705032357,827631.5228376512,690296.4089455148,749011.5389990748,915576.0617153427,994749.9048458107,119391.19935180909,15,2.9,0.517296,3.97888493999592,0.517296,2.140382100839292
15,MFD6B,7133184,915216.5554744274,898861.2824590132,753592.2779921397,813236.7435090275,1003229.6681813415,1099131.207455606,134904.3784516893,16,3.1,0.388604,3.700304757142278,0.388604,2.2899786992850486
16,MFD6B,7133184,983687.8445344524,968784.0785442614,805451.9520784601,870392.524305959,1080548.8371066905,1188044.2443661327,148664.83186972112,17,3.3,0.539635,3.940344951863515,0.539635,2.4395752977308054
17,MFD6B,7133184,1528491.2919175483,1053413.0788545685,864561.2046154357,938904.2597436452,1199302.4899736394,1357282.1942704334,1645710.1680684173,18,3.5,0.406379,3.995113665690358,0.406379,2.5834181808517256
