,BuildingID,Hazard_level,SA(T1=0.3s),Max SDR Profile,Max PFA Profile,Max RDR Profile,Max PGA
0,MFD6B,1,0.1,"[0.00314017, 0.00166918, 0.00213385, 0.000812505, 0.00108491, 0.000706674, 0.00034929, 0.000565676]","[0.2300288569040893, 0.23347545517118867, 0.2335248919591894, 0.26422539613891266, 0.2396374531394101, 0.2741645200091903, 0.328503573793724, 0.3889614007108973]","[0.00242513, 0.000836064]","[0.16334040713086725, 0.14654786941560463]"
1,MFD6B,2,0.2,"[0.00488874, 0.00408691, 0.00374284, 0.00367052, 0.00144323, 0.0014489, 0.000858119, 0.00151825]","[0.40500894445978314, 0.3651230333032782, 0.36528609705427495, 0.39703952716900576, 0.3380622155783425, 0.40859893529521923, 0.43422323902327886, 0.661407280550852]","[0.00312299, 0.00216624]","[0.2865916302144855, 0.2212356048927572]"
2,MFD6B,3,0.3,"[0.00638369, 0.0066047, 0.00448424, 0.00538387, 0.00209622, 0.00314678, 0.000930399, 0.00117461]","[0.6628877958773621, 0.5821790040744982, 0.7706755235997171, 0.7313305699663601, 0.8082681889882362, 0.8275744194435488, 0.9152224797610522, 1.0213329803302977]","[0.0039967, 0.00319292]","[0.5182712335467827, 0.40475062021137703]"
3,MFD6B,4,0.4,"[0.00883893, 0.00848251, 0.00693789, 0.00696393, 0.00424695, 0.00450554, 0.00109729, 0.00191186]","[0.5698094538203167, 0.5526825833386427, 0.7315324584199753, 0.6673267535433847, 0.6618680003552556, 0.6461595256759027, 0.8846726154274878, 0.6479609918773905]","[0.00722723, 0.00543407]","[0.33837406801367736, 0.5316829009387628]"
4,MFD6B,5,0.5,"[0.0108108, 0.0103417, 0.00869748, 0.00952367, 0.00613849, 0.00719125, 0.0016601, 0.00217327]","[0.6457971617847987, 0.7216088644307449, 0.7040368040257149, 0.8072509817796374, 0.6801207872128593, 0.7116205626038173, 0.7689102937873397, 0.8995761246058883]","[0.00947637, 0.00706699]","[0.5270002749360225, 0.40188085383057504]"
5,MFD6B,6,0.7,"[0.140872, 0.0520377, 0.00950667, 0.011409, 0.00903724, 0.00946324, 0.00290528, 0.00317444]","[0.8703126520857427, 1.1306581662763362, 0.954567433394409, 1.0502755019754657, 0.9980666302079213, 1.1786118506369176, 1.0470401100906095, 1.1926016851470354]","[0.140872, 0.0502452]","[0.750338479472353, 0.5984631345237426]"
6,MFD6B,7,1.0,"[0.0620069, 0.026516, 0.0127565, 0.0149007, 0.00905764, 0.0120366, 0.00271831, 0.00518174]","[1.140408343260538, 1.2205968840483175, 1.3440542617474072, 1.257164577287714, 1.198314093058937, 1.2075491956550701, 1.4062359054608315, 1.3678201563768053]","[0.0602914, 0.0243125]","[0.8271928715168915, 1.0179892776870625]"
7,MFD6B,8,1.2,"[0.295352, 0.28457, 0.014978, 0.0185781, 0.00952056, 0.0103972, 0.00302755, 0.00366772]","[1.5031138917474518, 1.7072231183522322, 1.7307897128415235, 1.6916570009158134, 1.6075083404609698, 1.6489679462302684, 1.638612103885222, 1.678311656469159]","[0.295352, 0.28457]","[0.9055814932029779, 0.9313736906918371]"
8,MFD6B,9,1.5,"[0.200003, 0.171038, 0.0152976, 0.0198508, 0.0106948, 0.0133857, 0.00374108, 0.00663705]","[2.5863127415432126, 2.18766587168581, 2.680923365196925, 2.641451584201682, 2.024876481920903, 2.4404560987468873, 2.486538432441269, 2.2310227112563887]","[0.198851, 0.171038]","[1.7106974567306186, 1.4711011649640409]"
9,MFD6B,10,1.8,"[0.339119, 0.152783, 0.0221647, 0.0344902, 0.0121904, 0.0132382, 0.00331155, 0.00556826]","[2.195824235862663, 2.3241657611511313, 2.466981135575691, 2.4556469107246635, 2.195894120327376, 2.4317024224632213, 2.4041938265014213, 2.1683130515873548]","[0.339119, 0.152783]","[1.4769889981629467, 1.6007067792509169]"
10,MFD6B,11,2.0,"[0.258689, 0.236163, 0.0221507, 0.030365, 0.00996142, 0.011826, 0.00345171, 0.00567584]","[2.2151123481234207, 2.186076647191969, 2.3841240435612825, 2.4652081408227904, 2.3551970517971617, 2.55530733403226, 2.4812375663771213, 2.7037522903364697]","[0.258689, 0.236163]","[1.34225871815719, 1.5232439242598383]"
11,MFD6B,12,2.5,"[0.175096, 0.167754, 0.0207795, 0.0470506, 0.0106531, 0.0146633, 0.00362902, 0.00530011]","[2.5538216420787347, 2.7625070069654543, 2.8460318838648977, 2.982720720216294, 2.5742460239694536, 2.4210075110486415, 2.9394700014995383, 2.685737628321592]","[0.175096, 0.167754]","[1.814859713397799, 1.6989917858349268]"
12,MFD6B,13,3.0,"[0.257374, 0.267213, 0.0497381, 0.106799, 0.0175315, 0.0151582, 0.00636088, 0.00644591]","[2.775189743154091, 2.4537212054747983, 2.7437158508982105, 2.9491761771541074, 3.0447884781353713, 3.1756794922291065, 2.693217854359378, 3.2002425874189333]","[0.257374, 0.267213]","[1.9969011087101025, 2.7347050194348776]"
