comp_id,ds_seq_id,ds_sub_id
B1071.002,1,1
B1071.002,2,1
B1071.002,3,1
B1071.012,1,1
B1071.012,2,1
B1071.012,3,1
B2011.102,1,1
B2011.102,2,1
B2011.102,3,1
B2011.121,1,1
B2011.121,2,1
B2011.121,3,1
B3011.012,1,1
B3011.012,2,1
C1011.001a,1,1
C1011.001a,2,1
C1011.001a,3,1
C1011.011a,1,1
C1011.011a,2,1
C1011.011a,2,2
C2011.001b,1,1
C2011.001b,2,1
C2011.001b,3,1
D1014.021,1,1
D1014.021,1,2
D1014.021,1,3
D1014.021,1,4
D2021.013a,1,1
D2021.013a,2,1
D2021.013b,1,1
D2021.023a,1,1
D2021.023a,2,1
D2021.023b,1,1
D2021.023b,2,1
D2031.013b,1,1
D3031.013a,1,1
D3031.013a,1,2
D3031.013b,1,1
D3041.011c,1,1
D3041.011c,2,1
D3041.032c,1,1
D3041.102b,1,1
D3041.103a,1,1
D3041.103a,1,2
D3052.013a,1,1
D3052.013a,1,2
D3052.013b,1,1
D3052.013b,1,2
D3067.012a,1,1
D3067.012a,1,2
D3067.012b,1,1
D4011.023a,1,1
D4011.023a,2,1
D4011.074a,1,1
D4011.074a,2,1
D5011.011a,1,1
D5012.013d,1,1
D5012.013d,1,2
D5012.013d,1,3
D5012.023a,1,1
D5012.023a,1,2
D5012.023b,1,1
