story,dir,B1071_002,B1071_012,B2011_121,B2011_102,B3011_012,C1011_011a,C1011_001a,C2011_001b,D1014_021,D2021_013a,D2021_013b,D2021_023a,D2021_023b,D2031_013b,D3031_013a,D3031_013b,D3041_011c,D3041_032c,D3041_102b,D3041_103a,D3052_013a,D3052_013b,D3067_012a,D3067_012b,D4011_023a,D4011_074a,D5011_011a,D5012_013d,D5012_023a,D5012_023b
1,1,552.96,552.96,1152,1152,0,691.2,691.2,2,1,488.448,69.12,976.896,138.24,557.568,0,0,230.4,36.864,4,0,0,2,1,1,4884.48,55.296,1,1,2,2
1,2,552.96,552.96,1152,1152,0,691.2,691.2,2,0,0,0,0,0,0,0,0,230.4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,552.96,552.96,1152,1152,0,691.2,691.2,2,0,488.448,69.12,976.896,138.24,557.568,0,0,230.4,36.864,4,0,0,0,0,0,4884.48,55.296,0,0,0,0
2,2,552.96,552.96,1152,1152,0,691.2,691.2,2,0,0,0,0,0,0,0,0,230.4,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,552.96,552.96,1152,1152,0,691.2,691.2,2,0,488.448,69.12,976.896,138.24,557.568,0,0,230.4,36.864,4,0,0,0,0,0,4884.48,55.296,0,0,0,0
3,2,552.96,552.96,1152,1152,0,691.2,691.2,2,0,0,0,0,0,0,0,0,230.4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,552.96,552.96,1152,1152,6451,691.2,691.2,0,0,488.448,69.12,976.896,138.24,557.568,1,1,230.4,36.864,4,4,0,0,0,0,4884.48,55.296,0,0,0,0
4,2,552.96,552.96,1152,1152,0,691.2,691.2,0,0,0,0,0,0,0,0,0,230.4,0,0,0,2,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
