cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.121-0,B.20.11.121-1,B.30.11.012-0,B.30.11.012-1,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,D.10.14.021-0,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013b-0,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023b-0,D.20.21.023b-1,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.074a-0,D.50.11.011a-0,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
0,4423.68,0.0,4239.360000000001,184.32,0.0,8985.600000000002,230.40000000000006,0.0,9216.000000000002,0.0,6451.0,0.0,5920.596597619486,0.0,0.0,5479.370673674602,257.5203935576013,0.0,0.0,12.0,0.0,0.0,1.0,2248.1796520716925,0.0,201.41120792592142,3288.309265283753,0.0,631.1223723299149,0.0,1.0,0.0,2155.045699509195,0.0,147.456,0.0,16.0,0.0,2.0,1.0,19734.315646583356,0.0,265.3460831543113,1.0,2.0,1.0,2.0,1.0
1,4423.68,0.0,4349.952,73.72800000000001,0.0,9216.000000000002,0.0,0.0,9216.000000000002,0.0,6451.0,0.0,5826.122599764969,0.0,0.0,5674.2050651602085,97.11571487692495,0.0,0.0,12.0,0.0,0.0,1.0,2604.8143503211245,0.0,300.0108936512982,2936.17697361542,0.0,685.3446959804219,0.0,1.0,0.0,1765.3514542046098,0.0,147.456,0.0,16.0,0.0,2.0,1.0,21458.07009897269,0.0,249.2682487866258,1.0,2.0,1.0,2.0,1.0
2,4423.68,0.0,4349.952,73.72800000000001,0.0,9216.000000000002,0.0,0.0,9216.000000000002,0.0,6451.0,0.0,5888.6629917920845,0.0,0.0,5741.861590801374,387.06936641439205,0.0,0.0,12.0,0.0,0.0,1.0,2646.1281928246326,0.0,328.87240899009925,4987.9778450919675,0.0,630.3143487273983,0.0,1.0,0.0,2219.6895020715565,0.0,147.456,0.0,16.0,0.0,2.0,1.0,15129.200090348779,0.0,269.07608524792903,1.0,2.0,1.0,2.0,1.0
3,4423.68,0.0,4276.224,147.45600000000002,0.0,8870.400000000001,345.6000000000001,0.0,9216.000000000002,0.0,6451.0,0.0,6313.125834205547,0.0,0.0,5914.611867742656,233.97900680678453,0.0,0.0,12.0,0.0,0.0,1.0,2238.1842347630827,0.0,256.8491824344411,3881.908199833612,0.0,759.5056259944192,0.0,1.0,0.0,2162.3694957031694,0.0,147.456,0.0,16.0,0.0,2.0,1.0,19818.878801958454,0.0,226.64377655434222,1.0,2.0,1.0,2.0,1.0
4,4423.68,0.0,4386.816000000001,36.864000000000004,0.0,9100.800000000003,115.20000000000003,0.0,9216.000000000002,0.0,6451.0,0.0,4962.331279234011,0.0,0.0,5309.651909528819,84.60837906171263,0.0,0.0,12.0,0.0,0.0,1.0,1847.5679357260888,0.0,347.36822919114627,5202.973758077204,0.0,802.1732872210417,0.0,1.0,0.0,1926.6550042101692,0.0,147.456,0.0,16.0,0.0,2.0,1.0,12052.455453653876,0.0,277.06505029484015,1.0,2.0,1.0,2.0,1.0
5,4423.68,0.0,4349.952,73.72800000000001,0.0,9100.800000000003,115.20000000000003,0.0,9216.000000000002,0.0,6451.0,0.0,4685.571797539156,0.0,0.0,3844.6757098528406,306.70050201567534,0.0,0.0,12.0,0.0,0.0,1.0,2518.3265115932754,0.0,296.8236657636337,5341.6077884867655,0.0,945.2459178225424,0.0,1.0,0.0,1940.306368310752,0.0,147.456,0.0,16.0,0.0,2.0,1.0,24137.297746560194,0.0,143.42657041510472,1.0,2.0,1.0,2.0,1.0
6,4423.68,0.0,4018.1760000000004,405.504,0.0,8294.400000000001,921.6000000000003,0.0,9216.000000000002,0.0,6451.0,0.0,6135.758465806557,79.7701742775878,0.0,5833.182264343944,718.9434193861969,0.0,0.0,12.0,0.0,0.0,1.0,2941.846007944391,0.0,436.0566891046123,4348.1179236029675,0.0,547.8918692590726,0.0,1.0,0.0,1921.7296244284971,0.0,147.456,0.0,16.0,0.0,2.0,1.0,18271.470577956403,0.0,302.0623069245495,1.0,2.0,1.0,2.0,1.0
7,4423.68,0.0,4091.9040000000005,331.776,0.0,8409.600000000002,806.4000000000002,0.0,9216.000000000002,0.0,6451.0,0.0,6198.965933257337,0.0,0.0,5320.965118633983,1011.2280095396171,0.0,0.0,12.0,0.0,0.0,1.0,1606.4163911319313,0.0,316.78558682840935,3950.3707033724386,0.0,665.1448726312967,0.0,1.0,0.0,2337.9490691271144,0.0,147.456,0.0,16.0,0.0,2.0,1.0,21155.45964472262,0.0,323.25089985336564,1.0,2.0,1.0,2.0,1.0
8,4423.68,0.0,4165.6320000000005,258.048,0.0,8640.000000000002,576.0000000000001,0.0,9216.000000000002,0.0,6451.0,0.0,4862.18343660091,0.0,0.0,5784.879035501875,436.1442025301633,0.0,0.0,12.0,0.0,0.0,1.0,2209.4100407038586,0.0,332.3083320121651,3094.792549049995,0.0,568.1084488595271,0.0,1.0,0.0,3021.034331178919,0.0,147.456,0.0,16.0,0.0,2.0,1.0,15941.441964161293,0.0,176.30562261935492,1.0,2.0,1.0,2.0,1.0
9,4423.68,0.0,4349.952,73.72800000000001,0.0,9100.800000000003,115.20000000000003,0.0,9216.000000000002,0.0,6451.0,0.0,5784.147691845519,0.0,0.0,6272.486486669478,486.2375681901517,0.0,0.0,12.0,0.0,0.0,1.0,1584.5365545017826,0.0,320.46964787200625,4255.43499955954,0.0,561.490876066765,0.0,1.0,0.0,2790.093774852209,0.0,147.456,0.0,16.0,0.0,2.0,1.0,16604.2970288961,0.0,213.49683342731856,1.0,2.0,1.0,2.0,1.0
