cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.121-0,B.20.11.121-1,B.30.11.012-0,B.30.11.012-1,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,D.10.14.021-0,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013b-0,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023b-0,D.20.21.023b-1,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.074a-0,D.50.11.011a-0,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,4423.606272,0.073728,4136.69376,276.2809344,10.7053056,8616.453120000002,575.3548800000001,24.192000000000007,9215.976960000002,0.023040000000000005,6450.741959999999,0.25804,5954.595567914375,35.01622362970207,0.1402335533550008,5296.948563561138,682.2946683748778,8.400266206950135,2.296159045796976,11.7436,0.2544,0.002,1.0,2116.511719668965,0.004411515074759536,299.50461048792306,4232.93857991127,0.03134062678345594,598.9393500623656,0.04740887118442485,0.9986,0.0014,1996.6062246647873,0.16095821147157127,147.44973312,0.00626688,15.9768,0.0232,2.0,1.0,21164.206526968417,0.6360103917172076,239.61254631096526,1.0,2.0,1.0,2.0,1.0
std,1.647123485708152,1.647123485708171,231.99349044590082,212.48447846404153,40.37420511123261,506.22087062885686,463.4993833306095,88.48814907379013,1.629174023853816,1.629174023853806,14.424008831269933,14.42400883126993,868.827274369162,91.15674634335888,4.0280027612970795,894.521012408706,408.5750852985604,34.96715744963712,15.449571334239812,0.7115899887311601,0.7083650162163853,0.06322024485773504,0.0,440.35852646874457,0.31194122246691464,62.59828560552324,876.9448672062962,1.5674411649742281,125.48515854292879,2.472158196781556,0.037394112690807176,0.037394112690807176,287.16113119959715,6.98290878132063,0.18606716545666457,0.18606716545666463,0.30377658903083465,0.30377658903083465,0.0,0.0,4371.181805642558,17.806036144534744,49.38033507454165,0.0,0.0,0.0,0.0,0.0
log_std,0.0003738650755099434,,0.05779378603510399,,,0.060692551409754505,,,0.00017787305397685797,,0.0024097411213993146,,0.14530849727002593,,,0.1683471530064706,,,,0.06652504645793017,,,0.0,0.20568985523607908,,0.2063357155485816,0.2051633054828495,,0.20667195093464485,,,,0.1430229485143358,,0.0013006289061234593,,0.021845584787463717,,1.1102230246251565e-16,0.0,0.2042915709142608,,0.20355645684069237,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0
min,4386.816000000001,0.0,3170.304,0.0,0.0,6566.4000000000015,0.0,0.0,9100.800000000001,0.0,5483.349999999999,0.0,3299.445111606093,0.0,0.0,2721.6083192806095,0.0,0.0,0.0,8.0,0.0,0.0,1.0,962.2038930150861,0.0,133.26356887911055,1939.434226996373,0.0,272.18493249148065,0.0,0.0,0.0,1126.5011200205454,0.0,136.39679999999998,0.0,12.0,0.0,2.0,1.0,10143.892450291063,0.0,125.15560093861683,1.0,2.0,1.0,2.0,1.0
0.1%,4386.816000000001,0.0,3280.859136,0.0,0.0,6681.600000000001,0.0,0.0,9216.000000000002,0.0,6451.0,0.0,3747.235084729835,0.0,0.0,2997.7690949362827,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1049.909739882607,0.0,161.77060752307543,2223.4511733408217,0.0,312.8171861675385,0.0,0.0,0.0,1244.5215600173701,0.0,145.6128,0.0,12.0,0.0,2.0,1.0,11215.970837186396,0.0,131.23460699798918,1.0,2.0,1.0,2.0,1.0
2.3%,4423.68,0.0,3575.808,0.0,0.0,7372.800000000001,0.0,0.0,9216.000000000002,0.0,6451.0,0.0,4427.729054537952,0.0,0.0,3705.045441888141,78.0652575553017,0.0,0.0,10.0,0.0,0.0,1.0,1369.1533350286718,0.0,193.93112483704448,2765.3764935177614,0.0,392.0288965396594,0.0,1.0,0.0,1496.5511529748594,0.0,147.456,0.0,16.0,0.0,2.0,1.0,13689.931717287456,0.0,157.11996330358866,1.0,2.0,1.0,2.0,1.0
10%,4423.68,0.0,3796.992,36.864000000000004,0.0,7833.600000000002,0.0,0.0,9216.000000000002,0.0,6451.0,0.0,4897.733167697199,0.0,0.0,4203.15334128686,215.18516879855989,0.0,0.0,10.0,0.0,0.0,1.0,1597.4417850073105,0.0,224.61086532826565,3174.9698134452788,0.0,452.14309506031907,0.0,1.0,0.0,1643.3657039851444,0.0,147.456,0.0,16.0,0.0,2.0,1.0,15980.488670819017,0.0,179.4364774106829,1.0,2.0,1.0,2.0,1.0
15.9%,4423.68,0.0,3901.722624,73.72800000000001,0.0,8064.000000000002,115.20000000000003,0.0,9216.000000000002,0.0,6451.0,0.0,5098.868637028863,0.0,0.0,4412.445994441164,285.24954517088446,0.0,0.0,12.0,0.0,0.0,1.0,1681.4770245342395,0.0,238.71922341409268,3364.890699337272,0.0,478.8868663603503,0.0,1.0,0.0,1717.5617660616126,0.0,147.456,0.0,16.0,0.0,2.0,1.0,16875.38599075535,0.0,191.70102259742558,1.0,2.0,1.0,2.0,1.0
50%,4423.68,0.0,4202.496,221.18400000000003,0.0,8755.200000000003,460.8000000000001,0.0,9216.000000000002,0.0,6451.0,0.0,5886.4419632558,0.0,0.0,5245.035336573902,623.8495854096741,0.0,0.0,12.0,0.0,0.0,1.0,2070.0556255701695,0.0,294.244559760053,4150.913743170942,0.0,583.3358324360893,0.0,1.0,0.0,1971.8277950198187,0.0,147.456,0.0,16.0,0.0,2.0,1.0,20712.803166319216,0.0,234.79506429834345,1.0,2.0,1.0,2.0,1.0
84.1%,4423.68,0.0,4349.952,516.096,0.0,9100.800000000003,1036.8000000000002,0.0,9216.000000000002,0.0,6451.0,0.0,6799.811783317556,74.80984418416415,0.0,6155.770996394162,1066.4567918004266,0.0,0.0,12.0,0.0,0.0,1.0,2547.36148142873,0.0,359.05742942728057,5084.6449233160365,0.0,721.266859274987,0.0,1.0,0.0,2281.0812846984977,0.0,147.456,0.0,16.0,0.0,2.0,1.0,25407.462859176798,0.0,287.71161035050903,1.0,2.0,1.0,2.0,1.0
