cmp-loc-dir-ds,B.10.71.002-1-1-0,B.10.71.002-1-1-1,B.10.71.002-1-2-0,B.10.71.002-2-1-0,B.10.71.002-2-2-0,B.10.71.002-3-1-0,B.10.71.002-3-2-0,B.10.71.002-4-1-0,B.10.71.002-4-2-0,B.10.71.012-1-1-0,B.10.71.012-1-1-1,B.10.71.012-1-1-2,B.10.71.012-1-2-0,B.10.71.012-1-2-1,B.10.71.012-2-1-0,B.10.71.012-2-1-1,B.10.71.012-2-1-2,B.10.71.012-2-2-0,B.10.71.012-2-2-1,B.10.71.012-3-1-0,B.10.71.012-3-1-1,B.10.71.012-3-2-0,B.10.71.012-3-2-1,B.10.71.012-4-1-0,B.10.71.012-4-2-0,B.10.71.012-4-2-1,B.20.11.102-1-1-0,B.20.11.102-1-1-1,B.20.11.102-1-1-2,B.20.11.102-1-2-0,B.20.11.102-1-2-1,B.20.11.102-2-1-0,B.20.11.102-2-1-1,B.20.11.102-2-1-2,B.20.11.102-2-2-0,B.20.11.102-2-2-1,B.20.11.102-3-1-0,B.20.11.102-3-1-1,B.20.11.102-3-2-0,B.20.11.102-3-2-1,B.20.11.102-4-1-0,B.20.11.102-4-2-0,B.20.11.102-4-2-1,B.20.11.121-1-1-0,B.20.11.121-1-1-1,B.20.11.121-1-2-0,B.20.11.121-2-1-0,B.20.11.121-2-2-0,B.20.11.121-3-1-0,B.20.11.121-3-2-0,B.20.11.121-4-1-0,B.20.11.121-4-2-0,B.30.11.012-5-1-0,B.30.11.012-5-1-1,C.10.11.001a-1-1-0,C.10.11.001a-1-1-1,C.10.11.001a-1-1-2,C.10.11.001a-1-2-0,C.10.11.001a-1-2-1,C.10.11.001a-2-1-0,C.10.11.001a-2-1-1,C.10.11.001a-2-2-0,C.10.11.001a-3-1-0,C.10.11.001a-3-1-1,C.10.11.001a-3-2-0,C.10.11.001a-4-1-0,C.10.11.001a-4-2-0,C.10.11.011a-1-1-0,C.10.11.011a-1-1-1,C.10.11.011a-1-1-2,C.10.11.011a-1-1-3,C.10.11.011a-1-2-0,C.10.11.011a-1-2-1,C.10.11.011a-1-2-2,C.10.11.011a-2-1-0,C.10.11.011a-2-1-1,C.10.11.011a-2-1-2,C.10.11.011a-2-1-3,C.10.11.011a-2-2-0,C.10.11.011a-2-2-1,C.10.11.011a-3-1-0,C.10.11.011a-3-1-1,C.10.11.011a-3-2-0,C.10.11.011a-3-2-1,C.10.11.011a-4-1-0,C.10.11.011a-4-1-1,C.10.11.011a-4-2-0,C.10.11.011a-4-2-1,C.20.11.001b-1-1-0,C.20.11.001b-1-1-1,C.20.11.001b-1-1-2,C.20.11.001b-1-2-0,C.20.11.001b-1-2-1,C.20.11.001b-2-1-0,C.20.11.001b-2-1-1,C.20.11.001b-2-1-2,C.20.11.001b-2-2-0,C.20.11.001b-2-2-1,C.20.11.001b-3-1-0,C.20.11.001b-3-1-1,C.20.11.001b-3-2-0,D.10.14.021-1-1-0,D.20.21.013a-1-1-0,D.20.21.013a-2-1-0,D.20.21.013a-3-1-0,D.20.21.013a-4-1-0,D.20.21.013a-4-1-1,D.20.21.013b-1-1-0,D.20.21.013b-2-1-0,D.20.21.013b-3-1-0,D.20.21.013b-4-1-0,D.20.21.023a-1-1-0,D.20.21.023a-2-1-0,D.20.21.023a-3-1-0,D.20.21.023a-4-1-0,D.20.21.023a-4-1-1,D.20.21.023b-1-1-0,D.20.21.023b-2-1-0,D.20.21.023b-2-1-1,D.20.21.023b-3-1-0,D.20.21.023b-4-1-0,D.20.21.023b-4-1-1,D.30.31.013b-5-1-0,D.30.31.013b-5-1-1,D.30.41.011c-1-1-0,D.30.41.011c-1-2-0,D.30.41.011c-2-1-0,D.30.41.011c-2-1-1,D.30.41.011c-2-2-0,D.30.41.011c-3-1-0,D.30.41.011c-3-2-0,D.30.41.011c-4-1-0,D.30.41.011c-4-1-1,D.30.41.011c-4-2-0,D.30.41.011c-4-2-1,D.30.41.032c-1-1-0,D.30.41.032c-2-1-0,D.30.41.032c-2-1-1,D.30.41.032c-3-1-0,D.30.41.032c-3-1-1,D.30.41.032c-4-1-0,D.30.41.032c-4-1-1,D.30.41.102b-1-1-0,D.30.41.102b-2-1-0,D.30.41.102b-2-1-1,D.30.41.102b-3-1-0,D.30.41.102b-3-1-1,D.30.41.102b-4-1-0,D.30.41.102b-4-1-1,D.30.52.013b-1-1-0,D.30.67.012b-1-1-0,D.40.11.023a-1-1-0,D.40.11.023a-2-1-0,D.40.11.023a-2-1-1,D.40.11.023a-3-1-0,D.40.11.023a-3-1-1,D.40.11.023a-4-1-0,D.40.11.023a-4-1-1,D.40.11.074a-1-1-0,D.40.11.074a-2-1-0,D.40.11.074a-3-1-0,D.40.11.074a-4-1-0,D.50.11.011a-1-1-0,D.50.12.023b-1-1-0,collapse-0-1-0,excessiveRID-1-1-0,excessiveRID-1-2-0,irreparable-0-1-0
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,552.8862720000001,0.073728,552.96,552.96,552.96,552.96,552.96,552.96,552.96,369.2593152,173.72528640000002,9.975398400000001,537.8899968000001,15.0700032,468.9174528,83.31264000000002,0.7299072000000001,551.6107776,1.3492224000000002,550.4385024000001,2.5214976000000004,552.6872064,0.2727936,552.96,552.9305088000001,0.029491200000000002,770.3654400000001,359.0784000000001,22.556160000000006,1119.58272,32.417280000000005,975.2601600000002,175.104,1.6358400000000004,1149.4425600000002,2.5574400000000006,1146.4473600000001,5.552640000000001,1151.4009600000002,0.5990400000000001,1152.0000000000002,1151.9539200000004,0.04608000000000001,1151.9769600000002,0.023040000000000005,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,6450.741959999999,0.25804,718.6805630119102,29.91504916758281,0.1402335533550008,748.5118372849057,0.21327055626344027,743.8288002353933,4.856031060479822,748.6845663674441,748.6698601474176,0.03187284537598866,748.7455701350303,748.719940011125,748.7544307211489,404.70337542547185,334.1714988413566,7.677185793098252,2.1856256017065054,664.7972377807031,83.9786592257457,0.012326627009899995,534.8070769441407,213.07887354134064,0.7107537868419841,0.11053344409047068,732.3199878046987,16.42622521871918,722.9673995627489,25.782837329437065,741.215899853041,7.5631384767679615,748.5282589061522,0.19474920557390782,747.6093272841825,1.0986865359367999,1.8208,0.1776,0.0016,1.9888,0.0112,1.936,0.0636,0.0004,1.9992,0.0008,1.9988,0.0012,2.0,1.0,529.0800089501516,529.1047182785313,529.2357015206769,529.0912909196052,0.004411515074759536,74.87492215810626,74.8725557847338,74.88417198359333,74.87296056148969,1058.2378544178455,1058.3221308786194,1058.248378542599,1058.130216072205,0.03134062678345594,149.74443792330018,149.71825836134667,0.030730022900742296,149.7453623893156,149.73129138840324,0.016678848283682556,0.9986,0.0014,249.56687545759607,249.60892107545584,249.53698416627356,0.03815751454453655,249.6269398717966,249.59486496171579,249.61491535104494,249.55112628362008,0.04191403815197029,249.50559749728413,0.08088665877506444,36.864,36.86326272,0.00073728,36.86252544,0.00147456,36.85994495999999,0.00405504,4.0,3.9984,0.0016,3.9936,0.0064,3.9848,0.0152,2.0,1.0,5291.046036839067,5290.936590300723,0.040960597749143415,5291.420517949775,0.13867730834917055,5290.803381878853,0.4563724856188937,59.89955628911308,59.89623340088602,59.91849409562776,59.89826252533839,1.0,2.0,1.0,1.0,1.0,1.0
std,1.6471234857081725,1.647123485708171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.527177914913,128.82184570659211,37.076790729579585,31.802147971958064,31.802147971958057,93.60263527021064,91.76129542943788,6.575273157368215,8.248846507450542,8.248846507450539,11.896411389103108,11.896411389103102,3.3273450022430566,3.3273450022430544,0.0,1.042358464327984,1.042358464327983,313.3701748713592,282.1650127572958,81.52079080775154,75.2159229180476,75.21592291804765,210.1664806830408,206.392686779913,16.12893821750226,19.038563654530368,19.038563654530392,30.45525868527004,30.455258685270067,8.60080053439017,8.600800534390185,0.0,2.303769542385016,2.30376954238502,1.6291740238538093,1.629174023853806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.424008831269933,14.42400883126993,310.1403276700604,78.369506839211,4.0280027612970795,311.42629038450275,4.644910462625744,309.96551471705635,26.83907459794317,311.3521023931381,311.4352537238995,1.5935811471413814,311.69722007438776,311.49770406822813,311.8209777968701,263.05749744100376,238.1333946388775,33.31719523501711,14.984232219403978,292.9346813700578,111.22282360382913,0.8716241547857544,278.86581394732474,186.2859611637599,7.581288277655076,2.8974511814925568,307.74173806326945,44.41407863817018,305.8395399545902,57.28204758310242,310.1367185934602,29.802626085800117,311.5650959650402,4.148831308742044,311.2644783859464,10.266652280568982,0.5712728161973972,0.5689665935684796,0.05655156599001644,0.14926156840647442,0.1492615684064744,0.35203520528088017,0.35096962252478064,0.0282842712474619,0.039995998999739935,0.039995998999739935,0.04897999395632459,0.04897999395632459,0.0,0.0,220.0562552539081,220.28183338508654,221.39119349211865,220.16162728293764,0.31194122246691464,31.171863604611026,31.154486790795534,31.23780434262752,31.164909823400997,440.61904361415907,441.38777752324097,440.7796775735644,440.14806737903444,1.5674411649742281,62.319281309757514,62.386297868848125,2.1729407579132776,62.31577637288645,62.361379602789924,1.1793726723773545,0.037394112690807176,0.037394112690807176,103.81631026235483,104.09881897931963,103.91716939420809,2.6981437287666115,104.27006570543612,104.00826122952861,104.15969044131924,104.0324291989442,2.963770060416986,103.97018489687319,5.719550492737042,0.0,0.05213356876332176,0.05213356876332177,0.05211792321639904,0.05211792321639915,0.13028385405384585,0.13028385405384593,0.0,0.07999199799947987,0.07999199799947987,0.15988793835235388,0.15988793835235385,0.2461322331902976,0.2461322331902976,0.0,0.0,2202.203069859304,2201.671181066845,2.896351642987374,2206.0910625636197,5.766548635533118,2203.721449427716,13.660293856237201,24.943475574259736,24.91346936839465,25.09380259653482,24.926799944180495,0.0,0.0,0.0,0.0,0.0,0.0
log_std,0.003082368012870258,,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.06661601999524161,,0.2650449790645133,,,0.01599952549625388,,0.023667491732511155,,0.006272519141920777,,8.881784197001252e-16,0.0019506323698661606,,,,,0.07788155474244024,,,,,0.017896494023698067,,0.030806676074913057,,0.00793345683243598,,8.881784197001252e-16,0.0021067888289412495,,0.0014898736920981742,,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,0.0024097411213993146,,0.4240751077546806,,,0.39982445417567264,,0.40130983523992014,,0.39996311796381584,0.40002801948276945,,0.3999045578843106,0.39988096066132733,0.3999191019714828,,,,,0.4285805008852334,,,,,,,0.403939825715134,,0.4082436868146248,,0.40207332435515764,,0.4002508316506078,,0.40017102849773833,,,,,,,,,,,,,,1.1102230246251565e-16,0.0,0.39991275325132486,0.4003602373916258,0.40012893694422796,0.3998921453324464,,0.39992859285744603,0.3999383447386405,0.400009890617244,0.3999472639467788,0.40003360280192385,0.40001306487877564,0.4000256158321765,0.39986172229667205,,0.39993369507533516,,,0.3999312823295828,,,,,0.3999051534071868,0.40007745872302064,,,0.4001014941877309,0.3999887767138796,0.4001791205427257,,,,,8.881784197001252e-16,0.0014898736920981677,,0.001450213018142818,,0.0038465687278966326,,2.220446049250313e-16,,,,,,,1.1102230246251565e-16,0.0,0.4000057266507244,0.3999634141747302,,0.4000944531737596,,0.39996484169807234,,0.4000421203437624,0.39988956940090964,0.40017038802606003,0.3998767083091797,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
min,516.096,0.0,552.96,552.96,552.96,552.96,552.96,552.96,552.96,0.0,0.0,0.0,221.184,0.0,36.864000000000004,0.0,0.0,368.64,0.0,331.776,0.0,479.232,0.0,552.96,516.096,0.0,0.0,0.0,0.0,345.6000000000001,0.0,0.0,0.0,0.0,806.4000000000001,0.0,460.8000000000001,0.0,921.6000000000003,0.0,1152.0000000000002,1036.8000000000004,0.0,1036.8,0.0,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,5483.349999999999,0.0,50.52440295623595,0.0,0.0,161.7552012801045,0.0,160.13708081993764,0.0,147.1197564259594,134.3669022712149,0.0,160.71552555569625,162.90490028866577,165.45487223986478,0.0,0.0,0.0,0.0,118.92107385331252,0.0,0.0,0.0,0.0,0.0,0.0,131.31165140980394,0.0,152.34052575126404,0.0,165.9627090966003,0.0,123.8563790855876,0.0,163.76251733327518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,100.7388586322479,69.40563168709618,111.96153491769499,113.21872732529017,0.0,15.768111037820942,15.171615449142037,16.13707203013311,15.97010415835544,195.33318850343332,219.12958358373214,214.59838113620685,219.42678542431912,0.0,31.28115820981221,0.0,0.0,29.91381407153417,0.0,0.0,0.0,0.0,53.318062083204005,47.57608905327776,0.0,0.0,52.07450880989317,53.57639011183341,48.619385544834294,0.0,0.0,0.0,0.0,36.864,33.1776,0.0,35.0208,0.0,29.4912,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,981.6366056897025,1070.0052542248884,0.0,1085.7046626448177,0.0,1110.8462242712487,0.0,10.961627202639246,11.954804790528614,13.151230071132662,12.780052416176888,1.0,2.0,1.0,1.0,1.0,1.0
0.1%,516.096,0.0,552.96,552.96,552.96,552.96,552.96,552.96,552.96,0.0,0.0,0.0,331.739136,0.0,73.72800000000001,0.0,0.0,479.232,0.0,442.368,0.0,516.096,0.0,552.96,552.96,0.0,0.0,0.0,0.0,576.0000000000001,0.0,115.20000000000003,0.0,0.0,921.6000000000003,0.0,806.4000000000001,0.0,1036.8000000000004,0.0,1152.0000000000002,1152.0000000000002,0.0,1152.0000000000002,0.0,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,6451.0,0.0,137.1792125224418,0.0,0.0,204.76427691925173,0.0,190.73832027138968,0.0,204.55725646998894,202.9552267859335,0.0,204.19850154157714,201.87302905323781,201.90422357216687,0.0,0.0,0.0,0.0,157.4512548939982,0.0,0.0,0.0,0.0,0.0,0.0,201.8390803831173,0.0,192.59132626124153,0.0,201.41817561545557,0.0,201.7874688637819,0.0,203.47274732957834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,144.97075903319225,142.13637989775611,144.8543238082548,142.02325076717827,0.0,20.0944869598657,20.141513384232663,20.233110493611584,20.22771137175843,288.39455792661164,289.6006527028274,286.8729181279032,289.6180107873775,0.0,40.85227795742487,39.29111808306342,0.0,40.878749310848285,39.82901688269262,0.0,0.0,0.0,67.1379447085562,67.71069251148138,66.82851385811831,0.0,67.39873775998608,67.3900128106748,67.77759255219296,65.64965460734598,0.0,66.411613006652,0.0,36.864,36.864,0.0,36.864,0.0,35.0208,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1442.4056400403747,1419.00691777269,0.0,1427.2714150597876,0.0,1449.110521259976,0.0,16.269424780820295,16.26873869109927,16.21305986715277,16.163254324275247,1.0,2.0,1.0,1.0,1.0,1.0
2.3%,552.96,0.0,552.96,552.96,552.96,552.96,552.96,552.96,552.96,36.864000000000004,0.0,0.0,442.368,0.0,221.184,0.0,0.0,516.096,0.0,516.096,0.0,552.96,0.0,552.96,552.96,0.0,115.20000000000003,0.0,0.0,921.6000000000003,0.0,460.8000000000001,0.0,0.0,1152.0000000000002,0.0,1036.8000000000004,0.0,1152.0000000000002,0.0,1152.0000000000002,1152.0000000000002,0.0,1152.0000000000002,0.0,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,6451.0,0.0,277.6843009293917,0.0,0.0,311.2333978557188,0.0,307.2956478913035,0.0,311.5065894197212,311.2442868459887,0.0,311.2026937061622,311.3328421411527,311.3306314047199,44.976246546712076,0.0,0.0,0.0,245.45944204488967,0.0,0.0,134.9938111271085,0.0,0.0,0.0,302.522587801453,0.0,291.39004655160466,0.0,305.8101121633697,0.0,311.2273629162306,0.0,310.1120131866244,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,220.15913497359395,220.07078210860675,220.1163225445175,220.06618829857402,0.0,31.133712365525394,31.11667801622319,31.120169084199194,31.136629455286208,440.2824952856313,440.3766190462799,440.0529512684133,440.3229463198023,0.0,62.28930823935934,62.218072259175585,0.0,62.296318157751074,62.19858112564089,0.0,1.0,0.0,103.77821051586477,103.79986713982994,103.69469546945398,0.0,103.82730978184665,103.7284117417403,103.74855710152944,103.67730741828967,0.0,103.57919496641239,0.0,36.864,36.864,0.0,36.864,0.0,36.864,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,2199.956859438831,2199.083539013016,0.0,2199.0237178444063,0.0,2199.2591034536977,0.0,24.906013510502937,24.894421328503288,24.911919132000047,24.91164645862418,1.0,2.0,1.0,1.0,1.0,1.0
10%,552.96,0.0,552.96,552.96,552.96,552.96,552.96,552.96,552.96,147.45600000000002,0.0,0.0,516.096,0.0,331.776,0.0,0.0,552.96,0.0,552.96,0.0,552.96,0.0,552.96,552.96,0.0,345.6000000000001,0.0,0.0,1036.8000000000004,0.0,691.2000000000002,0.0,0.0,1152.0000000000002,0.0,1152.0000000000002,0.0,1152.0000000000002,0.0,1152.0000000000002,1152.0000000000002,0.0,1152.0000000000002,0.0,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,6451.0,0.0,385.03392669964944,0.0,0.0,413.8371125285744,0.0,411.5187420153098,0.0,414.08154463830374,414.04669601249714,0.0,413.9987675751903,414.12496873470127,413.9911499449702,120.65516135274085,78.35262304927382,0.0,0.0,349.277863719198,0.0,0.0,233.2942931228749,0.0,0.0,0.0,401.99223021659947,0.0,393.49939154745454,0.0,407.9961711513362,0.0,413.88104335490004,0.0,412.8637332135647,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,292.6373298357676,292.59106905807204,292.5331793551126,292.64669671566367,0.0,41.40048601560623,41.40558121717577,41.41187244855659,41.3991318355212,585.1138674960868,585.1035012197401,585.1781734307898,585.1983064029487,0.0,82.79727192027502,82.77704317335929,0.0,82.80536998812781,82.7763705944637,0.0,1.0,0.0,137.99256810418635,138.04032023697852,137.92724149367425,0.0,137.99383932243873,137.99834967088208,138.03056873483223,137.93867514962454,0.0,137.95119558763247,0.0,36.864,36.864,0.0,36.864,0.0,36.864,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,2926.0366934601625,2926.111471879722,0.0,2926.5466114181936,0.0,2926.3454868752356,0.0,33.126675901572135,33.12266475436413,33.120500878139964,33.13020606683122,1.0,2.0,1.0,1.0,1.0,1.0
15.9%,552.96,0.0,552.96,552.96,552.96,552.96,552.96,552.96,552.96,221.184,36.864000000000004,0.0,516.096,0.0,368.64,0.0,0.0,552.96,0.0,552.96,0.0,552.96,0.0,552.96,552.96,0.0,460.8000000000001,0.0,0.0,1036.8000000000004,0.0,806.4000000000001,0.0,0.0,1152.0000000000002,0.0,1152.0000000000002,0.0,1152.0000000000002,0.0,1152.0000000000002,1152.0000000000002,0.0,1152.0000000000002,0.0,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,6451.0,0.0,432.6489985606148,0.0,0.0,463.62161518516115,0.0,461.0742905450307,0.0,463.6372508415628,463.6015497671032,0.0,463.6166866755512,463.5910922184048,463.61528992662176,162.28617233634932,113.27334497562774,0.0,0.0,398.9583343610033,0.0,0.0,277.13612144750306,49.383562343030576,0.0,0.0,450.1308656028155,0.0,443.6576908237232,0.0,457.2391764668425,0.0,463.31829476364055,0.0,462.28809933513423,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,327.64934327112564,327.68007719790734,327.68284993251575,327.6009523613692,0.0,46.35932525664309,46.365088458313224,46.360461476942426,46.361254222229185,655.3387574958504,655.2820495494736,655.3343222075375,655.3370905996676,0.0,92.72107486668486,92.7013265683597,0.0,92.7288365729333,92.71725190159295,0.0,1.0,0.0,154.5420910956609,154.56065757319982,154.51170436845,0.0,154.5306917753692,154.53998704892794,154.53970584881938,154.508453288285,0.0,154.5049806567799,0.0,36.864,36.864,0.0,36.864,0.0,36.864,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,3276.522030031525,3276.6887397323885,0.0,3276.2372697906526,0.0,3276.496186178542,0.0,37.085806588567095,37.088514160278315,37.093221095119276,37.08904905676954,1.0,2.0,1.0,1.0,1.0,1.0
50%,552.96,0.0,552.96,552.96,552.96,552.96,552.96,552.96,552.96,405.504,147.45600000000002,0.0,552.96,0.0,516.096,36.864000000000004,0.0,552.96,0.0,552.96,0.0,552.96,0.0,552.96,552.96,0.0,806.4000000000001,345.6000000000001,0.0,1152.0000000000002,0.0,1036.8000000000004,115.20000000000003,0.0,1152.0000000000002,0.0,1152.0000000000002,0.0,1152.0000000000002,0.0,1152.0000000000002,1152.0000000000002,0.0,1152.0000000000002,0.0,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,1152.0000000000002,6451.0,0.0,662.0079154329463,0.0,0.0,690.9381193855174,0.0,686.6358107344245,0.0,691.1675059957852,691.2446145226181,0.0,691.2435441353709,691.2322661035139,691.1999161541198,356.52528142184224,290.45686937144035,0.0,0.0,610.5979324777334,57.93589003928903,0.0,487.25939734182964,170.1180504902034,0.0,0.0,673.5041867707697,0.0,663.3394596706044,0.0,685.8501903607263,0.0,691.05168662912,0.0,690.2141800028905,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,488.42854480933465,488.48350508561873,488.43351692656734,488.45238477679413,0.0,69.11992196135206,69.12202711332236,69.11787271731731,69.11965975150633,976.8425038044741,976.8987529649983,976.8969955488537,976.874197302355,0.0,138.24623828880067,138.20502675490042,0.0,138.24065108860265,138.24285420590027,0.0,1.0,0.0,230.417081975873,230.41219242676937,230.3971316164979,0.0,230.39293709268816,230.38665455542508,230.41504171157283,230.4180540582109,0.0,230.36834824993585,0.0,36.864,36.864,0.0,36.864,0.0,36.864,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,4884.590628411719,4884.141720218873,0.0,4884.531816456685,0.0,4884.159714513689,0.0,55.29817939014763,55.29274251375887,55.3000996051844,55.29285545330623,1.0,2.0,1.0,1.0,1.0,1.0
