dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.40.11.023a-D.40.11.023a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.40.11.023a-D.40.11.023a
0,0.0,4515.137889534476,3965.6352205288217,0.0,0.0,0.0,11892.568056507958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43397027493395,4.946060406382471,0.0,0.0,0.0,6.684397039005838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1635.4345248260613,0.0,0.0,0.0,0.0,5564.352386493166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3090273162566006,0.0,0.0,0.0,0.0,5.2592211849817385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1543.9023901639612,0.0,0.0,0.0,0.0,7466.287143496658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.194999103256493,0.0,0.0,0.0,0.0,13.176333659012412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,4530.343244295549,6957.409044791662,0.0,0.0,0.0,8182.028912229622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.528365320856912,4.435704175368079,0.0,0.0,0.0,4.086017372224781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,1159.0532422475194,2995.660015893737,0.0,0.0,0.0,2884.3787034190304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9825603218622426,1.8203402104970439,0.0,0.0,0.0,2.1334028064414183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,2326.2772154821523,2199.5099862213237,0.0,0.0,0.0,9596.773660704905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1287485294392883,1.2764710673498596,0.0,0.0,0.0,14.754595657123755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,9146.837977935817,13631.875523268049,0.0,0.0,234.31432871888777,23064.95326405552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.138182561307357,14.236774327704204,0.0,0.0,2.043218455348169,6.5062572109440735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,10188.061424437525,13830.182751561395,0.0,0.0,0.0,10425.690682030567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.280269600911975,8.148625533423683,0.0,0.0,0.0,9.17065743140272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,6880.3570609941635,10874.854211599679,0.0,0.0,0.0,17546.052415564245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.421915403990703,13.980500895965832,0.0,0.0,0.0,8.626843272880205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,1851.8533439441571,3142.0432797536855,0.0,0.0,0.0,6876.191848497951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.905762434958652,1.2253639232663542,0.0,0.0,0.0,15.207100533441665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,4846.699788969928,9358.83944107328,0.0,0.0,3094.5733156435763,19810.276843150117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.73210671930747,8.882019248956635,0.0,0.0,1.7988880136918444,11.01069220139483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,4895.053755743448,15627.815606858261,0.0,0.0,0.0,19853.72536527733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.787397560230506,8.038667751221968,0.0,0.0,0.0,17.9638481800908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,8691.222677121159,12584.840427388304,0.0,0.0,802.3996660289798,15362.583506033126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.675367683348924,8.720785337005452,0.0,0.0,0.9808335447352999,19.24124366875139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,7486.402261687152,14052.238483398896,0.0,0.0,0.0,22608.6729033589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.928684482100154,13.559896113313268,0.0,0.0,0.0,14.431550422926824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,2023.4692939412625,4949.455933625432,0.0,0.0,1652.8880382212442,19929.958664068028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1721427979614,3.3816483831425876,0.0,0.0,2.3830956855374756,9.102061698914714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,4176.957039884834,10433.648911991135,0.0,0.0,0.0,13670.21392531438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.777250295613271,10.314564556634048,0.0,0.0,0.0,7.225660721491304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,4724.53448795517,0.0,0.0,0.0,13184.34597176706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.951122821117698,0.0,0.0,0.0,3.6221017897454124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,3439.9293820990215,12996.148391117096,0.0,0.0,1430.821674143908,9110.901801403103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8163801768316388,9.838037603125365,0.0,0.0,1.4028631257818889,7.494875094779537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,10671.179727400762,12876.771992670047,0.0,0.0,0.0,24299.384793923826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.315532345708279,13.128707632264362,0.0,0.0,0.0,11.143286727923781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,5780.658346663249,13330.978783525508,0.0,0.0,0.0,25002.242943981142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.968270711464236,16.352193251366877,0.0,0.0,0.0,18.678538690406306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,881.0266873381635,19302.207718936133,27934.324031429795,0.0,0.0,6400.071112463708,87341.54473909263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.858121867929407,15.00952566350006,23.17586908061697,0.0,0.0,5.252954182053907,79.54429980279883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,10808.04671793546,6685.188531553524,0.0,0.0,0.0,19327.326359573315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.296515800157838,6.665595148348027,0.0,0.0,0.0,15.266313651150039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,11980.731053923348,10984.240346524586,0.0,0.0,4599.978375323015,11087.572629905695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.930508385898332,11.770556574435512,0.0,0.0,4.5661871741937965,9.315134179992384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,639.5201458284545,25011.012056348998,27449.90462501639,0.0,0.0,7249.968964707637,26054.011085748236,10957.364200845432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9448482771189598,16.787068368371912,26.210004948407953,0.0,0.0,3.2935544972886603,22.892969546746247,4.927055883810377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,12157.641246137871,19812.768215943033,0.0,0.0,671.6482261417236,36339.61673769195,13628.69681220548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.132401729795752,15.888533483093571,0.0,0.0,0.6247775396467486,57.983439267935196,5.853447503188236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,12559.322224831889,16486.695533252052,0.0,0.0,7168.089868153171,23435.006666121928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.269368722523343,9.241707755600233,0.0,0.0,6.194587182647156,10.394409871067678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,4272.603706565622,6251.491148132569,0.0,0.0,0.0,20181.2591163793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0076694178435925,7.931934300017674,0.0,0.0,0.0,12.64268720837172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,3331.9654409609684,2559.6079193605206,0.0,0.0,0.0,21829.937642014014,13990.220658203058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.393579596170577,2.0198463417685555,0.0,0.0,0.0,8.728662414722955,9.61837971215703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,8556.320308168863,7402.544108267582,0.0,0.0,0.0,27366.770801716506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.505116887047984,8.915092479655428,0.0,0.0,0.0,12.628149005272892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
