dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.40.11.023a-D.40.11.023a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.40.11.023a-D.40.11.023a
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,1.4920902520060235,7089.695419164333,10076.210521771594,1.3576975300385528,2.149333012612541,896.0245405094836,15906.655045274472,1053.3876969751718,0.004931680567313676,0.033718801429787615,0.023131929545837933,69.67540776450595,0.10644600024323427,1.9384676859451337,58.69529381099776,0.2878043766334304,0.0015420844414872881,7.095427463466671,8.100986590091392,0.0013639006106334485,0.007432545356646159,0.7134996343342873,12.58660650220503,0.809383022097345,4.728838570269951e-07,1.822231586790594e-05,4.118018532329222e-05,0.02135332591798725,0.00010010738430168432,0.002503513106394536,0.07525059205068768,0.0007214839517257313
std,33.59041586774459,5046.56313340624,7419.072662455947,96.0037130290487,123.05452398699363,2409.3537662887943,10151.054379097244,3204.5152767627965,0.348722477179342,1.915677019194418,1.2114626465128442,1880.625421716921,4.785892517025575,52.99709234723198,774.0320281248119,9.094865565872581,0.035489506512072805,5.28666849630372,6.229484299449428,0.09644233706433844,0.46044294397728575,1.929257963633934,8.276190116348157,2.4622938198266784,3.343793820174381e-05,0.000934759386975695,0.002324075227382491,0.6077999168008325,0.0049333424435477665,0.07086627655151076,1.0180450777422834,0.028783012309652065
log_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0,0.0,2418.206042749028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889501730639903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,991.3704752337069,0.0,0.0,0.0,0.0,6829.275003574689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911646712567177,0.0,0.0,0.0,0.0,5.067661271872191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.9%,0.0,1729.5232322311513,2316.3470531122152,0.0,0.0,0.0,8577.991679405495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5868422871538834,1.7249833047392973,0.0,0.0,0.0,6.540954420815729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,6690.782333378247,9852.206950209642,0.0,0.0,0.0,14517.92741818623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.496286830090217,7.488912047795682,0.0,0.0,0.0,11.478686275094878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.1%,0.0,11895.419496479883,16644.9810233035,0.0,0.0,1822.8642297277258,21249.15768140551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13735147459678,13.827972689837909,0.0,0.0,1.4952299122637538,17.19858207698164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90%,0.0,13398.712308993188,19201.06617582112,0.0,0.0,3119.71230183765,23816.511312372695,4739.2406670649725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.994013210200311,16.262953210383134,0.0,0.0,2.4812233265175077,19.478068358746846,3.7713561127431716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.7%,0.0,18795.518943865285,28343.750155768903,0.0,0.0,8208.789759035963,45108.917335382954,12046.419329291195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.626885568002624,23.456153057938486,0.0,0.0,6.439448931033009,33.81969208804512,9.403081709270435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99.9%,726.050740540458,29418.874743463122,40975.90914197273,0.0,0.0,19923.30773505676,99756.75758452919,21245.166721965914,0.0,0.0,0.0,42756.272592595604,0.0,619.0086719328068,11056.613747519274,90.9266010055632,0.6958933993069326,30.755500455132996,33.466022360915154,0.0,0.0,16.98642166682265,83.72274004923139,15.660276797635808,0.0,0.0,0.0,11.063148248533746,0.0,0.8940468853119089,16.71533177659423,0.14763336892914755
max,881.0266873381635,32975.756418083285,46746.788200599774,6788.487650192764,8371.217629865141,46295.48441296653,144950.74339228246,34677.95699520021,24.658402836568378,129.7895169996877,75.8692175924626,60875.54377676373,290.9404140352626,2722.213661990804,12313.449256524911,456.32303964164873,1.1229312210785325,42.21091923565771,39.68139169857523,6.819503053167242,32.17490226597689,37.64635925993028,115.7832249970877,24.390070991843718,0.0023644192851349755,0.056020064649202936,0.15685830241610052,26.48332101655722,0.32357579952680987,3.9630152379647026,20.014670368072064,1.9221668025670198
