cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,excessiveRID-1,irreparable-0,irreparable-1
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,3227.9224320000003,834.0922368,213.13290240000003,148.53242880000002,595.5158016,760.6370304000001,2679.5188224,388.00834560000004,1239.1142400000003,1583.0553600000005,5586.048000000002,807.7824000000002,6731.2512000000015,1735.3958400000001,439.05024000000003,310.30272,3578.62774,974.81061,1897.56165,1809.6400511146167,1553.2291195278856,1819.4301304445207,808.0926585123177,687.5875924340515,1862.4060999731362,2752.362189561917,687.5740949411168,1.8608,6.226,2.3812,1.532,0.0586,0.9414,1756.9666254113638,313.4309982887811,46.161834693496125,178.51049328058684,121.0112443787281,3509.749331627719,630.6400016040899,92.5702403225706,356.16977316047314,143.86963564997396,98.99570626286236,0.0776,0.9224,1192.4884855745881,469.68140741710516,334.55563452483136,87.6699648,59.78603519999999,6.168,9.832,1.4064,0.3968,0.1968,0.9722,0.0278,12602.808338472343,6163.320903403509,2397.6718472208886,231.4004262290065,4.453768803373063,3.7557143480479134,0.473,0.527,1.8692,0.1308,1.0,1.8736,0.1264,0.8928,0.1072
std,708.8344055869991,389.49533254823285,250.7401216493815,281.44596956731084,345.92846866278086,253.6725963263302,432.3446163025695,489.6636146529668,725.5834820688195,554.9839904692801,906.6195153674607,1028.4269608586721,1486.1591400467412,841.0226313363859,525.2072942680185,587.8827393959255,2134.690705371392,732.9440329677434,1914.6747953274337,835.8624289597483,622.968044228699,755.193753356102,865.7317095652659,480.57842509148014,675.397784623401,892.858853614055,309.89942381859913,2.081703643175849,2.5318384705996237,2.0179943062863286,1.9675747177817695,0.23489801066650823,0.23489801066650823,556.114390269535,334.38348062517696,121.72004263552132,111.69584530335327,110.6153147639599,1113.7182364921684,685.2187261808476,244.67115508447833,224.82248027603998,154.7400540031396,152.72485895457837,0.2675678577701409,0.2675678577701409,662.7551318876366,403.20311224427434,448.41682312997364,40.75418485316248,40.75418485316248,4.659454700243444,4.659454700243444,0.9137866497209519,0.797669740809491,0.5957690392674244,0.1644158341319432,0.1644158341319432,6520.659873366493,3751.0376247784593,3379.329127619956,55.76589943932093,18.90123790967412,18.60291688968365,0.49932040231982766,0.49932040231982766,0.4945101293741218,0.4945101293741218,0.0,0.3858144768695343,0.3858144768695343,0.3093982958277117,0.3093982958277117
log_std,0.2417771353262003,,,,,,0.1957582801475632,,,,0.19463209829637385,,0.2426734069840287,,,,,,,,0.43277961079638216,,,,0.373928839635191,0.38825693142396095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
min,921.6,0.0,0.0,0.0,0.0,0.0,147.45600000000002,0.0,0.0,0.0,345.60000000000014,0.0,1843.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.78785691180866,0.0,0.0,0.0,204.45019642069957,99.48970769002155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1%,1105.92,0.0,0.0,0.0,0.0,110.59200000000001,552.923136,0.0,0.0,230.40000000000006,1267.2000000000003,0.0,2534.2848,0.0,0.0,0.0,0.0,0.0,0.0,213.65451486048175,285.58599305172396,0.0,0.0,0.0,423.60541309104593,267.71868960738055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.90964642287953,0.0,0.0,0.0,0.0,234.89105471006258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.767500080662746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.3%,1769.4720000000002,36.864000000000004,0.0,0.0,36.864000000000004,368.64,1622.016,0.0,115.20000000000003,691.2000000000002,3456.000000000001,0.0,3686.4000000000005,115.20000000000002,0.0,0.0,0.0,0.0,0.0,531.5327160198293,527.7901301195441,299.21228299209633,0.0,48.3594949131381,772.8193338192849,976.4968089125562,157.27284822853278,0.0,2.0,0.0,0.0,0.0,0.0,589.6391872018181,0.0,0.0,0.0,0.0,1184.7774337499175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3728,1.8432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.159632909194,117.94831047742342,0.0,126.42406412831149,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10%,2248.704,258.048,0.0,0.0,184.32,516.096,2138.112,0.0,345.6000000000001,1036.8000000000002,4492.800000000001,0.0,4723.200000000001,460.80000000000007,0.0,0.0,322.55,0.0,0.0,882.1155389339641,795.1312957131063,871.0283481549915,0.0,170.49381202990503,1075.9151156021605,1612.3536564366484,308.1777181275168,0.0,2.0,0.0,0.0,0.0,1.0,1049.97983278744,0.0,0.0,0.0,0.0,2084.2191499855976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,247.43096194165983,0.0,0.0,27.648,7.3728,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3708.2277909271825,1052.2462638858042,0.0,166.88194286563228,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
15.9%,2469.888,405.504,0.0,0.0,221.18400000000003,552.96,2285.568,0.0,460.8000000000001,1152.0000000000002,4723.200000000002,0.0,5184.0,806.4000000000001,0.0,0.0,967.65,0.0,0.0,1035.7562875938181,934.8743607095427,1091.2539018094972,0.0,241.2616629023978,1210.4023906001853,1869.288032480577,386.5096997865591,0.0,4.0,0.0,0.0,0.0,1.0,1222.1874596564578,16.478682525721904,0.0,51.91777144078487,0.0,2457.321443964269,34.53837403384828,0.0,101.20786399822188,0.0,0.0,0.0,1.0,415.72084178110555,0.0,0.0,38.7072,14.7456,0.0,4.0,0.0,0.0,0.0,1.0,0.0,5368.719189508272,1799.9883280415545,0.0,180.39098348733302,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
50%,3280.896,884.736,110.592,0.0,552.96,737.28,2727.936,147.45600000000002,1152.0000000000002,1497.6000000000004,5644.800000000002,345.6000000000001,6796.800000000001,1843.2000000000003,230.40000000000003,0.0,3870.6,967.65,1290.2,1672.757557398583,1490.3816877383235,1810.2742303385803,553.3558423776853,595.0785788670935,1773.0240636369417,2750.439168125601,660.2995351339339,2.0,6.0,2.0,0.0,0.0,1.0,1765.3577215703267,185.23657507166638,0.0,182.08898933186538,100.55482435065974,3528.734238608212,380.66582026535553,0.0,366.4748565215112,114.53833759695132,0.0,0.0,1.0,1235.9058413281482,414.9136537577005,168.84609167930535,94.00319999999999,53.452799999999996,4.0,12.0,2.0,0.0,0.0,1.0,0.0,12623.878253043007,6177.233928509797,982.9885945665006,227.29959158249846,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
