cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,irreparable-0
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,3697.975296,658.6417152,55.59091200000001,11.472076800000002,708.8357376,664.2229248000001,2977.7559552000002,72.8653824,1476.9331200000004,1385.3952000000004,6198.981120000002,154.69056000000003,7704.2304,1371.1104000000005,117.29664000000001,23.362560000000002,3380.4530200000004,890.238,2180.30898,1925.5989082955812,1959.3008148544393,1870.1537187735908,235.13838876801339,777.6132792150732,2029.294504651808,2548.2924190994763,634.9431640757956,2.0132,7.3516,2.1364,0.4988,0.0004,0.9996,1677.939130473422,360.4058580883422,78.0188464359807,168.57119295324622,130.9614520702207,3358.9615733240494,717.3981069603064,156.72958734183507,334.98115461433554,142.9330122009978,121.11018862161299,0.0798,0.9202,1121.5195657557967,458.3524071651061,416.7544222088059,83.01330431999999,64.44269567999999,5.1648,10.8352,1.106,0.5904,0.3036,0.969,0.031,11861.091649340435,6226.118852669651,3080.617124295756,227.58780528148756,5.970210212071706,6.0550912189724055,0.2844,0.7156,1.8096,0.1904,1.0,2.0,1.0
std,127.58672323248305,157.69485759831448,98.74165990451851,49.52298705590657,97.62235923033762,130.97874943702266,208.03629765027543,141.32617176928542,253.77977554163067,337.57809468471476,458.23386095945773,300.3396247199524,315.7777573709872,373.17856667869563,214.388451420152,101.04990758536599,2295.9159994793395,728.5504448575543,2166.653419666272,479.2938368208081,459.3322723732465,564.9990772401427,278.25215697750343,290.8075583080935,467.9457539832379,553.3980529554483,243.32608404104923,1.7374779209835103,2.367255419181447,1.8431696869520668,0.9148584334150492,0.019997999499869967,0.019997999499869967,633.1620452700992,391.7418569417654,208.04361311446115,117.58140943941123,115.08805915028358,1267.9312667599024,781.7926125792756,408.07075358173967,236.75244464146962,157.07922086150023,180.3073627289195,0.27101042291739624,0.27101042291739624,700.1112601040228,399.57505644670744,554.90613363037,45.52679385081678,45.52679385081678,4.377838970863474,4.377838970863474,0.9944655812839737,0.9123564648007777,0.7177256202848012,0.17333496185651745,0.17333496185651745,7094.991783750584,4021.713312339138,4490.8232863311105,59.54134367677438,22.395691474959204,24.500839033997067,0.4511733053609157,0.4511733053609157,0.5870406828769796,0.5870406828769796,0.0,0.0,0.0
log_std,0.03453361898335417,0.29236136419089276,,,0.1412112731322028,0.20415091843508945,0.07459840979721392,,0.18103943419545748,0.2574241897282317,0.07885533087841998,,0.041094943388645826,,,,,,,0.24682430151864,0.2337630577835027,0.32451103057427444,,0.3776638228961621,0.22932898391684195,0.21678937244924562,0.40853215942947585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.1102230246251565e-16,0.0
min,3207.168,73.72800000000001,0.0,0.0,368.64000000000004,184.32000000000002,1990.656,0.0,576.0000000000001,230.40000000000006,4032.000000000001,0.0,6336.000000000001,0.0,0.0,0.0,0.0,0.0,0.0,796.5761414079293,612.4171274950326,376.0058448829172,0.0,122.07115346513069,780.6178214050251,1054.3459619608973,29.814521880198487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
0.1%,3280.896,110.59200000000001,0.0,0.0,405.504,294.91200000000003,2174.939136,0.0,691.2000000000002,460.8000000000001,4377.600000000001,0.0,6681.600000000001,115.20000000000002,0.0,0.0,0.0,0.0,0.0,873.3517119485899,954.0517284177683,485.8252491302185,0.0,182.80067699116742,916.8761537929428,1293.0189367234298,99.14083477619363,0.0,0.0,0.0,0.0,0.0,1.0,14.88913386387262,0.0,0.0,0.0,0.0,25.485785844460292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
2.3%,3465.2160000000003,258.048,0.0,0.0,516.096,405.504,2359.2960000000003,0.0,921.6000000000003,691.2000000000003,4838.4000000000015,0.0,7027.200000000001,576.0,0.0,0.0,0.0,0.0,0.0,1136.297927648363,1183.6688898336422,830.8561123906297,0.0,328.2817055805707,1229.0501660980224,1601.9286831712066,231.54426849542122,0.0,2.0,0.0,0.0,0.0,1.0,279.5068782142371,0.0,0.0,0.0,0.0,571.2493808841209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0249889376417,127.4271072690033,0.0,94.6883523642781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
10%,3538.9440000000004,442.36800000000005,0.0,0.0,589.8240000000001,479.2320000000001,2654.208,0.0,1152.0000000000002,921.6000000000003,5529.600000000001,0.0,7257.600000000001,921.6000000000001,0.0,0.0,0.0,0.0,0.0,1351.5150406448658,1404.4539430762502,1165.8929239284798,0.0,445.4153663016554,1474.801549787768,1883.8012466876899,348.5769510254896,0.0,4.0,0.0,0.0,0.0,1.0,798.7420530163887,0.0,0.0,0.0,0.0,1570.2177962913847,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.843227856791664,0.0,0.0,14.7456,7.3728,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2015.1413886214796,963.3901037738173,0.0,160.22725556073055,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0
15.9%,3575.808,516.096,0.0,0.0,626.688,516.096,2801.664,0.0,1267.2000000000003,1036.8000000000002,5875.200000000001,0.0,7372.800000000001,1036.8000000000002,0.0,0.0,322.55,0.0,0.0,1459.4517329838695,1507.4245523821014,1312.7451757481351,0.0,500.03095947704605,1582.0307477172596,2004.0098932340854,398.8941465557985,0.0,4.0,0.0,0.0,0.0,1.0,1038.1551692582786,12.75733527030974,0.0,0.0,0.0,2073.2933671070273,25.887744588631122,0.0,0.0,0.0,0.0,0.0,1.0,272.34459574015364,0.0,0.0,25.8048,12.9024,0.0,8.0,0.0,0.0,0.0,1.0,0.0,3477.7217374385873,1643.6411473406113,0.0,175.48372416329735,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0
50%,3686.4,663.552,0.0,0.0,700.416,663.552,3022.848,0.0,1497.6000000000004,1382.4000000000003,6336.000000000001,0.0,7718.4000000000015,1382.4,0.0,0.0,3548.0499999999997,645.1,1290.2,1880.2059415116578,1913.7943251434049,1838.62166146287,134.88516837878424,736.302616081104,1983.554939500522,2502.3603210670317,605.7686041011841,2.0,8.0,2.0,0.0,0.0,1.0,1717.8984745779085,204.88444033184018,0.0,174.29329190033815,113.71845978397539,3467.974182691454,403.13176719150164,0.0,345.7561057956319,113.41409241988023,0.0,0.0,1.0,1162.7768627433627,395.35201545017526,186.01149103101642,88.4736,58.9824,4.0,12.0,2.0,0.0,0.0,1.0,0.0,11993.56326505055,6076.4152076141945,1030.6949905336091,227.08796187962974,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
