dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.30.67.012b-D.30.67.012b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.30.67.012b-D.30.67.012b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b
0,10035.597519318844,85329.8432406275,138153.0027637557,77802.59349352714,20238.812169119105,119107.31542465548,285737.81677922135,50712.286287948955,917.6755941565381,11.408115250469258,29.49040851467851,0.0,288.8459018573397,64705.282824592636,0.0,3744.9772383018585,10475.84002387938,0.0,0.0,1980.5003724896908,0.0,8601.205337151985,16936.640517704775,10.252568713579977,93.55279434474348,106.4518185521334,54.283695631259405,11.011120109873609,93.06786395154818,233.56992021369226,31.19841206537378,1.3989667180856484,0.005431436056040143,0.05996720035369828,0.0,0.38314276918232526,19.33268455785722,0.0,5.895812225980252,22.557082907200943,0.0,0.0,4.401363292646921,0.0,2.976783892115763,7.7900465917634945
1,11504.663073400481,95835.28792776357,130525.86311171671,81403.40883013952,90979.0524075235,179519.6624270184,203560.76805390674,104721.09888891276,1776.5740813348596,239.09603548895475,210.1871525861884,848.572603894498,136.30990546579426,46868.7316111247,5764.9090684383,32645.058606521525,34604.03912579729,0.0,0.0,25497.67013985959,229.37526505245023,7130.408352502082,0.0,13.575755770142381,71.65072627700302,103.15719176788718,63.461120844485784,87.85781583694046,121.90198462001231,136.42597839723868,57.88165806463088,1.3651824462667734,0.28346406600251833,0.10707378445376697,1.9013131061548616,0.23085943218207722,10.168832313916583,2.570392445953568,33.010797215017476,53.36045986796354,0.0,0.0,16.809729210399336,0.2217295319254884,2.296695030958244,0.0
2,9591.976439824452,109863.55204950577,132203.091340973,61422.227406831626,50196.52694337334,166920.20153175583,260178.83193290397,57974.4038653376,1858.0554705180025,109.24117853951702,45.2131540748433,749.9764414871881,174.96007462465022,48829.2427400045,2102.185279313484,14010.662082227702,27551.035310653606,0.0,0.0,3356.667719225341,0.0,8447.995735109802,19186.8473029072,10.58002142156577,79.11690614700308,110.10564118860269,44.7672990431761,63.038032850542294,93.26739251106208,194.74304174615008,47.668565959866115,0.6380679254329188,0.11715179204542578,0.2595117970773504,0.29605775051294,0.43712491741044035,10.791169774449997,1.3134236868268392,19.624602934878276,35.38759544312854,0.0,0.0,4.59709942098754,0.0,3.0564961974238556,4.457473915741333
3,11159.589454651343,90797.11372847366,158099.8612139573,61340.27066245931,27031.26809085827,139852.60029157682,322789.506987247,50756.47033983667,1424.5335051574075,497.0729069188751,0.0,403.65274010566895,33.695480895206366,56924.02085489037,213.39463409850245,12973.584675721622,17449.368381787477,2178.5357070835203,0.0,7060.193252970116,0.0,14151.962691010824,0.0,12.405837433515057,89.19179909467144,102.308923492072,47.69362059524312,62.67872611694632,54.35851721565441,200.4752143684655,25.526530446223866,10.538666905571315,0.07279620076615809,0.0,0.5002555970240506,0.16337723423777778,20.659743575457618,0.28167260271695715,17.189700527460285,27.983636888887496,1.2152122491993225,0.0,4.804530435339796,0.0,3.3274382376309743,0.0
4,10691.252494804214,88086.0781481147,139068.93958782163,62998.297686585756,0.0,147925.98973762157,243944.7726977472,40696.3365152095,3301.070079686503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10853.06557848062,0.0,10.313471017185943,93.24490745961022,117.15422751026182,36.56834673047177,0.0,106.24867854274858,270.4654246241032,42.47081246467124,0.9107336935409115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.920993075758924,0.0
5,34538.16014332261,74350.14810979755,154441.37346834067,173342.1209292124,72396.7813541967,121160.71228251707,208767.98419548746,35983.39788066581,3713.1133812771004,9188.437406622877,177.63032438332152,41703.83807373968,587.9386217701657,57073.77792335138,14003.927258070937,42103.2377717535,40057.21641391143,2732.1898389976736,0.0,39579.83616741851,1257.7976698229604,7991.235960129649,0.0,26.667930476204102,84.23205615953707,106.89117151952158,80.68484315404741,192.41991611509883,125.97759462073574,150.04088097989177,31.280592831336875,0.5449795182541882,9.256507484933477,0.10698328861455476,38.013784413244274,0.8031901400748207,12.780716652329527,6.211003649970361,49.2949302787952,34.72365193854429,0.7040879124322159,0.0,7.083533171475702,1.1853095159350249,2.631621062496526,0.0
6,13660.449966384163,84881.85416301561,157447.7764146256,62494.37961458782,90533.36460473755,182121.97350969553,310952.61451124767,43182.799070818815,1377.5598426809024,34.20663122071224,99.89638535462811,1075.7155575182521,671.8009474094465,52765.149988872676,7575.9928716572085,17424.15439165259,36663.348285686356,2439.2681425785577,0.0,5961.054046427552,0.0,0.0,0.0,14.545026625343068,79.78163446167059,126.24165340578146,37.83392854045792,57.44042679134458,84.86559656701343,199.05346793818387,25.23012157460601,1.2517517410977934,0.0258002545076003,0.028013134282643775,0.35202183436497025,0.20929871143839313,15.578049411378586,3.7882195172415196,14.7024246806363,47.96540028555053,0.5990827287758199,0.0,3.1886794769926947,0.0,0.0,0.0
7,14053.800642183494,85771.8861861873,129292.10563415548,40073.681649138736,76590.82065355746,111294.5627275786,281014.31190081703,108998.11253814683,2517.992488804806,214.34007992646127,222.75583379052617,2704.3090681357544,263.3976836667778,45954.68038459972,2229.254412492416,24337.870684587266,35508.42211642981,0.0,0.0,17413.095108708138,0.0,9055.030992385071,0.0,13.223269051655446,88.38049515232709,111.0538216945056,35.0179162077495,145.26473903365556,115.01069715236872,206.37994959179008,110.44319485460824,2.035594671578923,0.36007700997672754,0.22447495301924952,2.377159858797392,0.36734069578203543,23.380221409590128,2.124341082812337,18.945837530652568,38.388187310117296,0.0,0.0,7.61731867986914,0.0,4.09277995701221,0.0
8,21086.960156144225,91419.96151558062,149611.72583873745,96299.44913314721,109196.04528263738,142869.66320713796,212559.0145268378,66074.5232843344,891.1399935415817,1700.5319865104027,81.81998874212924,9868.771515255257,270.64260361365274,52874.0476189054,9636.132018043458,38730.70070145567,27397.028756549324,1894.5897134086315,0.0,50501.297217592146,100.13929386410103,8415.860063640226,0.0,17.08838142957623,79.1684831736415,110.67151590768111,81.40570423944456,108.50804796261212,89.15796768127697,199.73591961245052,52.391054869744224,0.8264214871293566,1.5025713809306571,0.06334609446690162,12.989388446157049,0.5330929716470487,13.886577889827924,3.5826978901312923,40.97583337394601,34.76484266351092,1.0949177140600823,0.0,16.31810429836971,0.025271603932779295,1.4785924434987259,0.0
9,18548.76945007261,92611.7314950766,151672.06465943847,75839.65287862682,148727.63866349444,115322.07635621986,230516.2847748363,78643.72720861777,1734.9190941881848,856.0928331932815,117.16838329979375,2722.46442838233,400.97577342714516,50923.06762764201,8796.330402225969,39587.09092432397,37774.31793779769,69768.87039239563,0.0,36451.431088884136,225.69290679514856,11654.431277853253,0.0,18.69198081444997,119.43095706967377,131.17875651124564,70.42718512893381,86.81505044228813,114.71602872195476,220.99113346151597,95.3487389485866,0.9702113100633761,0.8627950944678193,0.16967453522784104,4.089502812734418,0.22009426511768576,13.356947097688163,4.087544784345245,41.1695808810256,43.923099166568754,12.95911240940968,0.0,10.659079768019872,0.4800643113622515,4.3204581712914685,0.0
