cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,irreparable-0
0,3686.4,442.368,258.048,36.864000000000004,737.28,663.5519999999999,2506.752,516.096,1382.4,1267.2000000000003,5644.800000000001,921.6000000000003,6912.000000000001,1612.8000000000002,576.0000000000001,115.20000000000002,0.0,0.0,6451.0,1324.501845847237,1148.298750622813,2448.030279015812,711.7570758933231,388.29132238800656,1599.2856827760663,2715.196831299509,914.9523998756416,2.0,6.0,2.0,2.0,1.0,482.8999803798512,871.2645026048641,261.7491480804259,64.4906277125284,285.53579416430625,1242.2128669920457,1908.8308847516846,275.63775496278356,91.54864234023901,131.0278273582161,344.3048229956177,0.0,1.0,527.8665539619564,574.9374047889287,747.910551066323,18.432000000000002,129.024,0.0,16.0,2.0,0.0,0.0,1.0,0.0,2349.6987532368844,8427.626333989348,9633.153468633036,313.4255035065872,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
1,3612.6720000000005,811.008,0.0,0.0,700.4159999999999,589.824,3022.848,110.592,1843.2000000000005,806.4000000000002,6451.200000000002,115.20000000000003,7603.200000000001,1382.4,230.40000000000003,0.0,6451.0,0.0,0.0,1921.0537793614008,1642.9780172766548,2372.983846802985,563.9192361870586,927.6075378756757,2023.6256903658436,3088.022173776966,1057.9542211978046,2.0,8.0,2.0,0.0,1.0,3083.700546896288,0.0,0.0,173.63627797086218,0.0,3165.4951662432986,0.0,0.0,764.9710970929004,0.0,0.0,0.0,1.0,2067.33952678097,0.0,0.0,147.456,0.0,8.0,8.0,0.0,2.0,0.0,1.0,0.0,19635.46457232621,825.0558766027331,0.0,206.70449642649146,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
2,3502.08,921.6,0.0,0.0,589.8240000000001,737.28,3059.712,36.864000000000004,1152.0000000000002,1843.2000000000005,6105.600000000001,115.20000000000003,7257.600000000001,1958.4000000000003,0.0,0.0,5160.8,967.65,322.55,1719.272571682824,1709.9466831235802,2551.4959566709604,0.0,935.8370876985191,1567.1582287979313,2430.2922273766912,750.781358606497,4.0,6.0,2.0,0.0,1.0,2026.283882224906,128.35013763290965,0.0,224.45110759546236,145.62407369442923,4233.768667397675,243.60676811095067,0.0,358.171456413148,155.68639214048108,0.0,0.0,1.0,959.8441564391007,745.4896802038255,0.0,99.5328,47.9232,8.0,8.0,0.0,0.0,2.0,1.0,0.0,14369.47346150609,4350.75386763057,892.924303058694,250.9857603816721,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
3,3575.808,811.008,36.864000000000004,0.0,774.144,589.8240000000001,3059.712,0.0,1036.8000000000002,1728.0000000000005,6451.200000000002,0.0,7488.000000000001,1728.0000000000002,0.0,0.0,3225.5,967.65,2257.85,1982.0560833868913,1699.7692774568266,1726.400643850079,546.4419311578002,990.0635733537224,2169.54685912978,2712.5736147300877,388.2930665443271,2.0,6.0,4.0,0.0,1.0,1828.5205770647126,205.44811109875988,20.512422824126393,190.57401519959564,96.33198954261326,2933.3852412981178,579.2017734148751,0.0,108.11248484820872,180.43564669148702,175.29653803486852,0.0,1.0,1358.7957583778123,0.0,293.4170534855768,77.4144,70.0416,0.0,16.0,0.0,2.0,0.0,1.0,0.0,11588.691747307385,6646.189493870046,671.262623994173,277.6880648153649,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4,3502.08,921.6,0.0,0.0,626.6880000000001,774.144,3022.848,0.0,1036.8000000000002,1497.6000000000004,6681.600000000002,0.0,7488.000000000001,1728.0000000000002,0.0,0.0,5483.349999999999,645.1,322.55,2859.6474016517423,1932.585611536958,2312.2221953339913,110.79298113603062,925.5462995964281,2152.7925343498355,2965.087193755962,488.8379932034006,4.0,6.0,2.0,0.0,1.0,2086.519843035991,25.28487128437978,0.0,157.429937816299,53.48098534196826,4663.0943799140405,34.40632601533606,0.0,894.7400942168003,100.1356852304789,0.0,0.0,1.0,1392.3567997576763,0.0,0.0,116.1216,31.334400000000002,8.0,8.0,0.0,0.0,2.0,1.0,0.0,15846.059008119884,2363.909818887967,0.0,271.63736239370195,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
5,3428.352,700.416,221.184,73.72800000000001,774.144,663.552,2580.48,405.504,921.6000000000003,1843.2000000000005,5299.200000000001,1152.0000000000002,7027.200000000001,1382.4,806.4000000000001,0.0,0.0,0.0,6451.0,1975.0711479193237,1488.977789691283,1359.3701658186103,1004.4459463454067,480.58127199774276,2059.428674718539,2089.351017647313,981.5631725560737,2.0,8.0,2.0,0.0,1.0,563.1294055412679,953.214454281941,160.74511874714074,0.0,279.88259465476784,1240.1217496122044,2060.0872386235883,295.2874055956013,182.10604851560265,177.39191013041594,313.2729416138566,0.0,1.0,0.0,896.1620641577588,1435.697996349323,14.7456,132.7104,0.0,16.0,0.0,2.0,0.0,1.0,0.0,1447.9671092199062,9660.767919528615,7480.889418273917,205.4648361652395,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
6,3575.808,737.28,73.72800000000001,36.864000000000004,589.8240000000001,737.28,2985.984,110.592,1382.4000000000003,1497.6000000000004,5875.200000000002,460.8000000000001,7257.6,1728.0000000000002,230.40000000000003,0.0,645.1,1612.75,4193.15,930.2306722595182,1921.615979032581,1614.318446314509,220.913195263543,338.37290658495147,1825.3118653348804,2397.792454217006,427.72284442545634,0.0,10.0,0.0,2.0,1.0,1491.8590181658542,979.4499083647524,193.54742909735853,0.0,170.97904100361995,2749.6836495785283,1381.973970348451,109.05396795892398,0.0,478.2203002199989,262.6991805899154,0.0,1.0,285.0776522173959,576.1796770798835,840.1743832003103,40.550399999999996,106.90559999999999,0.0,16.0,0.0,2.0,0.0,1.0,0.0,5203.922889118689,14176.9078564778,6505.122945155708,207.2905875021851,0.0,106.17591098605439,1.0,0.0,2.0,0.0,1.0,2.0,1.0
7,3502.08,921.6,0.0,0.0,884.7360000000001,405.504,3133.44,0.0,1497.6000000000004,1152.0000000000002,6566.4000000000015,0.0,7488.000000000001,1728.0000000000002,0.0,0.0,6128.450000000001,322.55,0.0,922.843188449846,1361.9067461754753,3174.523494257137,163.408207809912,760.635013859848,1474.3606188297863,2902.557496505379,860.5649168332001,0.0,10.0,2.0,0.0,1.0,2547.5921975784563,0.0,0.0,256.10169834928104,0.0,4161.768162678656,185.1365977493685,0.0,730.2282119751984,0.0,0.0,0.0,1.0,2115.0677461916125,0.0,344.6578010489542,132.7104,14.7456,12.0,4.0,0.0,2.0,0.0,1.0,0.0,25976.907999024803,2408.413370163132,0.0,298.9150311628448,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
8,3428.352,479.23199999999997,405.504,110.592,589.8240000000001,847.8720000000001,2433.0240000000003,552.96,1036.8000000000002,2188.8,5299.200000000002,691.2000000000002,7718.4000000000015,576.0000000000001,806.4000000000001,115.20000000000002,0.0,322.55,6128.450000000001,1915.3194578549922,1899.4342368021921,1182.8567277999698,501.25464720737597,452.2766297889781,1138.2441637219904,2282.9076971416835,753.0470193675255,0.0,10.0,0.0,2.0,1.0,753.7363309630061,1055.976086530279,365.3503896175031,63.88074992485728,233.22967183954822,1404.615772634535,1990.0821627172822,384.88006785073054,0.0,145.5714709978995,275.1959880666725,0.0,1.0,0.0,412.87464695258,1766.4603712836924,23.9616,123.4944,0.0,16.0,2.0,0.0,0.0,1.0,0.0,1014.1511592369094,7680.903735816199,9710.7604918512,185.22825865166402,37.80120791435304,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
9,3465.2160000000003,921.6,36.864000000000004,0.0,774.144,552.96,3096.576,0.0,1267.2000000000003,1497.6000000000004,6451.200000000001,0.0,7372.800000000001,1843.2000000000003,0.0,0.0,6451.0,0.0,0.0,1754.2328225671727,1715.439006149111,1992.3060455979835,149.5897878781788,693.840406318492,1399.1220693072714,3300.755761532528,1040.1465352895598,2.0,10.0,0.0,0.0,1.0,1975.9139044924268,27.648206924624258,0.0,292.65396987306997,0.0,5134.418014196701,0.0,0.0,715.5379957213264,0.0,0.0,1.0,0.0,2209.628071707072,0.0,0.0,141.9264,5.5296,8.0,8.0,2.0,0.0,0.0,1.0,0.0,20283.83380446051,1294.338103937559,0.0,204.47626522672,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
