cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,irreparable-0
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,3498.135552,806.2009344,96.5910528,22.7524608,682.2862848,668.2853376,2942.9047296000003,130.20364800000002,1420.4390400000004,1390.6483200000002,6132.303360000001,272.60928000000007,7285.8700800000015,1684.0396800000005,199.71072,46.37952000000001,3332.0705199999998,862.4987,2256.43078,1868.3201830336109,1683.1801576459166,2059.539065568135,379.0649931006198,739.9737021436365,1902.7915043337937,2680.487046609236,666.9751589232889,1.7752,7.0788,2.374,0.772,1.0,1630.5912615322354,388.8453596356039,97.09427553984469,162.33555355761627,137.14628478541525,3269.6785137696734,771.199639137102,192.03366849420635,322.0374443368218,139.86304906454728,137.06713760525386,0.0952,0.9048,1073.478743577899,465.8422689843296,457.40808921134027,79.32248064,68.13351936,4.784,11.216,1.022,0.652,0.326,0.9562,0.0438,11360.98074177422,6272.290849842082,3532.4904546786724,225.23613935127884,6.1897446741709805,8.207234156029735,0.2498,0.7502,1.75,0.25,1.0,2.0,1.0
std,126.8588715010716,196.82026551407736,116.96968433732225,70.163617144268,103.95597818199992,142.76086927754608,228.06940583502745,172.22922955933296,266.69334562376775,353.2482474436951,501.67267658065253,365.9911381557255,324.1352614670902,446.4915678773058,250.7229059344073,148.76628308177226,2346.6265469107057,745.7529772222953,2238.311357860326,483.9773272381348,433.23653323245446,569.9151781099134,296.09658485644366,278.5269712311995,461.1815943285196,558.6947534659282,251.35055851347462,1.6138109669869745,2.3216521215967614,1.8691235177336218,1.0804857657081741,0.0,656.0523679755179,406.00281334972505,236.8264751965901,119.94449388245748,118.70273471891635,1309.795650841782,799.5010234305065,473.30614254877423,240.2247546425618,155.34528568227967,193.05544268871202,0.2935203414384898,0.2935203414384898,716.8076571611836,403.494725149712,578.7210734142627,46.878041791508515,46.87804179150851,4.2824539556633265,4.2824539556633265,0.999857961506852,0.9375882968354887,0.7388052291594359,0.20467031535520122,0.20467031535520122,7218.451581814354,4014.8949417778113,4911.533781239791,62.67758338512596,22.49494740548176,30.236942653001172,0.4329404664494853,0.4329404664494853,0.6615039814721456,0.6615039814721456,0.0,0.0,0.0
log_std,0.03636476528156191,0.293084334254928,,,0.15776611713784933,0.2206655176499852,0.08160722172818563,,0.1970536792194226,0.2678838525820938,0.08621083448686709,,0.044764259309985135,0.3136255727839478,,,,,,0.25491099108867343,0.2578810808398904,0.28560757048510454,,0.3803357678795997,0.24291495840217894,0.20643550790272613,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.1102230246251565e-16,0.0
min,3022.848,110.592,0.0,0.0,258.048,258.048,2101.248,0.0,460.8000000000001,345.6000000000001,4147.200000000001,0.0,5990.4000000000015,230.40000000000003,0.0,0.0,0.0,0.0,0.0,575.6244416784398,587.6443129119056,549.100317545033,0.0,108.20654563453628,689.5110970713973,1146.905998645513,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
0.1%,3133.403136,184.32000000000002,0.0,0.0,368.60313599999995,258.048,2174.976,0.0,691.2000000000002,460.8000000000001,4492.684800000001,0.0,6220.684800000001,345.6,0.0,0.0,0.0,0.0,0.0,775.8024481845617,644.6517820439905,740.5282342507521,0.0,186.6719266398985,742.3503206033006,1395.0087792985871,123.79869155886587,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
2.3%,3244.032,331.776,0.0,0.0,479.23199999999997,405.504,2359.2960000000003,0.0,921.6000000000001,691.2000000000002,4838.4000000000015,0.0,6566.4000000000015,691.2,0.0,0.0,0.0,0.0,0.0,1078.4688391776017,952.8412847106202,1044.90030281046,0.0,300.6303006061024,1110.158971627028,1736.6018453909428,253.3645890234614,0.0,2.0,0.0,0.0,1.0,197.00471737105474,0.0,0.0,0.0,0.0,420.4330720675385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8432,1.8432,0.0,4.0,0.0,0.0,0.0,0.0,0.0,140.3514561782765,97.51978411443466,0.0,76.40859351564148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
10%,3317.76,516.096,0.0,0.0,552.96,479.232,2580.48,0.0,1036.8000000000002,921.6000000000003,5299.200000000002,0.0,6912.000000000001,1036.8000000000002,0.0,0.0,0.0,0.0,0.0,1307.489849037866,1169.9458312614447,1359.1537894900443,75.52283418456244,423.25838185029613,1361.8016585912276,2018.3335991704055,372.7823253459603,0.0,4.0,0.0,0.0,1.0,681.3223656573566,0.0,0.0,0.0,0.0,1361.279644304337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0592,7.3728,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1478.5295299248799,824.8452786257292,0.0,155.03126685776888,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
15.9%,3354.6240000000003,626.688,0.0,0.0,589.824,516.096,2691.072,0.0,1152.0000000000002,1036.8000000000002,5644.800000000001,0.0,7027.200000000001,1267.2,0.0,0.0,322.55,0.0,0.0,1407.2685814414654,1258.3209298813804,1490.5863950028504,113.21131499236105,476.0599318185154,1464.0648131667547,2143.3654812979175,426.30142555996764,0.0,4.0,0.0,0.0,1.0,951.987498050552,13.064507546257543,0.0,0.0,0.0,1917.628371348024,27.416510561655066,0.0,0.0,0.0,0.0,0.0,1.0,204.40008757222216,0.0,0.0,22.118399999999998,12.9024,0.0,8.0,0.0,0.0,0.0,1.0,0.0,2946.737198905119,1583.0650605363905,0.0,172.74219916443806,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0
50%,3502.08,847.872,36.864000000000004,0.0,663.5520000000001,663.552,3022.848,36.864000000000004,1382.4000000000003,1382.4000000000003,6220.800000000002,115.20000000000003,7257.600000000001,1728.0000000000002,115.20000000000002,0.0,3548.0499999999997,645.1,1290.2,1819.2151992586519,1644.4486766405248,2015.8641235553473,310.7907462266566,702.3787386351729,1852.4999336039755,2621.2219573890843,641.625330600132,2.0,8.0,2.0,0.0,1.0,1684.0551928148043,234.81482514765864,0.0,166.08090541779654,121.01827592977472,3390.691904713931,466.10339624514756,0.0,322.5970055303992,110.50301187313103,0.0,0.0,1.0,1099.1514359318262,409.80869910290403,220.03891804943345,82.944,64.512,4.0,12.0,2.0,0.0,0.0,1.0,0.0,11274.517680593,6309.2364748017735,1256.3250348756826,225.58247128812826,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
84.1%,3612.6720000000005,995.328,221.184,36.864000000000004,774.144,811.008,3133.44,331.776,1728.0000000000005,1728.0000000000005,6566.4000000000015,691.2000000000002,7603.200000000001,2073.6000000000004,460.80000000000007,0.0,6128.450000000001,1612.75,5160.8,2317.2905832697493,2097.1605957342545,2619.6046974427613,647.2988402842293,1002.4576684789681,2356.183381822384,3231.5459104184483,909.4734613413711,4.0,10.0,4.0,2.0,1.0,2249.8378354095585,869.3114530213875,160.75638452635604,289.1924751946732,275.0404638014475,4527.889968338466,1711.3190366321207,320.7516792520972,584.1462081024579,294.18690166617347,348.70592975926945,0.0,1.0,1855.0158290915454,894.7831221563534,1085.7355930269173,134.5536,125.33760000000001,8.0,16.0,2.0,2.0,2.0,1.0,0.0,19122.68422580201,10448.350838452268,7836.106786708295,282.0591275876959,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0
90%,3649.536,1032.192,294.91200000000003,73.72800000000001,811.008,847.8720000000001,3170.304,442.368,1728.0000000000005,1843.2000000000005,6681.600000000001,921.6000000000003,7718.4000000000015,2188.8,576.0000000000001,115.20000000000002,6451.0,1935.3,6128.450000000001,2500.7306257036525,2256.2668674300935,2798.0297040612422,771.6276362302209,1102.4040345030871,2507.545234273146,3427.8342220920777,996.3001128442355,4.0,10.0,4.0,2.0,1.0,2412.301805777461,1027.7657597861012,302.89007475534754,317.97064050184366,306.63826472824724,4847.535341260099,2023.7614925689975,562.692333285255,641.370997792179,359.3993140044563,444.2318886963854,0.0,1.0,2006.0254894987188,1039.6678985388664,1378.810308926662,140.0832,136.39679999999998,12.0,16.0,2.0,2.0,2.0,1.0,0.0,20968.183420767244,11524.359392014767,10782.110876700499,299.0580340057358,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
97.7%,3760.128,1142.784,405.504,258.048,884.7360000000001,995.328,3207.168,552.96,1958.4000000000005,2073.6000000000004,6796.800000000001,1152.0000000000002,7948.800000000001,2534.4,806.4000000000001,576.0000000000001,6451.0,2580.4,6451.0,3017.7210104501337,2680.3363713877943,3327.899849493282,1144.3702429658763,1417.238880020884,2953.9433463994665,3945.9207002308117,1218.8959969835068,6.0,12.0,6.0,4.0,1.0,2871.567386572784,1329.572508259413,871.6203522163919,394.19039354963127,379.5305308875577,5695.969332363188,2598.423131994521,1685.7394738943403,784.9498808520616,523.1471560786769,644.9700120087084,1.0,1.0,2362.3733756276224,1388.425188276414,1973.835797942955,145.6128,145.6128,12.0,16.0,2.0,2.0,2.0,1.0,1.0,25459.133429520298,14299.93650970815,17920.646247593428,352.13093332535146,80.05124472507077,105.9722153219085,1.0,1.0,2.0,2.0,1.0,2.0,1.0
99.9%,3907.5840000000003,1253.4128640000074,479.232,552.96,995.328,1179.6480000000001,3280.896,552.96,2188.800000000001,2649.6000000000004,6912.000000000002,1152.0000000000002,8179.200000000002,2995.2,1036.8,1152.0000000000002,6451.0,3548.0499999999997,6451.0,4031.1753167254137,3432.05270460654,4232.429923608249,1936.6858939517217,1973.5604946663007,3813.232564744469,4883.878455607251,1770.7762109160083,8.0,12.0,8.0,4.0020000000004075,1.0,3507.3487973480887,1909.4660492243222,1970.4733387843112,512.585850785634,479.9941636631881,7126.657441012084,3600.7946417090893,4109.603546626197,986.6707157730826,847.1623373373909,880.5830258434063,1.0,1.0,2785.5456147073573,1944.3491659554443,2589.129145178256,147.456,147.456,16.0,16.0,2.0,2.0,2.0,1.0,1.0,31521.31730672666,20850.69590043867,28339.416467459516,447.19985380475464,190.96717956378905,285.9147465310851,1.0,1.0,2.0,2.0,1.0,2.0,1.0
max,3981.312,1400.8319999999999,516.096,552.96,1032.192,1363.968,3317.76,552.96,2419.2000000000007,3110.400000000001,7027.200000000002,1152.0000000000002,8409.6,3225.6000000000004,1152.0000000000002,1152.0000000000002,6451.0,3870.6,6451.0,5445.923599514202,4512.23580370616,4686.92488092647,2581.62239243255,2575.0763937066904,4344.551517603997,5482.056136038811,2709.034274644798,10.0,12.0,10.0,6.0,1.0,3920.317652482449,2399.273765947652,2279.672342804646,607.716939724183,557.4183194157357,7921.423641849863,4021.803331767878,5617.684072179483,1175.3216876668273,1016.8951042196736,1009.5487572887604,1.0,1.0,3088.349271558554,2264.5590708881705,2917.61323533655,147.456,147.456,16.0,16.0,2.0,2.0,2.0,1.0,1.0,38028.63296769484,21678.77946573584,33567.64988234468,541.4082176319117,230.75918395334406,351.73999390311485,1.0,1.0,2.0,2.0,1.0,2.0,1.0
