dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.30.67.012b-D.30.67.012b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.30.67.012b-D.30.67.012b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,15368.03299750441,92801.14301529102,146452.04352804465,93850.45467686882,58150.631362917804,146262.91744275557,235206.78165130672,62187.26246881569,2241.913040931543,469.98180346282095,68.13519785729386,2061.2958856917726,239.8157983588061,46694.30570420547,3516.5532237220286,18670.59037939336,27090.300275400496,10891.728886343455,196.2719182519347,12372.024300954947,83.95090434732496,6355.702314472624,2456.007757553795,15.342154152389803,92.76747531745265,117.76278726547594,75.39660819556835,66.05568045563282,117.31036286549377,187.37008484802013,49.657390276583115,2.2113461673118886,0.5113578031096239,0.07542504658833446,2.2476206876521383,0.26050346818483683,13.515644325324175,1.7873973798708631,22.001487345498397,32.93987094545205,3.240438154444287,0.08572489483687118,5.156877447791577,0.06092706146555853,2.1069415954198427,0.7094284515707417
std,5293.308651458346,12623.019526245786,15027.601085794837,25051.502510839582,47960.210541653934,40635.742081450444,36751.125399430995,36611.98488231608,2187.193526504542,873.2345156964171,68.25574779491775,3927.3905775245244,245.1859462706936,17528.3704157301,3975.645762127397,12699.605202119405,10472.705647985866,23224.29870657545,934.1083047689236,13941.194361443682,242.86079764210567,3922.861741498207,6592.392146133201,5.76661760697816,15.020405994900118,16.051002652672874,22.616809201142036,57.418390332024615,35.732250031374605,31.98261257654494,31.05897222408643,2.2970070431841534,0.9513571179207447,0.07752289388398331,4.352984841849067,0.2696473566851612,6.259572235296864,1.7418129827968525,15.297970948288514,13.6150547212575,6.961960168761493,0.4174604391567733,3.80038378050182,0.19326435455675814,1.4457961459273683,1.973432709575571
log_std,0.28934090751550945,0.13502714541869018,0.10238708859926879,0.251594897367345,,0.2696088074782812,0.15663622398000315,0.6847373520790807,0.8215598582214824,,,,,,,,,,,,,,,0.31829489575649955,0.16066601802155603,0.13469629033039812,0.28610200841682176,,0.2914868152524937,0.170733428894503,0.7002165433856092,0.8589272849005403,,,,,,,,,,,,,,
min,7367.339121919835,55893.23326734709,103382.22130486567,28048.05436577253,0.0,56829.286260578134,122515.32187164546,3485.3710980869123,86.6495608892613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.416800668912373,45.31652063159902,72.76215382576369,19.18749174138713,0.0,40.3099566116063,81.2568125991426,4.464145366756217,0.06033625556775675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,8157.562236417487,60781.90805599649,106174.2954733336,41372.557666050765,0.0,64540.806975978325,128924.75602957916,7977.30378357267,131.85225097879788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.975105201535564,56.611044477348536,78.74745475849585,30.558222540139905,0.0,47.43875761688744,96.64009098032379,5.00847067068937,0.1120649306844284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,9509.962182301537,70038.31621185689,119688.9482123545,55398.354614326236,0.0,82047.72326062339,167959.95464291275,12150.72199754293,311.09554660081614,0.0,0.0,0.0,0.0,0.0,0.0,335.36052182324755,7734.818364318961,0.0,0.0,31.6440999833289,0.0,0.0,0.0,8.580834675149877,66.65662290665857,90.1665440865698,40.99227526073123,0.0,63.588824276301175,130.13941575254526,9.26642280072388,0.27600230535050224,0.0,0.0,0.0,0.0,0.0,0.0,0.25373603380705645,6.0998930736686905,0.0,0.0,0.03591047321938801,0.0,0.0,0.0
10%,10752.218692325301,77335.27185262539,127711.65533739339,66904.9152529757,0.0,100264.4192581366,190993.11502799112,17115.561401182873,558.45663709712,0.0,0.0,0.0,0.0,32496.809273654235,0.0,2261.4463050471427,10891.941125693322,0.0,0.0,426.52693775758763,0.0,0.0,0.0,10.076465426995629,74.60361182051841,98.57962059128803,50.403198133983345,0.0,77.89972827050627,148.68679831031892,13.5491219300353,0.5086271042407459,0.0,0.0,0.0,0.0,6.495566978500579,0.0,2.6988368955560342,13.924166598304469,0.0,0.0,0.5026428892335861,0.0,0.0,0.0
15.9%,11349.95912977055,80358.6591793796,131091.07922335988,71674.44717513013,4216.424616921933,108158.7177345487,200774.78802745868,24301.198892342916,704.3531662660565,1.9109737377451037,0.0,11.90249788160801,0.0,39074.76075127562,0.0,4235.869537459171,16958.574906901722,0.0,0.0,919.8888197568589,0.0,0.0,0.0,10.872321765150529,77.92447912955825,101.80271912463736,54.96598949136131,4.766588051100296,83.78229850320814,156.5366007044679,18.945254742719005,0.6487782742489068,0.002223588379312993,0.0,0.012446797252736883,0.0,9.059140287002943,0.0,4.892597618146061,18.554438863076793,0.0,0.0,0.9228042918602612,0.0,0.0,0.0
50%,13831.34553353737,92067.36089529263,145682.62585344163,90248.25577713427,54027.377099764235,140392.87069691854,232808.87594332363,52533.10223300321,1599.9220565655244,112.04123188434687,53.14959229995975,473.66507715200925,182.67566257202748,49591.67576317212,2011.0390890949911,17107.77014866265,28502.269769202157,0.0,0.0,6983.006133621038,0.0,7671.256483720134,0.0,13.92718711014418,91.50893196368713,116.49105757547883,72.19723187117671,58.305431104391516,111.65318516035849,185.41967220791864,41.24401712198532,1.529476790014561,0.11456077494709085,0.05718997858158077,0.5103402101666752,0.1971786705901896,13.71749276029237,1.2517723195226258,20.21505130395564,33.89350680002536,0.0,0.0,4.849153940928595,0.0,2.33163857789065,0.0
