cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,excessiveRID-1,irreparable-0,irreparable-1
0,3317.76,1069.056,36.864000000000004,0.0,626.688,700.416,3022.848,73.72800000000001,1497.6000000000006,1267.2000000000003,6451.200000000001,0.0,7027.200000000001,2188.8,0.0,0.0,6128.450000000001,0.0,322.55,2418.120149182273,1771.088468709485,3498.6071772118567,797.565706567253,577.7431604127308,1104.8185707669184,3065.4033293031125,695.836682254142,2.0,8.0,0.0,2.0,1.0,1935.0976005220405,77.72684771718399,0.0,240.98996312954267,0.0,5889.54532414973,204.93481730037257,0.0,554.3094330151556,91.05650019991401,0.0,0.0,1.0,1939.7253278490568,467.43519110555764,0.0,125.33760000000001,22.1184,8.0,8.0,0.0,0.0,2.0,1.0,0.0,20812.681799354115,4961.425006073368,473.59080045694714,232.2073292822247,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
1,3280.896,995.328,147.45600000000002,0.0,700.416,663.552,2838.5280000000002,221.184,1382.4000000000003,1612.8000000000004,6105.600000000002,115.20000000000003,6912.000000000001,1728.0000000000002,576.0000000000001,0.0,5160.8,645.1,645.1,2175.2073819542825,1816.189804009326,2386.6804809947675,448.8530043343874,864.9852522406932,1636.446023166479,3139.388965445305,637.7646228160296,0.0,6.0,6.0,0.0,1.0,1839.5653464620973,265.98419729975734,0.0,215.46487650782868,54.01945044373077,5426.050060277395,561.0201513263198,0.0,414.63686692766663,146.1712834295935,0.0,0.0,1.0,972.766698442307,470.08241077680765,614.2844319240232,68.19839999999999,79.2576,8.0,8.0,2.0,0.0,0.0,1.0,0.0,10251.465400889332,6282.526409578551,1437.380924477615,177.2513443517755,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
2,3170.304,1142.784,110.592,0.0,700.416,626.6880000000001,3022.848,73.72800000000001,806.4000000000002,1843.2000000000005,6451.200000000002,115.20000000000003,6681.6,2534.4,0.0,0.0,5160.8,645.1,645.1,1419.890065769438,1754.7055848590114,2460.9210409131056,554.7200647393167,705.1937215607694,1552.813984142847,3763.3350540157644,480.97298663933645,0.0,10.0,0.0,2.0,1.0,1962.3564047044813,22.039998611989652,0.0,201.7880072349124,0.0,3170.097796931929,158.54757164170084,0.0,708.392742286859,0.0,0.0,0.0,1.0,1600.2122521437511,103.38909772597542,0.0,129.024,18.432,4.0,12.0,2.0,0.0,0.0,1.0,0.0,12568.617646855046,2525.451672730478,245.1392814314781,192.4792923432696,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3,3207.168,663.552,331.776,221.184,626.6880000000001,774.144,2469.888,552.96,806.4000000000002,1843.2000000000007,5414.4000000000015,1152.0000000000002,7142.4000000000015,1036.8000000000002,460.80000000000007,576.0000000000001,645.1,645.1,5160.8,1987.8259783751514,1663.8612217079337,1975.2197088716011,922.7917609671017,527.188208310919,2034.625625754132,3913.582243717577,336.5103748929191,0.0,10.0,0.0,2.0,1.0,1270.2354106421885,1159.023469455026,225.4783177223606,94.98986685044277,152.32562766341823,1677.5747509095095,2456.522808282418,299.6521203841248,180.95755500471523,0.0,244.92891179519034,0.0,1.0,0.0,600.5823881742072,1562.1864979961308,22.1184,125.3376,0.0,16.0,0.0,0.0,2.0,1.0,0.0,4308.661003126781,11188.494664327976,8266.651487450607,174.3470530261954,0.0,52.06710972927301,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4,3317.76,958.464,147.45600000000002,0.0,700.416,626.6880000000001,2875.3920000000003,221.184,1036.8000000000002,1843.2000000000003,6105.600000000002,230.40000000000006,6796.800000000001,1958.4000000000003,460.80000000000007,0.0,5805.9,645.1,0.0,1336.0682152156385,1468.9368618403214,2977.182290888134,956.0765616296051,1125.9607431838988,1493.8385572134248,3067.369295420381,853.1297997170916,2.0,8.0,0.0,2.0,1.0,2045.7330719979968,32.51882031405766,0.0,362.46054063775784,0.0,2882.5732730099508,0.0,0.0,445.54992494274484,0.0,0.0,0.0,1.0,2315.157449352132,276.42469413754264,0.0,140.0832,7.3728,4.0,12.0,0.0,2.0,0.0,1.0,0.0,13317.391186618215,2223.5843441796096,0.0,218.57392598563342,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0
5,3317.76,884.7360000000001,221.184,0.0,700.416,700.4159999999999,2875.3920000000003,147.45600000000002,1382.4,1497.6000000000004,6220.800000000001,115.20000000000003,6796.800000000001,1843.1999999999998,460.80000000000007,115.20000000000002,3225.5,1612.75,1612.75,2834.819775917562,1180.4937474578346,2276.698276674689,815.7749693910395,452.66787761791926,1406.1496217644876,3563.1668657199148,806.7260209438698,2.0,8.0,2.0,0.0,1.0,1730.5592059343885,306.08838297164635,0.0,175.17454403708513,173.5308287389772,3576.6897300531473,433.10381547780236,0.0,494.8005605346616,313.79048845085805,0.0,0.0,1.0,1038.3164289488095,660.486570348349,0.0,86.6304,60.8256,4.0,12.0,2.0,0.0,0.0,1.0,0.0,10456.365572405271,6514.9034602775955,1551.729806291923,190.97800515962044,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
6,3391.4880000000003,479.232,0.0,552.96,405.504,737.2800000000001,2727.936,552.96,1728.0000000000005,1267.2000000000003,5068.800000000001,1152.0000000000002,7142.4000000000015,921.6000000000001,0.0,1152.0000000000002,0.0,0.0,6451.0,1622.3658879321836,1757.347892281812,1371.16990574421,562.4607981948518,694.304061122774,2807.493280595268,2567.297891718809,796.8333454375299,2.0,6.0,2.0,2.0,1.0,145.84016211793988,687.7574976659303,976.9256045898786,0.0,458.45228633591125,358.25420430275034,1068.921320412723,1589.945792991553,0.0,0.0,425.46726030993585,0.0,1.0,315.50781432033705,0.0,1448.1304809277697,3.6864,143.7696,4.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,2262.4895830541027,16640.365807921105,84.85490628815245,0.0,89.11028138907028,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0
7,3354.6240000000003,737.28,331.776,0.0,516.096,774.144,2838.5280000000002,294.91200000000003,1152.0000000000002,1612.8000000000004,5990.4000000000015,460.8000000000001,7372.800000000001,1267.2000000000003,460.80000000000007,115.20000000000002,2902.95,1612.75,1935.3,1891.6198535269687,1880.1079489318847,1888.5454251532624,617.0520046681545,580.767882147828,1572.0917785524446,2131.003239787241,859.7259272201693,2.0,8.0,0.0,2.0,1.0,1328.9435085855396,324.1258037724209,34.32340047714275,152.77583278697966,113.1010323735101,3047.3240782650687,773.8227209202284,84.5016573611411,103.76651695400571,305.9922490186991,228.80804524219593,0.0,1.0,611.7787637795266,570.1040999607953,546.0346650903914,60.825599999999994,86.6304,0.0,16.0,0.0,2.0,0.0,1.0,0.0,10984.809194098169,11284.192247462706,2919.3004300025827,305.35698111254385,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
8,3391.4880000000003,958.464,73.72800000000001,0.0,884.7360000000001,552.96,2949.12,36.864000000000004,1728.0000000000005,1267.2000000000003,6105.600000000002,115.20000000000003,7142.4000000000015,1958.4000000000003,115.20000000000002,0.0,6128.450000000001,322.55,0.0,1242.5755132341596,1948.6562535715282,1677.115035313329,463.5748740018979,631.5226015205579,1728.7198478360508,3033.457701006867,578.8923599431895,2.0,8.0,2.0,0.0,1.0,2918.8544895005775,0.0,0.0,131.75637196401615,80.01266113407507,3584.154242252459,46.610596087866895,0.0,601.55536418296,0.0,0.0,0.0,1.0,1349.1014978073763,0.0,109.29134376349207,140.0832,7.3728,12.0,4.0,0.0,2.0,0.0,1.0,0.0,22155.237723024184,2503.3482981951424,0.0,253.9867365635264,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
9,3465.2160000000003,405.504,0.0,552.96,442.368,811.008,2617.344,552.96,1036.8000000000002,1843.2000000000005,5184.000000000001,1152.0000000000002,7142.4000000000015,921.6000000000001,0.0,1152.0000000000002,0.0,0.0,6451.0,1943.1010978789157,1946.1839099620315,2307.427007040613,598.2795748770216,334.4321220697066,1473.377314939203,2514.550441746881,871.5287569616904,2.0,6.0,2.0,2.0,1.0,249.98997912570343,890.9702306257777,912.5209581537081,0.0,474.34671524143675,511.0433664892531,1518.3280772384642,1655.0926692916426,0.0,0.0,760.4231635407791,0.0,1.0,0.0,0.0,2170.1976874936718,1.8432,145.6128,0.0,16.0,0.0,0.0,2.0,1.0,0.0,215.25836946516336,2426.0931327379008,12720.220033739242,86.19269361779742,0.0,85.38924276652354,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0
