cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,excessiveRID-1,irreparable-0,irreparable-1
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,3370.6450944,789.6342528,153.98092800000003,109.41972480000001,629.7624576000001,689.0913792,2824.1141759999996,280.71198720000007,1311.4368000000002,1435.8067200000003,5883.816960000001,584.9395200000001,7028.14464,1638.5126400000001,322.56,226.78272,3233.4347299999995,885.7223,2331.84297,1822.7023444619597,1629.6266172192388,1933.2784246300478,604.4449701515226,687.6154519205671,1886.8254822372287,2733.6598930113723,681.8413765977499,1.676,6.7644,2.382,1.1776,1.0,1585.0886847232227,420.38461295316324,111.08339495699461,152.43653873151086,147.08573661025096,3174.351720312973,835.7295559221445,222.94349736805586,304.9212564520889,144.47695504640012,149.59836321275847,0.09,0.91,1020.923771442299,481.61172855787873,494.1928195907776,75.460608,71.995392,4.5072,11.4928,0.946,0.694,0.36,0.9412,0.0588,10803.067844149473,6469.575524470972,3892.5913421240566,223.4761633366623,7.597450416055904,8.545917561948931,0.2204,0.7796,1.686,0.314,1.0,1.9212,0.0788,0.9212,0.0788
std,133.67738713316191,258.79549043803354,124.42323272435551,174.64542313028286,104.95605920666534,137.4291094819595,253.77750934609435,214.13119783377522,265.5405390243326,341.25713103280026,541.4157653546426,450.8817032307159,335.9701665294554,573.9451543695402,276.8914242300806,367.68208079794914,2324.553702447728,739.3458725999465,2227.975875672489,472.210022589212,438.9195517770852,540.9046171679009,312.48142250347087,276.03376385669,466.4175079844776,571.3961128928995,254.53802347403354,1.6028530274374857,2.3054621382998737,1.887535048075013,1.2009773975149858,0.0,665.3908458627071,411.9962712423963,260.2763328673055,119.39573254877033,119.4473884840608,1348.2625870492225,817.9782355722418,517.7544871122728,238.30192509919752,158.26024415543537,197.01200914463038,0.2862103828945682,0.2862103828945682,714.0377462281346,406.86057335546127,593.1662908150254,46.92507840771996,46.92507840771996,4.158726627398378,4.158726627398378,0.9986408046396553,0.9521267295175639,0.768451757510336,0.23527352321531048,0.23527352321531048,7201.974822950392,3932.099456640552,5165.403576716663,63.57782977563853,24.787148345201253,30.228161121905885,0.4145578507787887,0.41455785077878876,0.7276743103754564,0.7276743103754564,0.0,0.2694533002510885,0.2694533002510885,0.2694533002510885,0.2694533002510885
log_std,0.03981162679504786,0.378543558284276,,,0.17299223296078267,0.2063118315146034,0.09119377751918205,,0.21679901113613695,0.24978184198206607,0.09345836384230864,,0.048082802890022286,0.40938304473634823,,,,,,0.25670190646309293,0.2665536375572266,0.28415477062443223,,0.4100128600576543,0.246745209159057,0.2066695620363788,0.3998741814001337,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.18675211734813085,,,
min,2912.2560000000003,147.45600000000002,0.0,0.0,258.048,258.048,2027.5200000000002,0.0,230.40000000000006,345.6000000000001,4377.6,0.0,5644.8,115.20000000000002,0.0,0.0,0.0,0.0,0.0,612.2622964904026,476.39892970643587,680.4056808490789,0.0,72.30663249820282,526.0318447180862,1173.0163648516877,56.76132667691813,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.1%,2949.12,184.32,0.0,0.0,294.91200000000003,294.91200000000003,2174.976,0.0,460.8000000000001,460.8000000000001,4607.884800000001,0.0,5990.400000000001,345.6,0.0,0.0,0.0,0.0,0.0,782.4159419191362,626.8448782327496,719.1954339211815,43.75228960444503,113.0697672260948,792.9813112421903,1409.7699881550052,109.27143351148007,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2.3%,3096.576,294.91200000000003,0.0,0.0,405.5040000000001,442.368,2359.2960000000003,0.0,806.4000000000002,806.4000000000002,4838.4000000000015,0.0,6336.000000000001,576.0000000000001,0.0,0.0,0.0,0.0,0.0,1058.525930773077,916.606832505451,1011.131085945794,148.00069648568103,264.1461847471345,1098.1012212149801,1778.6103634650497,257.3079540167772,0.0,2.0,0.0,0.0,1.0,170.13490511773506,0.0,0.0,0.0,0.0,309.03136842596535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8432,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,162.2441655985417,0.0,75.20134728271411,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10%,3207.168,442.368,0.0,0.0,479.232,516.096,2469.888,0.0,1036.8000000000002,1036.8000000000002,5184.000000000001,0.0,6566.4000000000015,806.4000000000001,0.0,0.0,0.0,0.0,0.0,1273.096006456952,1120.2131344243296,1280.1206217486972,256.57499333964904,374.1702010191923,1336.3138892125075,2048.406890173745,375.88610701287905,0.0,4.0,0.0,0.0,1.0,624.4257039331666,0.0,0.0,0.0,0.0,1230.1639812912606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.216000000000001,9.216,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1259.2852919193483,1046.436223560142,0.0,152.08360855955968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
15.9%,3244.032,479.232,36.864000000000004,0.0,516.096,552.96,2543.616,36.864000000000004,1036.8000000000002,1152.0000000000002,5299.200000000001,115.20000000000003,6681.600000000001,1036.8000000000002,0.0,0.0,322.55,0.0,0.0,1363.464516655861,1206.4142832161406,1405.9794197714089,310.88307836219036,426.02794901097076,1436.59738634255,2181.0943392068325,431.78930004367567,0.0,4.0,0.0,0.0,1.0,877.172834737895,22.814816829539478,0.0,0.0,0.0,1726.4928932013322,43.45822804966213,0.0,0.0,0.0,0.0,0.0,1.0,174.75969613475485,0.0,0.0,18.432,16.5888,0.0,8.0,0.0,0.0,0.0,1.0,0.0,2517.5508878422247,1824.2918017405257,0.0,169.2106030897129,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
50%,3391.4880000000003,811.008,110.59200000000001,0.0,626.6880000000001,700.4159999999999,2875.392,258.048,1267.2000000000003,1382.4000000000003,5990.4000000000015,576.0000000000001,7027.200000000001,1728.0000000000002,230.40000000000003,0.0,3225.5,645.1,1612.75,1765.3401187681595,1581.2130989821735,1876.2735984051476,551.1620796382196,643.4708991051211,1842.4746862217435,2671.6046333297904,657.9474647906707,2.0,6.0,2.0,2.0,1.0,1656.985858207022,289.8123790761816,0.0,147.95190495710813,137.6569032373834,3313.295564060455,564.8477760756666,0.0,293.8761297501714,114.34705259565737,0.0,0.0,1.0,1018.7159678371258,435.21473773340347,263.6879298861367,77.4144,70.0416,4.0,12.0,0.0,0.0,0.0,1.0,0.0,10486.63548996918,6541.744343164703,1586.3709305426946,223.71548149194732,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
