cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.121-0,B.20.11.121-1,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
0,4423.68,0.0,1880.064,995.328,1548.288,3916.800000000001,2073.6000000000004,3225.6000000000004,9216.000000000002,0.0,5805.9,645.1,0.0,2937.7734863240007,1839.5931098966544,366.16511341843966,0.0,2136.700290303561,3535.685197540727,1150.0685271412488,268.6402974106244,6.0,4.0,2.0,0.0,1.0,2126.6435873044165,40.455709044144356,0.0,236.81551321457954,0.0,4089.168271296204,0.0,0.0,481.86725681255666,0.0,0.0,0.0,1.0,1574.8014264636581,0.0,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,1.0,20973.63331227367,948.9608385630513,0.0,203.30754749094726,1.0,0.0,2.0,1.0,2.0,1.0
1,4423.68,0.0,3133.44,1069.056,221.184,6451.200000000002,2304.0000000000005,460.8000000000001,9216.000000000002,0.0,6451.0,0.0,0.0,5547.362619668349,315.5770549220333,58.56944070857026,0.0,4721.32384292835,2413.2035501503797,191.40405615397677,0.0,10.0,2.0,0.0,1.0,0.0,2762.3065651777097,0.0,0.0,402.6050762039373,0.0,3678.7259245609253,0.0,0.0,552.8964166516205,0.0,0.0,1.0,0.0,1937.5366123939605,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,19020.941852254626,0.0,0.0,251.04914579522148,1.0,0.0,2.0,1.0,2.0,1.0
2,4423.68,0.0,3317.76,1032.192,73.72800000000001,7257.600000000002,1843.2000000000005,115.20000000000003,9216.000000000002,0.0,6128.450000000001,322.55,0.0,5837.229036621751,82.33241869099373,0.0,0.0,3176.298767110752,1462.1120336165686,0.0,0.0,10.0,2.0,0.0,1.0,0.0,2756.353625697794,0.0,0.0,376.07218497648404,0.0,3154.9024186818338,45.54256199257197,0.0,378.89235265447553,0.0,0.0,1.0,0.0,1442.7358518595265,0.0,0.0,138.23999999999998,9.216,16.0,0.0,2.0,0.0,1.0,18009.176572596654,1325.2406354125742,0.0,222.30739700631733,1.0,0.0,2.0,1.0,2.0,1.0
3,4423.68,0.0,2949.12,1253.376,221.18400000000003,6105.600000000002,2995.2000000000007,115.20000000000003,9216.000000000002,0.0,6451.0,0.0,0.0,5937.368463792268,392.97733842667526,0.0,0.0,3281.416433707118,3000.3174806196353,81.76186308067372,0.0,8.0,4.0,0.0,1.0,0.0,2164.8442549069455,0.0,0.0,250.77575807090227,0.0,3898.4525614425047,0.0,0.0,604.3831092528643,0.0,0.0,1.0,0.0,1740.6200665999231,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,28123.934292254537,0.0,0.0,213.04592141117416,1.0,0.0,2.0,1.0,2.0,1.0
4,4423.68,0.0,3723.264,700.416,0.0,7718.4000000000015,1497.6000000000001,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,5961.474544924807,0.0,0.0,0.0,4604.822710999236,1445.0221859278065,0.0,0.0,12.0,0.0,0.0,1.0,0.0,2343.365188145535,0.0,0.0,295.7396597907254,0.0,4879.007727840317,0.0,0.0,604.5528393467102,0.0,0.0,1.0,0.0,1967.751382391103,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,15136.444455845249,0.0,0.0,216.82133267397103,1.0,0.0,2.0,1.0,2.0,1.0
5,4386.816000000001,36.864000000000004,2912.2560000000003,1142.784,368.64000000000004,6220.800000000001,2419.2000000000003,576.0000000000001,9216.000000000002,0.0,6451.0,0.0,0.0,6124.538971353086,719.1560129612218,0.0,0.0,4210.351901447188,2710.3449454170673,84.8398954241006,0.0,8.0,4.0,0.0,1.0,0.0,1379.4274312391249,0.0,0.0,243.56714009246747,0.0,3253.028184963454,0.0,0.0,797.6665872549626,0.0,0.0,1.0,0.0,1693.8097200201198,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,24598.567264281613,0.0,0.0,176.3150887201091,1.0,0.0,2.0,1.0,2.0,1.0
6,4423.68,0.0,4018.1760000000004,405.504,0.0,8179.200000000002,1036.8000000000002,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,4893.028816410972,0.0,0.0,0.0,6118.215562666724,1465.2082348614774,0.0,0.0,12.0,0.0,0.0,1.0,0.0,2442.5200582688185,0.0,0.0,345.79183341223325,0.0,3753.3799443031235,0.0,0.0,519.3201632488122,0.0,0.0,1.0,0.0,1935.14621701687,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,25328.32728517186,0.0,0.0,234.3254985637463,1.0,0.0,2.0,1.0,2.0,1.0
7,4423.68,0.0,3502.08,921.6,0.0,7372.800000000002,1843.2000000000005,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,5816.627815216639,46.054601276257785,0.0,0.0,4751.32425922475,1149.4634414959673,39.7012237505371,0.0,12.0,0.0,0.0,1.0,0.0,2318.296166800771,0.0,0.0,297.1176723836576,0.0,5922.267349523299,0.0,0.0,555.0040880298704,0.0,0.0,1.0,0.0,2124.3240337981656,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,26386.139853278182,0.0,0.0,181.33385503220563,1.0,0.0,2.0,1.0,2.0,1.0
8,4423.68,0.0,3428.3520000000003,847.8720000000001,147.45600000000002,7142.4000000000015,1728.0000000000007,345.6000000000001,9216.000000000002,0.0,6451.0,0.0,0.0,6582.591506378957,227.16925902174626,0.0,0.0,3280.447747453389,1458.9365282301903,39.10042343782442,0.0,10.0,2.0,0.0,1.0,0.0,2212.975451339297,0.0,0.0,394.0251786646944,0.0,5178.3903785402745,0.0,0.0,623.3773253334265,0.0,0.0,1.0,0.0,2762.4455580471636,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,21697.434036312952,0.0,0.0,186.5142757174425,1.0,0.0,2.0,1.0,2.0,1.0
9,4423.68,0.0,2322.4320000000002,1363.968,737.2800000000001,5299.200000000002,2764.8000000000006,1152.0000000000002,9216.000000000002,0.0,6451.0,0.0,0.0,3854.262097411846,1086.367796305509,0.0,0.0,2613.9185532539436,3110.0730680072766,656.3888584700849,159.88072884657862,10.0,2.0,0.0,1.0,0.0,1727.2731502731656,0.0,0.0,249.28846363593482,0.0,4571.174000967126,0.0,0.0,662.5982231392345,0.0,0.0,1.0,0.0,2248.0074036648875,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,1.0,25294.017046022098,559.862137564652,0.0,226.13217810062736,1.0,0.0,2.0,1.0,2.0,1.0
