cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.121-0,B.20.11.121-1,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,4422.647808,1.032192,3466.8822527999996,850.341888,106.45585920000002,7221.934080000001,1769.7945600000005,224.27136000000004,9214.133760000002,1.8662400000000001,6410.81027,30.19068,9.999050000000002,5751.4761338077205,233.28840787296645,5.058140241852745,0.014530967020262756,4206.111851234965,1698.9555671755131,67.8234488353314,17.314002882194636,10.9048,1.0748,0.0204,0.9898,0.0102,2115.4920247262025,0.981348312207091,0.029146176336845395,298.2121071984504,1.2943335718783167,4231.3175135157035,1.8688374027215953,0.02581777709220902,596.4031399273983,2.2666076311709897,0.3442690647943206,0.8974,0.1026,1988.7961018377923,6.953454243795273,0.9646173066083523,146.84073983999997,0.61526016,15.3696,0.6304,1.9984,0.0016,1.0,21077.55578681656,87.41647268182679,3.083697138723468,239.62374703491972,0.9944,0.0056,2.0,1.0,2.0,1.0
std,10.402699860440691,10.402699860440716,464.70247007545953,371.50137969302324,173.13377925241227,986.4054154429998,793.9936088940512,374.1585255960442,18.979348971971675,18.979348971971618,212.97144643925105,146.99243564675388,93.06875559633936,897.4651483414737,287.2504264207473,37.53321701466605,1.0274945317225872,946.9047818469204,696.8051741306732,122.10259706257345,45.11456467014463,1.4453216773266049,1.4309488051277652,0.2009774076449309,0.10048870382246546,0.10048870382246546,444.4930557399289,8.589800090433926,1.0010876613032014,62.447900137182444,10.943765492016466,882.019530094487,17.75607464853121,1.3518676004291905,125.92093135432226,21.469512200583388,8.339490987412615,0.3034660744328208,0.3034660744328208,299.87007116329835,50.27413327956459,20.52246319740118,2.328784414466607,2.3287844144666088,1.6685180941560405,1.6685180941560405,0.05655156599001645,0.05655156599001644,0.0,4413.712915747603,345.06111709136513,42.02063942769157,49.50325017114496,0.0746307842032372,0.0746307842032372,0.0,0.0,0.0,0.0
log_std,0.002437825396197201,,0.14302986583160363,,,0.14589291145195377,,,0.0020902584808118493,,0.04109949729946106,,,0.15565154600266812,,,,0.23247688000222236,0.45227982881819934,,,0.15056382490978615,,,,,0.20804876337014375,,,0.2093069265655189,,0.2050539416733529,,,0.21178100057070642,,,,,0.15085594571015376,,,0.017058328330786163,,0.1361309232195807,,,,0.0,0.2065137258416151,,,0.2040469929348328,,,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0
min,3907.5840000000003,0.0,1622.016,0.0,0.0,3225.600000000001,0.0,0.0,8755.2,0.0,2257.85,0.0,0.0,2919.415567420334,0.0,0.0,0.0,1222.5681559278426,91.29227886308206,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1000.724605992528,0.0,0.0,86.40030729879132,0.0,1968.7971666264366,0.0,0.0,202.99901342443334,0.0,0.0,0.0,0.0,918.6022770209515,0.0,0.0,97.6896,0.0,4.0,0.0,0.0,0.0,1.0,10003.564850627461,0.0,0.0,97.20711271956776,0.0,0.0,2.0,1.0,2.0,1.0
0.1%,4313.051136,0.0,1806.336,36.864000000000004,0.0,3801.6000000000013,0.0,0.0,8870.400000000001,0.0,3870.6,0.0,0.0,3450.347277948625,0.0,0.0,0.0,1733.7257635446388,221.89886164329968,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1100.2873397510455,0.0,0.0,141.8167583553477,0.0,2312.398621874394,0.0,0.0,286.7459569394401,0.0,0.0,0.0,0.0,1097.6699730467471,0.0,0.0,119.8061568,0.0,4.0,0.0,2.0,0.0,1.0,10861.146712037267,0.0,0.0,115.40143547117403,0.0,0.0,2.0,1.0,2.0,1.0
2.3%,4423.68,0.0,2396.16,184.32000000000002,0.0,5068.800000000001,345.60000000000014,0.0,9216.000000000002,0.0,5805.9,0.0,0.0,4146.660894835846,0.0,0.0,0.0,2443.061436497572,537.4823916305504,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1357.4571072184367,0.0,0.0,191.55057950696778,0.0,2772.1315286999243,0.0,0.0,378.0059456902329,0.0,0.0,0.0,0.0,1455.9716103178926,0.0,0.0,141.9264,0.0,12.0,0.0,2.0,0.0,1.0,13624.430266298967,0.0,0.0,155.21617114918675,1.0,0.0,2.0,1.0,2.0,1.0
10%,4423.68,0.0,2838.5280000000002,368.64000000000004,0.0,5875.200000000001,806.4000000000002,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,4661.230791181841,0.0,0.0,0.0,3037.8998836626315,868.7935921062692,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1591.4505895013483,0.0,0.0,224.45421721846742,0.0,3165.3580008166464,0.0,0.0,443.6055713597018,0.0,0.0,0.0,0.0,1625.970597814955,0.0,0.0,145.6128,0.0,12.0,0.0,2.0,0.0,1.0,15870.763668166874,0.0,0.0,181.07846628622434,1.0,0.0,2.0,1.0,2.0,1.0
15.9%,4423.68,0.0,2985.9840000000004,479.23199999999997,0.0,6220.800000000001,921.6000000000003,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,4884.159997119362,0.0,0.0,0.0,3266.6749278394714,1016.9174823620885,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1683.9043295288643,0.0,0.0,237.78669735474935,0.0,3370.06529616314,0.0,0.0,474.1363253311802,0.0,0.0,1.0,0.0,1690.3637605846795,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,16807.186719414392,0.0,0.0,192.50539230986502,1.0,0.0,2.0,1.0,2.0,1.0
50%,4423.68,0.0,3502.08,811.008,36.864000000000004,7372.800000000001,1728.0000000000005,115.20000000000003,9216.000000000002,0.0,6451.0,0.0,0.0,5683.266180108441,137.3365958286471,0.0,0.0,4170.291498499717,1617.3955315127755,0.0,0.0,12.0,0.0,0.0,1.0,0.0,2064.628010913928,0.0,0.0,292.7616350370016,0.0,4132.025055602509,0.0,0.0,584.6825445039763,0.0,0.0,1.0,0.0,1969.3107665295836,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,20629.380076206136,0.0,0.0,234.32507495520105,1.0,0.0,2.0,1.0,2.0,1.0
