dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.50.11.011a-D.50.11.011a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.50.11.011a-D.50.11.011a
0,0.0,10418.045348446834,23568.022226986446,0.0,0.0,0.0,16353.711290990363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.095191418926905,16.660426403374707,0.0,0.0,0.0,8.579340115596374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,25275.861017097923,25740.21022223369,0.0,0.0,5031.386677778126,19075.960891622006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7376.747457872439,0.0,0.0,0.0,0.0,21.47692356524026,24.761798157065655,0.0,0.0,4.767640383513104,15.409294675328802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.72891763848257,0.0,0.0,0.0
2,0.0,14541.592546965365,17142.385756395932,0.0,0.0,5462.944406097307,37359.84309795664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.003598474350431,14.652755418161748,0.0,0.0,4.9317016037892,30.52730617868422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,19061.89151817329,37183.87425846905,0.0,0.0,7462.803214220428,23241.61450834026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.461702659951936,21.837574914947382,0.0,0.0,1.8812499369885776,21.92858225827562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,13226.76181938618,19473.20950356145,0.0,0.0,2738.581649458867,11082.672867219531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.3301334573559,0.0,0.0,17.431346725729487,20.849762677756587,0.0,0.0,7.78194618573351,47.23241474328995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43382906793366177,0.0
5,0.0,10835.044703690077,25695.737994631025,0.0,0.0,3418.10062887831,40625.771060624545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.480753329255208,19.474815522658865,0.0,0.0,1.9322363665428344,19.40152587730782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,33139.55009136935,42729.16624871552,0.0,0.0,6500.784947320342,77222.30746930867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.917197547209188,27.71842206725274,0.0,0.0,5.218866317761457,69.15370698300953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,22300.410598471033,22033.59968203686,0.0,0.0,3238.5279415336354,24150.165599342643,5087.7840084941345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.89978493492644,10.883382754294988,0.0,0.0,11.254840701529034,24.870499403905043,5.849304115367425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,16018.20095615652,27543.299740264418,0.0,0.0,1760.0848417384389,24311.715085221287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.922675534884796,20.42725892271406,0.0,0.0,1.3076818210462766,27.17256764726758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,23309.419842727293,23227.204566847515,0.0,0.0,4296.354407865809,23485.41235527341,6246.730007692941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.859839039509154,16.990245636993997,0.0,0.0,3.464988212119977,26.438800577753355,5.973237247010458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
