cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
0,4276.224,147.45600000000002,0.0,1437.696,1253.376,1732.608,0.0,2880.000000000001,2419.2000000000007,3916.8000000000006,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,4186.839074862727,1680.3051755186134,0.0,0.0,1417.081179516485,2284.6171804498867,1013.8644359157978,209.09728465299168,6.0,6.0,0.0,0.0,0.0,1.0,1478.7171475784571,0.0,0.0,255.870001047232,0.0,4818.153328293501,0.0,0.0,507.51440203573003,0.0,0.0,0.0,1.0,2010.4934902834634,0.0,0.0,145.6128,1.8432,12.0,4.0,2.0,0.0,0.0,1.0,22602.216701938654,1252.921865411844,0.0,186.62341548038964,1.0,0.0,2.0,1.0,2.0,1.0
1,4386.816000000001,36.864000000000004,0.0,2211.84,1400.832,811.008,0.0,4147.200000000001,3225.600000000001,1843.2000000000007,0.0,9216.000000000002,0.0,0.0,5805.9,645.1,0.0,4260.200665674569,973.4291859132655,0.0,0.0,1630.904795151877,3992.7825917916384,438.928195816801,123.31748130918017,4.0,8.0,0.0,0.0,1.0,0.0,2381.703675377735,0.0,0.0,253.84063033738107,27.90101038838927,5729.479730186132,0.0,0.0,617.0361596655056,0.0,0.0,0.0,1.0,2466.295833346473,0.0,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,0.0,1.0,34967.9451684463,1339.515514928167,0.0,214.81937968642643,1.0,0.0,2.0,1.0,2.0,1.0
2,4423.68,0.0,0.0,3244.032,1142.784,36.864000000000004,0.0,7142.4000000000015,1843.2000000000005,230.40000000000006,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,7611.411784002245,0.0,0.0,0.0,3050.430727574768,2146.464485893347,258.50757872719083,0.0,12.0,0.0,0.0,0.0,0.0,1.0,2965.615869930488,0.0,0.0,321.3359254391413,0.0,6120.194706649543,0.0,0.0,470.0957672287773,0.0,0.0,1.0,0.0,2004.899042116012,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,17752.03232922226,0.0,0.0,269.41815438792344,1.0,0.0,2.0,1.0,2.0,1.0
3,4423.68,0.0,0.0,2949.12,1437.6960000000001,36.864000000000004,0.0,6796.800000000002,2304.0000000000005,115.20000000000003,0.0,9216.000000000002,0.0,0.0,6128.450000000001,322.55,0.0,6879.498683935493,246.22748613766203,0.0,0.0,3780.031955409343,2388.608448948862,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,1832.1870079149505,0.0,0.0,294.690330826709,0.0,3775.955784374886,24.9808016705275,0.0,709.2155598203809,0.0,0.0,1.0,0.0,2301.8965763996894,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,20951.885415749846,882.7392562879189,0.0,184.31364074419758,1.0,0.0,2.0,1.0,2.0,1.0
4,4386.816000000001,36.864000000000004,0.0,1585.152,1622.016,1216.512,0.0,3571.2000000000007,3340.8000000000006,2304.000000000001,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,4100.126378204055,1408.8657390507794,74.61675539970815,0.0,1860.3288702806499,3000.3610875612867,740.997270483891,236.3602073329158,6.0,6.0,0.0,0.0,1.0,0.0,2070.9978546118427,0.0,0.0,313.76346206206506,0.0,5673.966759895616,0.0,0.0,617.8083410433744,0.0,0.0,1.0,0.0,1971.9347788095877,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,30608.641629584323,0.0,0.0,252.6798328530556,1.0,0.0,2.0,1.0,2.0,1.0
5,4423.68,0.0,0.0,3354.6240000000003,995.328,73.72800000000001,0.0,7027.200000000002,2073.6000000000004,115.20000000000003,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,5506.135494463707,208.29191862811305,0.0,0.0,5132.388657784619,1443.6529995484161,404.0890997178782,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1630.97585995792,0.0,0.0,341.9485242340365,0.0,3217.4915836867403,0.0,0.0,685.001089624375,0.0,0.0,1.0,0.0,1641.8340959049642,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,29377.82870346519,314.7260104291775,0.0,284.51849242326534,1.0,0.0,2.0,1.0,2.0,1.0
6,4423.68,0.0,0.0,3207.168,1105.92,110.59200000000001,0.0,6220.800000000001,2764.8000000000006,230.40000000000006,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,6197.532658172967,451.12679343884565,0.0,0.0,3487.582915883914,1556.3333976510937,40.23285016423926,44.463202503472196,12.0,0.0,0.0,0.0,1.0,0.0,1586.967005836979,0.0,0.0,340.1233581165302,0.0,4979.239385475467,0.0,0.0,753.3805975136809,0.0,0.0,1.0,0.0,1847.2942961825595,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,27648.36133140547,0.0,0.0,355.37713031456747,1.0,0.0,2.0,1.0,2.0,1.0
7,4423.68,0.0,0.0,3022.848,1105.92,294.912,0.0,6451.200000000002,2188.8000000000006,576.0000000000001,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,7143.808789940356,500.7196213446031,0.0,0.0,3445.039649500304,2692.6426256576797,87.38894258761081,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2812.1691303464513,0.0,0.0,335.04822321029314,0.0,3790.25059843756,0.0,0.0,742.3659695421339,0.0,0.0,1.0,0.0,2608.945601609148,0.0,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,0.0,1.0,19703.196328871072,0.0,0.0,276.2606398514735,1.0,0.0,2.0,1.0,2.0,1.0
8,4423.68,0.0,0.0,2875.3920000000003,1437.696,110.59200000000001,0.0,5760.000000000002,3340.8000000000006,115.20000000000003,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,4754.776660767462,155.2001193615011,0.0,0.0,2652.7773955275347,2740.6152376717155,68.2383368671526,0.0,8.0,4.0,0.0,0.0,1.0,0.0,2565.585665793475,0.0,0.0,305.8268994963447,0.0,6696.447186732046,0.0,0.0,705.1226102639141,0.0,0.0,1.0,0.0,2151.8102610142337,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,15815.649135281023,0.0,0.0,193.0457146530735,1.0,0.0,2.0,1.0,2.0,1.0
9,4386.816000000001,36.864000000000004,0.0,2285.568,1253.376,884.736,0.0,5068.800000000001,1843.2000000000005,2304.000000000001,0.0,9100.800000000001,115.20000000000002,0.0,6451.0,0.0,0.0,5290.469659284937,1230.3748110782958,111.69400381727063,0.0,2392.9415500833325,2852.211724004331,1214.2299588135206,426.46532300536575,10.0,2.0,0.0,0.0,1.0,0.0,2079.0859836682585,0.0,0.0,316.1214591091942,0.0,6938.267811073728,0.0,0.0,478.9786877512824,0.0,0.0,0.0,1.0,2396.9844742397313,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,23885.777430521768,0.0,0.0,244.20284518775867,1.0,0.0,2.0,1.0,2.0,1.0
