cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,4404.7613952,18.859622400000006,0.058982400000000004,2724.8762880000004,1220.4564480000001,478.2735359999999,0.073728,5674.521600000002,2547.0489600000005,994.2912000000003,0.13824000000000003,9176.85504,39.00672000000001,0.13824,6311.20683,93.28146000000001,46.51171,5196.778642731074,713.2494836046451,79.31541420161916,0.8566979590759147,3266.9643232364833,2349.795470587948,299.5944217052948,73.86601951801468,9.4316,2.432,0.1308,0.0056,0.8782,0.1218,2111.669984132275,4.878316321722189,0.06907073975570159,293.79775757367685,5.70093404474619,4222.444895138205,10.285017880415424,0.19460996664480354,587.9113069650413,9.602472244236894,1.4898256383221085,0.7206,0.2794,1955.6428874309622,35.794058152597046,5.302416390586154,144.61304832,2.8429516799999996,14.272,1.728,1.9884,0.0072,0.0044,1.0,20748.375853870384,395.8200719660608,20.1780821185526,239.6421155285095,0.9618,0.0382,2.0,1.0,2.0,1.0
std,66.30677595191042,65.72243464034202,2.3309709877300855,635.8034491563456,365.9584569102664,465.9674910881012,2.553203778142776,1333.9535874505286,791.1546252377759,980.4388062276564,5.150560683796622,146.0569482668518,144.81634760533203,4.60638659492366,439.6554128078641,273.7891841065588,234.9777308984397,1016.018053919108,558.9500627021475,211.13495157670522,16.908503624630715,1003.1736709361047,721.61763272423,357.97559980334745,112.66715140494848,2.2415009045862666,2.1350146738445397,0.5304221239031279,0.10569235627440125,0.32708738470238546,0.32708738470238546,442.00435476202324,27.251017264920357,1.3547149857864271,66.20752144122248,24.720977974062812,884.2031417663402,54.54481530111934,6.169043446048259,129.5759384357971,42.76051671078101,18.04175859063627,0.4487492787548929,0.4487492787548929,321.7367698819906,128.40629902198143,43.4122520136378,6.841365876787264,6.841365876787265,2.714901496929052,2.714901496929052,0.15188829451541733,0.11979578542687219,0.09371444114594003,0.0,4434.642051278401,920.4191508404418,146.37605744502352,50.58941629384734,0.19169796457428645,0.19169796457428642,0.0,0.0,0.0,0.0
log_std,0.015846279621853455,,,0.24797709613030638,0.36279612488849405,,,0.24936186553517528,,,,0.016800070716955898,,,0.09361488737904389,,,0.20282995554072714,,,,0.3223933339210511,0.34628995623362385,,,,,,,,,0.20628043942134042,,,0.2345496040924222,,0.20731389035035147,,,0.2274937950356101,,,,,0.1767815606774023,,,0.05782587211203225,,,,,,,0.0,0.21458554073867078,,,0.20743203603668134,,,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0
min,3502.08,0.0,0.0,847.8720000000001,73.72800000000001,0.0,0.0,2073.6000000000004,0.0,0.0,0.0,7142.4000000000015,0.0,0.0,967.65,0.0,0.0,2212.6345637179397,0.0,0.0,0.0,562.5872336384126,169.46696163591483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.147876012984,0.0,0.0,37.98285230535981,0.0,1949.6022616113746,0.0,0.0,109.75564641973698,0.0,0.0,0.0,0.0,109.0299965530366,0.0,0.0,35.020799999999994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4017.2286396897453,0.0,0.0,89.63283096301919,0.0,0.0,2.0,1.0,2.0,1.0
0.1%,3723.1902720000003,0.0,0.0,1069.056,147.45600000000002,0.0,0.0,2304.000000000001,230.40000000000006,0.0,0.0,7718.284800000001,0.0,0.0,1935.3,0.0,0.0,2268.1146211867194,0.0,0.0,0.0,910.8974271478073,419.06454971362894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.84719649309,0.0,0.0,87.02347274635386,0.0,2151.75322214032,0.0,0.0,191.55634918758386,0.0,0.0,0.0,0.0,662.2906309506368,0.0,0.0,82.9384704,0.0,4.0,0.0,0.0,0.0,0.0,1.0,9229.784208156218,0.0,0.0,127.04924624068282,0.0,0.0,2.0,1.0,2.0,1.0
2.3%,4202.496,0.0,0.0,1511.424,479.23199999999997,0.0,0.0,3110.4000000000005,921.6000000000003,0.0,0.0,8755.2,0.0,0.0,5160.8,0.0,0.0,3234.779616309461,0.0,0.0,0.0,1521.5062920911676,953.7019698184232,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1370.5962454725693,0.0,0.0,174.6728118136765,0.0,2727.377840087769,0.0,0.0,350.64682926827675,0.0,0.0,0.0,0.0,1355.561551651789,0.0,0.0,125.3376,0.0,8.0,0.0,2.0,0.0,0.0,1.0,13300.244751883518,0.0,0.0,155.75249026788146,0.0,0.0,2.0,1.0,2.0,1.0
10%,4386.816000000001,0.0,0.0,1916.928,700.416,0.0,0.0,3916.800000000001,1497.6000000000004,0.0,0.0,9100.800000000001,0.0,0.0,6128.450000000001,0.0,0.0,3901.310585904959,86.60609335463819,0.0,0.0,2049.918181924754,1438.3235471502187,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1590.100009519816,0.0,0.0,215.77016530372507,0.0,3173.662385536817,0.0,0.0,434.2617295108929,0.0,0.0,0.0,0.0,1566.8563841502767,0.0,0.0,140.08319999999998,0.0,12.0,0.0,2.0,0.0,0.0,1.0,15398.15650077693,0.0,0.0,180.38690096253748,1.0,0.0,2.0,1.0,2.0,1.0
15.9%,4386.816000000001,0.0,0.0,2064.384,847.872,36.864000000000004,0.0,4262.4000000000015,1728.0000000000005,115.20000000000003,0.0,9216.000000000002,0.0,0.0,6128.450000000001,0.0,0.0,4201.093942414318,152.69981878139686,0.0,0.0,2263.4714543861246,1632.3422699097207,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1686.0107036462405,0.0,0.0,231.40342903374562,0.0,3373.50416313952,0.0,0.0,463.6263560890403,0.0,0.0,0.0,0.0,1646.3797724527242,0.0,0.0,141.9264,0.0,12.0,0.0,2.0,0.0,0.0,1.0,16359.21444295161,0.0,0.0,190.97253548303974,1.0,0.0,2.0,1.0,2.0,1.0
50%,4423.68,0.0,0.0,2727.936,1253.376,331.776,0.0,5644.800000000001,2649.6000000000004,691.2000000000002,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,5166.578807903946,601.955875163796,0.0,0.0,3186.0919246473004,2333.3360158333403,178.0404423282793,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2061.958602696166,0.0,0.0,288.7755464262764,0.0,4130.906236455086,0.0,0.0,580.2465532032145,0.0,0.0,1.0,0.0,1946.331109029884,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,20294.445282175206,0.0,0.0,234.27390719676492,1.0,0.0,2.0,1.0,2.0,1.0
