dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,410.77100962773943,36016.12686604699,53660.49425238623,2168.297380885578,2845.570017781934,16987.48642593473,74679.50021481278,9465.862389349759,271.30252591089913,2.507864391924005,2.9280820038599593,9.120765404883654,9.377743052066467,14347.306636506733,52.82821204681127,886.2430120513834,4273.859738357907,180.51637157776452,247.57986533960624,0.2153308484194818,285.45778084341976,0.39966498444223436,36.13533650706215,43.16807250209255,1.7596206126438232,3.229556980182229,13.592449923571456,59.43595075202113,7.575902566113937,0.25151459367284534,0.0028554578700314744,0.00289975788722216,0.01020771024778937,0.01074410917957181,4.104798403962649,0.043069468743447206,1.037570312033272,5.197688011541863,0.057458959621638585,0.24410383846152778,0.00011476185222498392,0.09702547594730138
std,1492.0867630625587,15007.473544060462,22522.88338480719,8350.173871256056,10148.059154666194,18413.54852332398,48063.5568801002,10161.888178645444,1117.7724847494273,15.276773950734729,15.454997845566902,52.67787566884831,48.558308479522836,23779.486728546788,279.5516186795602,2050.2304638746145,6873.658467757916,3368.514301709803,847.9889215209195,9.249983681209612,1543.5208241711678,1.4403928281781564,15.801944265915735,18.52689056280961,7.004451846362179,11.872700681446181,14.588685532026265,38.91103360994041,8.201423405590276,0.9931741444946258,0.02084579183544169,0.01485620509205841,0.06296630472791953,0.05715814149737651,7.098436553681996,0.17969083891357743,2.4463316025673203,8.62366636631639,1.0934061489171816,0.7002407401296936,0.005052833413061267,0.5454974271060223
log_std,,0.4724676083932509,0.48593097716488665,,,,0.7006271067394606,,,,,,,,,,,,,,,,0.4891011418715942,0.5002931873914626,,,,0.7053528010310681,,,,,,,,,,,,,,
min,0.0,1098.1840583421608,2630.4673675484696,0.0,0.0,0.0,5014.9910746407895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9148965128275899,1.1852675296462143,0.0,0.0,0.0,3.576729531946453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,5964.051897098833,6352.226852943719,0.0,0.0,0.0,6787.872438786117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.310891488184722,4.161546528233684,0.0,0.0,0.0,6.109172633623435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,10905.195923537782,15287.518171564823,0.0,0.0,0.0,14254.153183422563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.349890100466403,11.407921882818364,0.0,0.0,0.0,11.04504324943469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,16852.648382025898,24839.090594765545,0.0,0.0,1941.5778514084166,22597.600810982556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.60602498155775,19.50389448176906,0.0,0.0,1.4832859156429634,17.972179692118754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.9%,0.0,20143.048019550235,30016.74853336738,0.0,0.0,3362.6613474529327,28356.224666839476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.029457608504803,23.59635483547786,0.0,0.0,2.620841943276194,21.80926463891001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,35198.14873162635,52730.91024556602,0.0,0.0,11867.023195319656,62380.9228075594,8607.794727071785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.02115109328298,42.22454648856902,0.0,0.0,9.574462875251935,49.298082035061995,6.820732420525363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.1%,648.8059656364168,50999.63565334886,76719.98576858966,0.0,3090.437593712102,28375.36833014683,125491.9582296051,16599.571081156693,0.0,0.0,0.0,0.0,0.0,49350.81836732333,0.0,1597.4624058032132,10824.229656674888,0.0,321.0030767399946,0.0,0.0,0.5594231836253394,51.67117679736033,61.98777985173623,0.0,3.3847044268972364,22.911885728006197,100.37183151020274,13.484390314667854,0.0,0.0,0.0,0.0,0.0,13.346863573530745,0.0,1.8633892976776942,13.602160969157648,0.0,0.3814888503337188,0.0,0.0
90%,949.8581572908618,55769.94923852704,84057.72757047195,7821.220788407481,7638.168516000418,37859.98988896304,145617.72540774837,19254.790056617607,690.9827263994695,0.0,0.0,0.0,0.0,54218.74039244798,69.97014954589385,2597.763588190462,12480.631375543071,0.0,589.2456401116568,0.0,0.0,0.9936684106540926,57.1866946670491,67.52125770871866,6.127239789321516,8.537595672723421,30.517057064352603,116.63034250227071,15.548315569160943,0.5596616501507196,0.0,0.0,0.0,0.0,15.867623272755825,0.08033740345327299,3.003373308443773,17.66509438752802,0.0,0.6965271596106687,0.0,0.0
97.7%,4781.740816017493,67810.08400612095,102022.45001926787,20660.69347172194,30527.63358869757,72300.04738934395,188853.57404112842,36663.40880464199,3218.3674958833167,31.699492753619886,44.825217595406684,107.2078169151725,152.46129882987773,65806.98074584018,501.2445130448606,7075.52689948863,21679.934420403937,0.0,2225.113569234772,0.0,7635.5421237211385,4.692813909871239,70.20597521995211,82.66160763909691,16.977553322817748,36.45307346585368,56.67388234936728,152.87331934973662,28.80686419106996,3.2947832432687547,0.028116636943480718,0.044629082851004115,0.12239213897129975,0.16368074508963024,21.975484364425437,0.552771224890705,8.232611364404502,28.859142815378906,0.0,2.0713842877956647,0.0,2.3429696438350547
99.9%,15306.795657067167,90425.33847873582,128891.57201418887,84234.6857411395,110872.92497792844,147305.74830899635,252082.86339434158,90528.75539834685,12412.15591208319,202.91079069988578,188.49195779023592,731.6715377444052,545.3729252569814,83198.24327245908,3386.2976194733988,17973.119670988803,34827.06316345729,65641.95074262416,8886.730849263507,0.0,11201.672082526564,14.339749057975494,96.85535632984805,110.2706219094901,70.7926499803933,124.62950100422103,115.66988586026316,206.1313218263949,77.62748738147972,11.962781642478257,0.2896076734152561,0.1733656779623149,1.012846054929532,0.5894603760457168,31.99851448455922,1.8268087029287863,21.64146021200671,45.48709610745417,21.410820742065592,8.18080227991408,0.0,4.817259719793696
max,33230.13382642818,105334.12556536698,166984.17222431648,282998.5275369069,153066.33669383373,179180.9901957849,279051.18650337984,129075.0996356736,24039.22351622736,421.11094126207274,391.9354947677461,1007.6659868377633,854.1904453350094,104081.82190490486,5511.134409043011,22755.302576629983,41302.3682390802,91830.16345760686,20799.912419444212,524.8948701447249,15778.234384895139,31.223972095022994,112.4020230075477,138.46247715151554,233.93315250690412,181.2092253302704,179.12753510749928,252.63482134359074,89.9478005227253,15.845048081705814,0.7443239473065686,0.23474568459939057,1.4291749850865836,1.2145379031156407,40.644947754425345,2.6506264171567007,33.090028086962626,53.867714150089085,32.96433279316072,11.06511012148247,0.2694517391167894,7.0075343357962705
