cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,irreparable-0
0,4423.68,0.0,0.0,0.0,2101.248,1585.152,737.28,0.0,4262.400000000001,3225.600000000001,1728.0000000000005,0.0,9100.800000000001,115.20000000000002,0.0,0.0,6451.0,0.0,0.0,4201.513165237658,772.3904596464166,0.0,0.0,2051.534092256261,3183.480610307153,720.2009058161991,175.38088763937134,8.0,4.0,0.0,0.0,1.0,0.0,1964.0344760101066,0.0,0.0,209.8335784462766,0.0,3014.974296963347,0.0,0.0,642.0501028756246,0.0,0.0,1.0,0.0,1606.8806076409423,0.0,0.0,143.7696,3.6864,16.0,0.0,2.0,0.0,0.0,1.0,0.0,23805.506260524926,0.0,0.0,237.17408859994214,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
1,4423.68,0.0,0.0,0.0,3244.032,958.464,221.184,0.0,5068.800000000001,3686.400000000001,460.8000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4686.995738699502,226.90860341476804,0.0,0.0,2560.2172427262512,2627.5085868114556,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2262.0085140911856,0.0,0.0,339.7339291811517,0.0,4358.059731042744,0.0,0.0,493.4547377943459,0.0,0.0,1.0,0.0,2042.5319105026877,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,18319.30395320587,245.10910188627327,0.0,316.2473802390032,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
2,4202.496,221.18400000000003,0.0,0.0,1253.376,811.008,2359.2960000000003,0.0,2304.000000000001,2073.6000000000004,4838.4000000000015,0.0,8870.400000000001,345.6,0.0,0.0,5805.9,322.55,322.55,2171.013090336927,2070.828929830677,1448.8137934483977,0.0,906.9941893432476,2561.9664727559584,1238.01876445652,335.8245100417128,4.0,6.0,2.0,0.0,0.0,1.0,1268.7207122618036,13.745857474623138,0.0,333.2282754831783,0.0,5616.852960478757,0.0,0.0,394.4067080706153,132.80078213941312,0.0,0.0,1.0,2025.1855083000614,0.0,0.0,138.24,9.216,16.0,0.0,2.0,0.0,0.0,1.0,0.0,21280.116101839943,3262.1290522612285,0.0,224.64139304114923,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
3,4423.68,0.0,0.0,0.0,2617.344,995.328,811.008,0.0,5414.4000000000015,2304.0000000000005,1497.6000000000006,0.0,9216.000000000002,0.0,0.0,0.0,4838.25,967.65,645.1,5502.131594504968,823.3651572057963,164.71319150354225,0.0,4659.5973739736,2314.8225783633015,507.16040003137965,0.0,6.0,6.0,0.0,0.0,1.0,0.0,2157.289847600302,88.46733510226488,0.0,240.65661417882293,0.0,6495.732638495916,0.0,0.0,521.7306450097203,0.0,0.0,0.0,1.0,1639.9785535529063,219.18176621890396,0.0,129.024,18.432000000000002,12.0,4.0,2.0,0.0,0.0,1.0,0.0,21250.513678733554,1665.2373880760733,215.18952876737174,232.94132780152808,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
4,4386.816000000001,36.864000000000004,0.0,0.0,1437.6960000000001,1069.056,1916.928,0.0,2880.0000000000005,2880.000000000001,3456.000000000001,0.0,8985.600000000002,230.40000000000003,0.0,0.0,6451.0,0.0,0.0,3717.6909226613016,2343.092658584812,46.92694538379086,0.0,1739.190716755943,3942.34985840435,1017.1516154444569,581.671949592795,6.0,6.0,0.0,0.0,1.0,0.0,2660.1546070193817,0.0,0.0,290.869103652673,0.0,4210.881410067551,0.0,0.0,719.9340506248179,0.0,0.0,1.0,0.0,1797.0895640967317,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,16656.166247853518,287.6500848403112,0.0,250.16981264697608,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
5,4276.224,147.45600000000002,0.0,0.0,1105.92,1032.192,2285.568,0.0,2188.8000000000006,2419.2000000000003,4608.000000000001,0.0,8985.600000000002,230.40000000000003,0.0,0.0,5805.9,645.1,0.0,3708.9640460241935,2543.03754405325,733.254856920511,0.0,1437.3024137266684,3187.97820160175,1088.566460351934,431.6912760337944,6.0,6.0,0.0,0.0,0.0,1.0,2192.769148037779,0.0,0.0,224.2584792074125,126.75857035501024,4597.0488836494405,0.0,0.0,765.2682956628983,0.0,0.0,0.0,1.0,2262.3823278985324,0.0,0.0,145.6128,1.8432,12.0,4.0,2.0,0.0,0.0,1.0,0.0,21206.456244983972,1457.3775013973718,0.0,256.5661681149536,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
6,4349.952,73.72800000000001,0.0,0.0,1179.6480000000001,921.6,2322.4320000000002,0.0,2764.8000000000006,1612.8000000000004,4838.4000000000015,0.0,8755.2,460.80000000000007,0.0,0.0,6128.450000000001,322.55,0.0,2481.0847407070005,1903.8815639052227,408.92446754530806,0.0,963.9285454421217,2395.883366006615,1522.17424406293,603.8948821079352,4.0,6.0,2.0,0.0,0.0,1.0,2603.253513728985,58.01033451928843,0.0,260.37003442585365,0.0,4637.680455155288,50.53971258613014,0.0,528.0814647686509,0.0,0.0,0.0,1.0,1837.1944577447996,0.0,0.0,136.39679999999998,11.0592,12.0,4.0,2.0,0.0,0.0,1.0,0.0,20354.594827693465,1893.2511104082869,211.6831673007704,215.9135075016331,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
7,4423.68,0.0,0.0,0.0,1658.88,1622.016,1142.784,0.0,3456.000000000001,2995.2000000000007,2764.8000000000006,0.0,9100.800000000001,115.20000000000002,0.0,0.0,6451.0,0.0,0.0,3725.251816578387,2340.0248451951793,199.6948173896409,0.0,2005.2179028701703,3308.291078062499,1111.9550528842078,129.5773717936864,8.0,4.0,0.0,0.0,0.0,1.0,2410.870358859464,0.0,0.0,262.33280690347135,0.0,4267.300989173496,0.0,0.0,422.0897695634026,0.0,0.0,1.0,0.0,2044.1524173397459,407.3710152422701,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,0.0,1.0,0.0,16028.902380024341,694.017540109111,0.0,180.6721611864429,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
8,4423.68,0.0,0.0,0.0,2469.888,1658.88,294.91200000000003,0.0,5760.000000000002,2534.4000000000005,921.6000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4376.460272615368,191.05360300493376,0.0,0.0,2787.374891640556,1984.7256343322422,219.56726780810544,68.41190371155324,8.0,4.0,0.0,0.0,1.0,0.0,2131.2327905357947,0.0,0.0,363.79414722350504,0.0,4333.852617164181,0.0,0.0,1248.6165399179508,0.0,0.0,1.0,0.0,2005.0973448706116,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,0.0,19083.790887849194,0.0,0.0,224.20854701316352,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
9,4386.816000000001,36.864000000000004,0.0,0.0,1437.696,1363.968,1622.016,0.0,3225.600000000001,2419.2000000000007,3571.2000000000007,0.0,9100.800000000001,115.20000000000002,0.0,0.0,5483.349999999999,967.65,0.0,3690.5782093241605,1487.3995875859664,386.99916747860976,0.0,1767.7177651585914,3367.6360645611107,1106.683163315222,74.38056510823841,10.0,2.0,0.0,0.0,0.0,1.0,2036.5058200469987,54.426155954079746,0.0,183.40285005683847,79.02483554006453,3320.4540571404737,23.724854947263495,0.0,608.4965079042796,0.0,0.0,0.0,1.0,1342.7894310355632,270.8668355471947,0.0,141.9264,5.5296,8.0,8.0,2.0,0.0,0.0,1.0,0.0,16643.45762052027,495.20030612860717,165.3292865745266,188.83489865471478,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
