cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,irreparable-0
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,4338.5094144,83.68128,1.3197312,0.16957440000000001,1991.0246399999999,1303.400448,1127.4559488000002,1.7989632000000002,4144.642560000001,2716.6464000000005,2351.0246400000005,3.686400000000001,9039.283200000002,172.86912,3.43296,0.41472,5989.495459999999,269.90984,191.5947,4329.49463006519,1331.7301298665989,319.5510529201911,9.486184006281967,2388.498755606726,2647.6999623748684,762.7505307739832,191.1628313004978,7.3928,4.1464,0.4296,0.0312,0.6654,0.3346,2093.0440158145484,22.57860663262509,0.7998378678645285,282.090407855538,17.429498646094533,4188.015546280686,43.802365857169285,1.4350468286136961,563.2813080117695,28.519726554059034,7.196085139909186,0.507,0.493,1876.2695624092453,100.04672470222089,20.35879895326935,138.81286656,8.64313344,12.7584,3.2416,1.9468,0.0376,0.0156,1.0,19913.019200077553,1137.194716542454,115.31704778944211,239.36224831033996,0.1932382312737945,0.04498700448104892,0.8996,0.1004,1.9996,0.0004,1.0,2.0,1.0
std,176.97738524852878,168.95178195293536,19.92623822200474,9.074158641520158,694.8931135895502,365.1649961068147,788.5732890518512,30.562813498767383,1459.7973013747037,795.2205697779452,1659.4521948155805,63.58340073328702,380.1918072129047,359.5559379302834,44.87514061579593,17.39161329388947,927.1539064268828,489.110213274391,547.3988084605326,1238.9555495912161,754.0162980345798,526.2754142319149,91.28730874902453,990.9073525359569,706.709928961806,678.9170645345793,206.27942440126165,3.0145523158726286,2.738040615710924,1.0219847017182346,0.26351555568811863,0.4718976345305146,0.4718976345305146,440.9728247376412,69.48440206563015,7.53072328544087,74.19048544123595,44.90815559077559,887.2797378859663,131.8859172427533,13.951494311844495,149.54308675038692,77.1902240204062,39.74297971357051,0.5000010001990396,0.5000010001990396,380.853180985877,217.0444528297585,97.46005974095844,14.720344912931111,14.720344912931111,3.7374353672839513,3.7374353672839513,0.3218547468899894,0.2716633950314985,0.17596258854231855,0.0,4718.638635331082,1930.253326494419,472.0389338792879,50.582060047639615,4.866203288560305,1.6081497014145172,0.3005626516743494,0.3005626516743494,0.0282842712474619,0.0282842712474619,0.0,0.0,0.0
log_std,0.04453624692436074,,,,0.3578748156384657,0.3408266833122686,,,0.3626382790399317,0.3565211809046088,,,0.04616147757414235,,,,,,,0.3175944688621087,,,,0.4360294817353634,0.2878790529876323,,,,,,,,,0.20895697853137307,,,,,0.21181452791690042,,,,,,,,,,,0.1399110889539701,,,,,,,0.0,0.24701155295677388,,,0.20949839891344132,,,,,,,0.0,1.1102230246251565e-16,0.0
min,2543.616,0.0,0.0,0.0,479.23199999999997,73.72800000000001,0.0,0.0,691.2000000000002,115.20000000000003,0.0,0.0,4723.200000000001,0.0,0.0,0.0,0.0,0.0,0.0,870.5240534910295,0.0,0.0,0.0,251.78144347172287,392.08778006920465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.265308032973,0.0,0.0,0.0,0.0,1034.7666484092517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3602.636986557387,0.0,0.0,113.77238899983874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
0.1%,3096.502272,0.0,0.0,0.0,589.8240000000001,184.28313599999998,0.0,0.0,1152.0000000000002,345.6000000000001,0.0,0.0,6335.7696000000005,0.0,0.0,0.0,322.55,0.0,0.0,1102.4491697748156,0.0,0.0,0.0,407.26597020813387,649.8320535859693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.6769009296617,0.0,0.0,0.0,0.0,1958.9442163265553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.9098240125194,0.0,0.0,46.078156799999995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5360.740683926852,0.0,0.0,122.69610001269146,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0
2.3%,3796.1441280000004,0.0,0.0,0.0,921.6,516.096,0.0,0.0,1843.2000000000005,1036.8000000000002,0.0,0.0,7833.600000000001,0.0,0.0,0.0,2902.95,0.0,0.0,1884.7028713867971,72.82323916071407,0.0,0.0,842.747268047843,1294.542298222483,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1370.257975850402,0.0,0.0,124.94538391607833,0.0,2682.30612540531,0.0,0.0,235.4273809616225,0.0,0.0,0.0,0.0,1010.7595849833724,0.0,0.0,90.3168,0.0,4.0,0.0,0.0,0.0,0.0,1.0,11392.597648953037,0.0,0.0,152.70188596702454,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0
10%,4165.6320000000005,0.0,0.0,0.0,1142.784,811.008,147.45600000000002,0.0,2419.2000000000007,1612.8000000000004,345.6000000000001,0.0,8640.000000000002,0.0,0.0,0.0,4838.25,0.0,0.0,2701.5825086628147,347.8827953234587,0.0,0.0,1238.0672732781377,1780.6807538632477,68.5342626887488,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1576.357515951939,0.0,0.0,194.39704697024575,0.0,3145.726428041462,0.0,0.0,383.7639842767458,0.0,0.0,0.0,0.0,1415.7199226414937,0.0,0.0,121.65119999999999,0.0,8.0,0.0,2.0,0.0,0.0,1.0,14356.492459118706,0.0,0.0,179.46202362683388,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0
15.9%,4276.224,0.0,0.0,0.0,1290.24,921.6000000000001,258.048,0.0,2649.600000000001,1958.4000000000003,576.0000000000001,0.0,8870.400000000001,0.0,0.0,0.0,5483.349999999999,0.0,0.0,3047.449594522474,514.7059357490816,0.0,0.0,1415.8923181216733,1965.9093527275388,131.0949699721997,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1662.851835095981,0.0,0.0,215.22646927580107,0.0,3338.737602344366,0.0,0.0,428.7538193000778,0.0,0.0,0.0,0.0,1542.129565630625,0.0,0.0,130.8672,0.0,8.0,0.0,2.0,0.0,0.0,1.0,15431.822017258119,0.0,0.0,190.16925062951677,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
50%,4423.68,0.0,0.0,0.0,1880.064,1327.104,1032.192,0.0,3916.800000000001,2764.8000000000006,2188.8,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4356.166244432883,1287.9899083854802,90.16315574582129,0.0,2261.2270801122822,2627.383156052602,595.0325565013636,130.90271989502435,8.0,4.0,0.0,0.0,1.0,0.0,2049.3239868428345,0.0,0.0,281.0761283355097,0.0,4102.760540595587,0.0,0.0,564.5246880421871,0.0,0.0,1.0,0.0,1887.405758406779,0.0,0.0,145.6128,1.8432,12.0,4.0,2.0,0.0,0.0,1.0,19582.494598587364,323.27524772754816,0.0,234.21354236616173,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
84.1%,4423.68,147.45600000000002,0.0,0.0,2727.936,1658.88,1990.656,0.0,5644.800000000001,3571.2000000000007,4147.200000000001,0.0,9216.000000000002,345.6,0.0,0.0,6451.0,645.1,322.55,5573.43059430967,2130.919622691453,672.8833666537794,0.0,3339.2753583963054,3323.1826123818973,1419.4723422517766,385.051453408077,10.0,8.0,2.0,0.0,1.0,1.0,2516.9491829644294,34.07501906934338,0.0,349.4461997777512,43.867951263939574,5061.130292855758,67.50227575982012,0.0,705.9745782818227,0.0,0.0,1.0,1.0,2236.864098924996,252.71647600667015,0.0,147.456,16.5888,16.0,8.0,2.0,0.0,0.0,1.0,24509.54671163902,2279.725585893513,151.4664131774792,288.64025944451373,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
90%,4423.68,258.048,0.0,0.0,2949.12,1769.472,2248.704,0.0,6220.800000000001,3686.400000000001,4723.200000000001,0.0,9216.000000000002,576.0,0.0,0.0,6451.0,967.65,645.1,5902.931591038116,2358.5883193795007,1002.918655605189,0.0,3712.121903740469,3545.129151598473,1705.6793376364913,478.34222804284497,12.0,8.0,2.0,0.0,1.0,1.0,2677.032969404003,65.16164425497361,0.0,372.30347144204103,73.81806103851584,5362.9549825673685,126.11922059496855,0.0,748.3801212849419,129.9628952088128,0.0,1.0,1.0,2338.2537950609762,379.60302813206096,0.0,147.456,25.8048,16.0,8.0,2.0,0.0,0.0,1.0,26090.75294424834,3422.6024987017413,310.9215272157205,307.178612647969,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0
