-,repair_cost-,repair_time-parallel,repair_time-sequential
count,5000.0,5000.0,5000.0
mean,367098.41266267106,133.52022213713445,298.7851763183667
std,186423.54325955542,56.89414327500462,152.62158448191235
log_std,0.5646383640803789,0.46825405617122123,0.5580728885168039
min,14959.659107209907,14.861695056957739,21.530258266570133
0.1%,37608.30287729271,20.276347382989037,33.85659827527308
2.3%,81635.54980366708,39.990227240722106,70.10560274739044
10%,150154.2971527698,64.4433269736543,123.97017511084633
15.9%,185167.25858126706,76.87644264140252,150.66831880264638
50%,340669.45132011746,127.40525760881869,277.273201821362
84.1%,551550.262020605,189.9958857915927,444.4427286544564
90%,613518.1111340565,208.66712240060917,501.26226642442225
97.7%,803745.0738745399,260.84358015582075,667.9990044071891
99.9%,1171522.1676763748,373.5562059880509,934.73992607108
max,1450633.4373169923,415.3771137852173,1158.144294273656
