dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b
0,0.0,36888.43384055956,41753.92094046693,0.0,0.0,2541.0981832772695,31700.70061877819,17650.19003726745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.80516179948722,28.944348801869435,0.0,0.0,3.0267745991128656,26.669429942825325,14.706609611431881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,782.6449235786375,69577.74949365646,119147.9683263794,8370.262440110824,4851.303351726241,71376.24068706189,197489.27260712994,15684.37158677442,2520.203633715412,0.0,88.04981390557633,0.0,0.0,52008.97255436102,306.63760617182373,4901.877631162853,18607.742278682803,0.0,727.8646758562717,0.0,0.0,0.0,0.4352779289338883,60.18592530509301,70.7910008147896,7.529510078274192,4.775446479512188,59.81863704771935,165.4921139480511,13.408633541984313,0.8075885567053378,0.0,0.09026902617981644,0.0,0.0,11.955966091349918,0.45483034064394545,5.371601038994709,20.767776364292963,0.0,1.1066281713893606,0.0,0.0,0.0
2,714.4761827294437,51084.6877051347,70562.08282827737,0.0,0.0,15219.163474505844,51628.14674360005,12253.425614557245,0.0,0.0,0.0,0.0,0.0,39282.042772341934,0.0,0.0,7633.523079293565,0.0,0.0,0.0,0.0,0.0,1.735843455344351,50.80180110330307,62.2117149664501,0.0,0.0,39.84881223548524,33.865909234439755,11.299384866360835,0.0,0.0,0.0,0.0,0.0,18.271881717685567,0.0,0.0,12.88069342695241,0.0,0.0,0.0,0.0,0.0
3,2274.826688592407,40401.8681822157,70460.0268025671,0.0,0.0,33748.70600242672,149421.26701564787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10015.716595859682,0.0,0.0,0.0,0.0,0.0,1.5214033705420462,56.322916736762544,62.86741430414619,0.0,0.0,33.45811258072512,113.18513516592658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.981967806721999,0.0,0.0,0.0,0.0,0.0
4,0.0,51918.97730692257,67250.42751343802,0.0,0.0,12949.485143197635,67473.18856518215,14913.150153848455,0.0,6.514497277130424,0.0,0.0,223.6898915085104,44584.32414201802,108.14669629026456,2170.94193472199,9439.683371790534,0.0,842.3612924977077,0.0,0.0,0.0,0.0,48.07038659856744,56.194553376732046,0.0,0.0,12.623918277272676,59.536981536161335,9.908516803164293,0.0,0.032578878342964655,0.0,0.0,0.09631881487876941,14.191112467303844,0.20486799045942566,3.2343648601129664,8.56384229932403,0.0,1.6842145633950107,0.0,0.0,0.0
5,0.0,45443.618205708844,41978.68639392449,0.0,0.0,7802.774075513937,62581.02472557316,13361.533583198598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.58024124621655,26.911685136565502,0.0,0.0,7.274390785383583,34.812398819598094,19.06991482530389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,33183.87092133824,62412.533545500344,0.0,0.0,11482.159363747764,101595.37479084736,8835.028783873611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.9296300511432,10760.953834262491,0.0,0.0,0.0,0.0,0.0,0.0,33.37959152819112,47.629265339531344,0.0,0.0,10.32372509455945,67.68167690685537,2.758737953454284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0684272929367473,12.75648887381984,0.0,0.0,0.0,0.0,0.0
7,0.0,58544.448845508225,114490.7212044143,5777.218698902745,99235.69486849473,40477.00244921861,160122.84353069906,11583.547606296084,0.0,42.89499000037331,0.0,90.62389526243754,0.0,42439.44013424894,347.4405520881833,8947.320982829508,18395.063681936856,0.0,3565.6106607926795,0.0,0.0,0.0,0.0,61.83652699904906,78.36051978669826,12.215955769049906,50.13476823791552,52.04147404606376,168.32478022595078,9.947736552394932,0.0,0.031595755168012676,0.0,0.07354316786873508,0.0,10.671586596225781,0.5077957180661201,9.722804598706883,19.194226535931197,0.0,4.887034221688379,0.0,0.0,0.0
8,4390.256067236057,71480.76445173511,119545.63267566587,11879.662238259254,51874.07060678246,59889.99279249868,159305.56661356066,10941.47739523719,3237.3984123222613,0.0,18.277781008756214,131.91466487277862,176.06182866461353,43703.668684287324,0.0,6428.870837492683,19595.340694005616,0.0,1376.8695475818663,0.0,0.0,0.0,3.1482707495042463,67.64319660566582,104.03659470820156,7.503029950884648,26.236027309598104,81.63358506284455,97.34444601771158,16.730827529327932,2.718457687772826,0.0,0.012383035787623656,0.12086197712459879,0.03307223418501159,13.063489860277667,0.0,7.106837928878401,31.33778060591362,0.0,2.4676894859247556,0.0,0.0,0.0
9,781.272266584929,44563.99142526361,69001.36072344873,0.0,0.0,24579.057875077375,164717.22333698405,14134.068710238644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0411319809202977,48.7223998917078,64.31939599842116,0.0,0.0,20.965815840690972,137.43420106205625,4.140910486087436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
