dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,1648.4778612073585,53645.860593648395,80888.92664973333,8263.362329114076,9232.743361565445,37892.77550092864,120970.31347753029,16575.993017992925,737.7082541794472,12.906550187818814,8.665676627363322,48.72119376889474,31.3187921392426,25250.616759572426,220.37214112618085,2603.5529033142548,7948.7147892423345,538.1842229999623,869.4458205947392,1.2525580718011482,847.1617801218132,4.12336589020917,1.6418009160617533,53.62851241116654,65.13306079310455,6.655992278148368,10.389983425296867,30.747198947950352,96.68929132165364,13.194501746004825,0.7254507176995734,0.01322416061425377,0.00991310163983479,0.05305210664068634,0.03449159241909135,7.413218017601882,0.1534816108161603,3.0555726646141737,9.689322545878563,0.16920366581072668,0.7380773111099839,0.0017561834166013846,0.2854978960279406,0.000831608168600666
std,3105.236740985114,18704.700097784338,28185.980779900754,17572.809518517246,19917.72145580937,34411.28665461924,60877.71465383465,16117.501125133278,1612.9724084532288,60.83921985170588,25.675522919972767,206.7454286371182,93.71163301366175,26415.707871369435,759.9569034808524,4162.367379870785,9106.056835874077,5672.371666212793,2088.026583844352,27.87778587047235,2584.19486281547,291.5659982280209,3.114620723407553,19.806997277764335,23.405826908821865,14.383353514051521,22.678495544662564,28.070104234583717,50.141859554955566,13.258503796705654,1.6439236691795607,0.05549486774358617,0.029781790884209205,0.21428618916107436,0.10594938806827664,8.228750517634932,0.4129103914435485,4.922819497868186,11.351043972383092,1.825265852506362,1.4255252698673637,0.05103400092486903,0.9006584055025326,0.05880357753076568
log_std,,0.4168944397841206,0.4223042220355885,,,,0.6229542646019456,,,,,,,,,,,,,,,,,0.43128445977283086,0.4348016977622664,,,,0.6353371254705699,,,,,,,,,,,,,,,
min,0.0,1837.9075423534068,3182.2511279667506,0.0,0.0,0.0,6224.744703576456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9368454678188933,1.1794325234858993,0.0,0.0,0.0,3.7712563902533285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,6463.4147564701925,11191.307767563858,0.0,0.0,0.0,10442.688105076515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0631666865492795,7.586586784615261,0.0,0.0,0.0,7.944400815949668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,16471.823959305646,24693.480151387797,0.0,0.0,1612.131216303979,21910.815329242454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.44760549376548,19.026625868988162,0.0,0.0,1.2010260426360349,17.242806670273087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,29570.413124155846,43924.1131007711,0.0,0.0,7168.41248383707,42429.3414502864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.676848470410107,35.085468163884954,0.0,0.0,5.589052791157134,33.22292993198943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.9%,0.0,34841.0106447018,52110.99459663238,0.0,0.0,10056.06111788553,55578.962020278166,4911.4585697054545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.85566499088598,41.36220389346232,0.0,0.0,8.073153135358362,43.02052454843887,3.5737620838935347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,53392.73929019274,80632.21673626211,0.0,0.0,27592.143335224486,116670.7210635704,13555.517790497268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.3255710721476,8371.01367188433,0.0,137.76193593197576,0.0,0.0,0.0,0.0,53.03061646970291,64.77400421387267,0.0,0.0,22.297299029176703,92.54304996265739,10.575279828782342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9647635582264045,8.254772042957006,0.0,0.15794413332909807,0.0,0.0,0.0
