cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
0,4423.68,0.0,0.0,0.0,3981.3120000000004,442.36800000000005,0.0,0.0,8294.400000000001,921.6000000000001,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6128.450000000001,0.0,322.55,5809.358741805781,69.08194431413814,0.0,0.0,3736.7059399423683,1253.63156780674,60.52588632364363,0.0,12.0,0.0,0.0,0.0,1.0,0.0,2232.098988051857,16.734142497302,0.0,326.8890781908543,0.0,4707.7545752160195,0.0,0.0,517.4528054645451,0.0,0.0,0.0,1.0,1874.0293263143972,0.0,0.0,140.0832,7.3728,12.0,4.0,2.0,0.0,0.0,1.0,18351.884660806118,1424.4343214249275,0.0,254.81305816315685,0.0,1.0,0.0,2.0,1.0,2.0,1.0
1,4423.68,0.0,0.0,0.0,3649.536,700.416,73.72800000000001,0.0,7833.600000000002,1382.4000000000003,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,6384.513811532234,158.5222807606353,0.0,0.0,4648.055221487177,813.1690913390403,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,2694.805286820504,0.0,0.0,311.05858600990297,0.0,3888.663419038323,0.0,0.0,376.9680287973691,0.0,0.0,1.0,0.0,1851.1555260857283,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,19675.1721320242,210.09587725438783,0.0,235.41107039787886,0.0,1.0,0.0,2.0,1.0,2.0,1.0
2,4423.68,0.0,0.0,0.0,2654.208,1585.152,184.32000000000002,0.0,5875.200000000002,2880.000000000001,460.8000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4650.857219908332,527.1909896522795,0.0,0.0,2499.8554578608523,2239.2536174138413,170.93763958001426,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2498.9181068456573,0.0,0.0,280.8572843474698,0.0,3534.9356212394764,0.0,0.0,507.8414841804571,0.0,0.0,1.0,0.0,1575.3092143937474,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,27450.695047743684,143.27388850096455,0.0,184.0338056676157,0.0,1.0,0.0,2.0,1.0,2.0,1.0
3,4239.360000000001,184.32000000000002,0.0,0.0,1548.288,1105.92,1769.472,0.0,3571.2000000000007,2304.000000000001,3340.8000000000006,0.0,8870.400000000001,345.6,0.0,0.0,6451.0,0.0,0.0,3763.8684078811048,1780.5332504110727,612.1118889678,0.0,2309.7614673752823,1776.5116620230874,664.5615269919954,473.6018313155287,4.0,8.0,0.0,0.0,0.0,1.0,2064.729176068741,0.0,0.0,333.60136534335794,0.0,6425.8103888973355,70.02975813091697,0.0,721.7570214211177,0.0,0.0,0.0,1.0,2419.9741152993656,0.0,0.0,141.9264,5.5296,16.0,0.0,2.0,0.0,0.0,1.0,20033.85178083409,172.18157432354056,0.0,197.63454275997321,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4,4423.68,0.0,0.0,0.0,3833.856,589.824,0.0,0.0,8064.000000000002,1152.0000000000002,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5426.831320560976,74.57709748704877,0.0,0.0,5470.920451865135,984.1625424662329,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2218.835313178499,0.0,0.0,330.2083898205099,0.0,4755.55255672886,0.0,0.0,752.9246164933098,0.0,0.0,1.0,0.0,1900.9316483304042,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,22462.021823780473,0.0,0.0,227.84636330407065,0.0,1.0,0.0,2.0,1.0,2.0,1.0
5,4386.816000000001,36.864000000000004,0.0,0.0,2875.3920000000003,589.8240000000001,958.464,0.0,5760.000000000002,1843.2000000000005,1612.8000000000004,0.0,8985.600000000002,230.40000000000003,0.0,0.0,6451.0,0.0,0.0,5335.934105826924,1353.1830472048246,367.02085590340926,0.0,2422.0307582630253,1819.1029222764828,914.8558765422171,0.0,8.0,2.0,2.0,0.0,1.0,0.0,2728.0105115461574,0.0,0.0,231.58953566776952,0.0,4090.939275473031,0.0,0.0,372.975968973568,0.0,0.0,1.0,0.0,1704.8665490927674,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,17953.873497557008,0.0,0.0,172.0601215668221,0.0,1.0,0.0,2.0,1.0,2.0,1.0
6,4423.68,0.0,0.0,0.0,2875.392,1253.376,294.91200000000003,0.0,5529.600000000001,3225.6000000000004,460.8000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6128.450000000001,0.0,322.55,5817.308513831055,928.7633255610932,0.0,0.0,3662.7015089733436,2506.1991362861013,158.35092961545823,50.762381708303366,8.0,4.0,0.0,0.0,1.0,0.0,1620.739836423912,0.0,0.0,256.8149968956494,0.0,5779.241077305246,0.0,0.0,345.8357977241107,61.642034330972685,0.0,0.0,1.0,1942.4274109770745,0.0,0.0,145.6128,1.8432,12.0,4.0,2.0,0.0,0.0,1.0,13564.888253329895,212.7610515989984,0.0,177.055076059854,0.0,1.0,0.0,2.0,1.0,2.0,1.0
7,4423.68,0.0,0.0,0.0,3465.2160000000003,884.7360000000001,73.72800000000001,0.0,7142.4000000000015,1843.2000000000005,230.40000000000006,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,6419.852902957809,292.70226287067413,0.0,0.0,4031.5207823832384,1142.808125129409,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,2205.2430980833406,0.0,0.0,299.1389401666446,0.0,5284.70934410641,0.0,0.0,385.3798378480249,0.0,0.0,1.0,0.0,1799.3601225871005,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,20033.197366271314,0.0,0.0,288.09852688107264,0.0,1.0,0.0,2.0,1.0,2.0,1.0
8,4423.68,0.0,0.0,0.0,2359.2960000000003,1990.656,73.72800000000001,0.0,4838.400000000001,4147.200000000001,230.40000000000006,0.0,9216.000000000002,0.0,0.0,0.0,6128.450000000001,322.55,0.0,6112.978840945867,527.9147546878137,0.0,0.0,2160.285463473324,2943.6788063193862,101.48882285526803,0.0,12.0,0.0,0.0,0.0,1.0,0.0,2043.5779618860802,0.0,0.0,620.0416680006074,0.0,4797.283810256007,0.0,0.0,517.6056044324694,0.0,0.0,1.0,0.0,1870.5375495053577,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,20055.028565741544,462.06120481580245,0.0,189.06452568726095,0.0,1.0,0.0,2.0,1.0,2.0,1.0
9,4423.68,0.0,0.0,0.0,3465.2160000000003,884.7360000000001,73.72800000000001,0.0,7142.4000000000015,1958.4000000000005,115.20000000000003,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5578.896681267403,125.57101741566609,0.0,0.0,3784.8395446092286,1741.6698126790225,92.79053809321523,92.79053809321523,12.0,0.0,0.0,0.0,1.0,0.0,1858.3738132280948,0.0,0.0,221.85773879904204,0.0,4088.2745577154474,0.0,0.0,577.7476599355385,0.0,0.0,1.0,0.0,2277.3798103296344,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,17181.637216130344,0.0,0.0,163.98501890395596,0.0,1.0,0.0,2.0,1.0,2.0,1.0
10,4423.68,0.0,0.0,0.0,2838.5280000000002,1290.24,294.91200000000003,0.0,5529.600000000001,2995.2000000000007,691.2000000000002,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,7471.746033071792,345.65526100626533,0.0,0.0,4320.329881617046,3679.5222616201327,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,2062.023629838952,0.0,0.0,255.23282110723906,0.0,4684.283414865407,0.0,0.0,512.0061930430204,0.0,0.0,1.0,0.0,2182.0687442278745,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,26059.752943225452,0.0,0.0,192.5558226471217,0.0,1.0,0.0,2.0,1.0,2.0,1.0
11,4423.68,0.0,0.0,0.0,4018.1760000000004,405.504,0.0,0.0,7948.800000000002,1267.2000000000003,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5607.876078815714,0.0,0.0,0.0,4353.116568480982,872.2251536059578,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1345.0506408682754,0.0,0.0,340.4572448547509,0.0,3332.5489893819454,0.0,0.0,434.86119995532664,0.0,0.0,1.0,0.0,2410.062617630082,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,19744.776861875336,0.0,0.0,188.51486685072788,0.0,1.0,0.0,2.0,1.0,2.0,1.0
12,4423.68,0.0,0.0,0.0,3465.2160000000003,958.464,0.0,0.0,6796.800000000002,2073.6000000000004,345.6000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5740.667206848359,285.99321538369963,0.0,0.0,4087.697027926376,3551.062990581357,311.7583357241514,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1448.365779303065,0.0,0.0,283.03110841586437,0.0,4681.959920577538,0.0,0.0,788.5596864816769,0.0,0.0,0.0,1.0,2013.4847575282697,0.0,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,0.0,1.0,19776.876566205225,0.0,0.0,259.79108514657497,0.0,1.0,0.0,2.0,1.0,2.0,1.0
