cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,4406.818406400001,16.574054399999998,0.25067520000000004,0.036864,2828.0881152,1171.1987712,424.1129472,0.28016640000000004,5885.360640000002,2446.5715200000004,883.4227200000003,0.64512,9180.933120000002,34.398720000000004,0.64512,0.023040000000000005,6391.71531,46.25367,13.03102,5277.707058308175,643.783820831974,67.08568173391762,1.6041160177883,3382.1260821016567,2272.1532643899836,268.38592923092415,67.91139057852901,9.6768,2.1996,0.1196,0.004,0.8672,0.1328,2114.1269635469216,2.261888364192084,0.012490462053486721,296.0590717875268,3.4534771215081053,4228.253347119395,4.445809571957389,0.048297039771865696,593.0662042504753,5.386308773971619,0.5578676813202359,0.7804,0.2196,1972.713850115721,21.479628942211654,2.595442779669821,145.68321023999997,1.77278976,14.396,1.604,1.9784,0.0156,0.006,1.0,20908.338918949616,247.07654117670114,8.876250702944501,239.60471406072844,0.009330388639262915,0.957,0.043,2.0,1.0,2.0,1.0
std,65.6512503002101,61.9010532393389,8.206995546537426,1.3789697790141333,660.6547520365453,385.6540994550336,469.8719474347921,8.996187027075209,1396.006274405107,830.8527935066388,991.2421580093155,18.708534898308,137.49039283051656,129.4189049287321,21.234155459005464,1.629174023853806,203.51273767993854,161.17380924451834,77.39812633230568,1029.869039007575,574.767066340195,206.03129878794286,35.008948579117224,1002.892022320989,728.9206796477796,356.3212840272836,116.06727234457507,2.2041128334721285,2.10376923853397,0.5162839817677535,0.09790769726347713,0.3393923944926991,0.3393923944926991,440.63226445581836,11.632060320938043,0.6748053896568528,64.58247863869163,17.75336610048604,882.441505889966,21.47133911385902,1.5865067635943513,128.64961584820705,31.45280134184019,10.705490148253656,0.41401705523372445,0.41401705523372445,306.04217722804503,89.30648371608255,27.304112486477994,4.106049468244417,4.106049468244419,2.5708570285358605,2.5708570285358605,0.20674135628286744,0.17596258854231855,0.10939101095910822,0.0,4407.4410844401,567.0445321660743,66.56945716842002,50.359923599860515,0.659758107792873,0.2028773813079449,0.2028773813079449,0.0,0.0,0.0,0.0
log_std,0.01594602580454006,,,,0.24668732554456868,,,,0.2511641520292689,,,,0.015981356770946507,,,,0.03578385841617046,,,0.20445658378270987,,,,0.3084039991588994,0.3736533346887158,,,,,,,,,0.2068258515289081,,,0.21968829152317676,,0.2059194696156228,,,0.2183369236657889,,,,,0.1578371348512562,,,0.030433643429828582,,,,,,,0.0,0.20710852157036086,,,0.20719148083975844,,,,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0
min,3133.4400000000005,0.0,0.0,0.0,995.328,0.0,0.0,0.0,2304.0000000000005,0.0,0.0,0.0,6566.4000000000015,0.0,0.0,0.0,3225.5,0.0,0.0,1940.9376986252623,0.0,0.0,0.0,928.8038363957598,65.42526365421567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.9864531095536,0.0,0.0,100.07541153169612,0.0,1846.3115164161095,0.0,0.0,200.19461309414996,0.0,0.0,0.0,0.0,518.6938907365856,0.0,0.0,95.8464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9977.200322917335,0.0,0.0,104.10820398989736,0.0,0.0,0.0,2.0,1.0,2.0,1.0
0.1%,3612.6720000000005,0.0,0.0,0.0,1179.6480000000001,36.864000000000004,0.0,0.0,2419.2000000000007,115.20000000000003,0.0,0.0,7603.084800000001,0.0,0.0,0.0,4515.37745,0.0,0.0,2310.2289981894983,0.0,0.0,0.0,1052.5352452324064,324.7142045535984,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1071.383054952614,0.0,0.0,118.84157036313549,0.0,2305.2975421490332,0.0,0.0,236.18322887864144,0.0,0.0,0.0,0.0,1034.8789238965999,0.0,0.0,106.9037568,0.0,4.0,0.0,0.0,0.0,0.0,1.0,11385.76056646153,0.0,0.0,122.72861344127325,0.0,0.0,0.0,2.0,1.0,2.0,1.0
2.3%,4239.360000000001,0.0,0.0,0.0,1585.152,331.776,0.0,0.0,3340.8000000000006,691.2000000000002,0.0,0.0,8870.400000000001,0.0,0.0,0.0,5805.9,0.0,0.0,3207.168895781146,0.0,0.0,0.0,1634.2866038814611,834.6346471185972,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1365.7404978283757,0.0,0.0,182.83975267636114,0.0,2737.4039648483995,0.0,0.0,373.41264922031047,0.0,0.0,0.0,0.0,1397.6127935456857,0.0,0.0,134.5536,0.0,8.0,0.0,2.0,0.0,0.0,1.0,13583.032083715378,0.0,0.0,156.3572585507106,0.0,0.0,0.0,2.0,1.0,2.0,1.0
10%,4386.816000000001,0.0,0.0,0.0,1953.7920000000001,626.6880000000001,0.0,0.0,4032.000000000001,1267.2000000000003,0.0,0.0,9100.800000000001,0.0,0.0,0.0,6128.450000000001,0.0,0.0,3951.4445760715635,40.53540196874535,0.0,0.0,2141.799441199057,1340.4138849102853,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1584.7219363630425,0.0,0.0,219.4496650097737,0.0,3183.9845389695984,0.0,0.0,440.75910575115523,0.0,0.0,0.0,0.0,1605.4845119028041,0.0,0.0,141.9264,0.0,12.0,0.0,2.0,0.0,0.0,1.0,15656.73331850149,0.0,0.0,180.9536212524816,0.0,1.0,0.0,2.0,1.0,2.0,1.0
15.9%,4386.816000000001,0.0,0.0,0.0,2138.112,774.144,0.0,0.0,4377.600000000001,1612.8000000000002,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4255.9937743406845,91.8001147103565,0.0,0.0,2380.694541829832,1564.4338392117372,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1684.0513080309613,0.0,0.0,233.87329545805062,0.0,3363.771900059545,0.0,0.0,469.90463414444133,0.0,0.0,0.0,0.0,1676.3240590620294,0.0,0.0,143.7696,0.0,12.0,0.0,2.0,0.0,0.0,1.0,16608.727877416342,0.0,0.0,191.25839939953062,0.0,1.0,0.0,2.0,1.0,2.0,1.0
50%,4423.68,0.0,0.0,0.0,2801.664,1216.512,258.048,0.0,5875.200000000002,2534.4000000000005,576.0000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5269.945002995103,505.14103742751183,0.0,0.0,3303.4584006753594,2274.1721393871294,138.29248228209292,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2072.2873946315995,0.0,0.0,291.7390835694595,0.0,4138.604097096464,0.0,0.0,581.873485614517,0.0,0.0,1.0,0.0,1953.8592976195132,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,20464.53776350868,0.0,0.0,233.7734413769722,0.0,1.0,0.0,2.0,1.0,2.0,1.0
