cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,excessiveRID-1,irreparable-0,irreparable-1
0,4055.04,368.64,0.0,0.0,1142.784,1105.92,2174.976,0.0,2073.6000000000004,2304.0000000000005,4838.4000000000015,0.0,8870.400000000001,345.6,0.0,0.0,6451.0,0.0,0.0,3131.845902826753,2064.2525804119177,1048.7299241527207,0.0,704.8564359474094,1652.4668902813685,1488.9640668616887,348.6512653024206,2.0,10.0,0.0,0.0,0.0,1.0,1821.7157508584694,11.542013961137869,0.0,273.03344644482155,0.0,3455.4158368733433,0.0,0.0,736.840275448028,0.0,0.0,0.0,1.0,2324.1444433393185,0.0,0.0,140.0832,7.3728,8.0,8.0,2.0,0.0,0.0,1.0,0.0,21815.661765001445,2535.1565858440526,0.0,217.95986195888338,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
1,4386.816000000001,36.864000000000004,0.0,0.0,1769.4720000000002,1253.3760000000002,1400.832,0.0,4032.000000000001,2073.6000000000004,3110.400000000001,0.0,8985.600000000002,230.40000000000003,0.0,0.0,6451.0,0.0,0.0,3085.392051181964,3856.062073665367,197.2298284848392,0.0,1966.661940622788,2673.442021215956,851.0389207663088,173.0327346134992,4.0,6.0,2.0,0.0,0.0,1.0,1602.86094725162,0.0,0.0,377.70779672749893,0.0,3848.095323853936,0.0,0.0,493.05602647470744,160.426422413341,0.0,0.0,1.0,1733.3574263917376,85.0976199238178,0.0,143.7696,3.6864,16.0,0.0,2.0,0.0,0.0,1.0,0.0,20187.747974797523,475.15877536297,0.0,181.59272665979725,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
2,2506.7520000000004,1363.968,516.096,36.864000000000004,479.23199999999997,663.552,2654.208,626.6880000000001,921.6000000000001,1382.4000000000003,5760.000000000002,1152.0000000000002,4608.000000000001,4032.0,576.0000000000001,0.0,4515.7,1612.75,322.55,1373.565567569611,543.1474695072883,1460.3330633459314,1493.8269411021688,446.96151154253243,1269.4095701877436,2374.751886359132,807.2398332253201,0.0,6.0,2.0,4.0,0.0,1.0,1605.5886393473452,0.0,0.0,285.25075570896666,0.0,4904.863983342836,75.80933425554097,0.0,653.0382647643239,0.0,0.0,0.0,1.0,1674.4829230325668,0.0,0.0,130.8672,16.5888,8.0,8.0,2.0,0.0,0.0,1.0,0.0,18773.16527149546,2693.2305978351037,0.0,167.28126344753946,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3,4423.68,0.0,0.0,0.0,1732.6080000000002,1806.336,884.7360000000001,0.0,3225.600000000001,3571.2000000000007,2419.2000000000007,0.0,9216.000000000002,0.0,0.0,0.0,6128.450000000001,322.55,0.0,5296.296187239971,1764.9283559628807,0.0,0.0,1872.2580170710573,2638.2057171826127,793.0346429184725,24.49671679077307,10.0,2.0,0.0,0.0,1.0,0.0,1762.0397700696349,0.0,0.0,196.23397371469673,67.52030456535742,3045.3758189083965,0.0,0.0,651.5794834105976,0.0,0.0,0.0,1.0,2130.866043452192,0.0,0.0,141.9264,5.5296,16.0,0.0,2.0,0.0,0.0,1.0,0.0,15171.416537435285,890.7727573841707,0.0,214.7062088728285,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4,3944.4480000000003,442.368,36.864000000000004,0.0,737.28,663.552,3022.848,0.0,1843.2000000000003,921.6000000000003,6451.200000000002,0.0,7948.800000000001,1152.0,115.20000000000002,0.0,4193.15,1290.2,967.65,1431.511416603476,1523.4632983152835,1823.7205296965853,360.9407177442571,717.7146195551805,2119.9130611341,2154.119395265565,614.9881945392106,2.0,4.0,4.0,2.0,0.0,1.0,1644.6538132567775,84.4558850399343,0.0,273.0944001836564,0.0,3788.982810320886,313.85947529646086,0.0,734.2139065348942,0.0,0.0,0.0,1.0,1580.4635666598288,823.3985691135812,309.17560681789854,99.53280000000001,47.9232,8.0,8.0,2.0,0.0,0.0,1.0,0.0,11568.251109350958,6488.220090631508,1275.9109862794644,239.3515178148034,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
5,4165.6320000000005,258.048,0.0,0.0,700.416,884.7360000000001,2838.5280000000002,0.0,1036.8000000000002,2073.6000000000004,6105.600000000001,0.0,8870.400000000001,345.6,0.0,0.0,6451.0,0.0,0.0,1870.1334309622662,2282.0437005627546,1449.3972956873179,0.0,641.0626953795335,1896.6603220837114,1764.8969311907897,370.0568416457746,0.0,12.0,0.0,0.0,0.0,1.0,2588.4040956920303,0.0,0.0,295.51901345542075,0.0,4708.553998101986,0.0,0.0,837.446143781021,0.0,0.0,0.0,1.0,1800.39635761978,0.0,0.0,140.08319999999998,7.3728,16.0,0.0,2.0,0.0,0.0,1.0,0.0,17711.87195817478,355.5795936212515,0.0,159.17098831800354,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
6,3612.672,774.144,36.864000000000004,0.0,774.144,737.28,2912.2560000000003,0.0,1267.2000000000003,2188.8000000000006,5644.800000000001,115.20000000000003,7833.600000000001,1382.4,0.0,0.0,5483.349999999999,967.65,0.0,2117.5312897577296,2336.20871137043,2328.3072203289694,0.0,610.0148281431316,2355.4721464089757,2855.4026284767365,885.7750219757947,2.0,10.0,0.0,0.0,0.0,1.0,2386.327572032713,0.0,0.0,278.831873834426,74.4862777999966,4038.1580221049066,0.0,0.0,725.158133017038,0.0,0.0,0.0,1.0,2391.180997908553,0.0,0.0,129.024,18.432,12.0,4.0,0.0,2.0,0.0,1.0,0.0,28385.845698039637,3110.862294050977,0.0,212.63772498141236,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
7,3760.128,552.96,110.592,0.0,442.368,921.6,3059.7120000000004,0.0,921.6000000000001,1728.0000000000005,6566.4000000000015,0.0,7488.000000000001,1728.0000000000002,0.0,0.0,1935.3,645.1,3870.6,1466.3189542542973,2007.2968402080535,1750.7027094639423,97.9046515386621,584.7205150457157,2641.6001278030253,2068.394855130221,620.0020579064637,2.0,8.0,2.0,0.0,0.0,1.0,1680.0422452613343,473.3899473901074,61.011449868044686,370.6102079757902,173.33390191451926,3629.5786018664758,1205.0368414274851,0.0,222.6218443623914,207.9090964929527,246.20245919243618,0.0,1.0,970.025808578341,603.9892922754655,175.83343468370938,51.6096,95.8464,4.0,12.0,2.0,0.0,0.0,1.0,0.0,6461.915151742995,10356.804889721621,2144.9477007250116,345.13582493430596,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
8,3022.8480000000004,774.144,552.96,73.72800000000001,700.416,995.328,1990.656,737.28,1036.8000000000002,2419.2000000000007,4032.000000000001,1728.0000000000005,5990.4000000000015,1728.0,1152.0,345.6,4515.7,1290.2,645.1,2322.51733729675,1318.4295128281915,827.3350681542518,1318.6264916487087,926.8747369243147,1807.9251056492465,2286.092608697784,299.87933678054515,4.0,4.0,2.0,2.0,0.0,1.0,1216.15327558243,161.58988297624524,0.0,327.2778510939635,90.51655709869105,3496.9803683040573,339.7619379772434,0.0,338.87293525408404,88.28325457006378,0.0,0.0,1.0,1297.0456847225155,0.0,476.63074899710045,106.90559999999999,40.550399999999996,0.0,16.0,2.0,0.0,0.0,1.0,0.0,13098.38958266163,7737.505210781348,1591.6996555289422,269.5240292850494,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
9,4165.6320000000005,258.048,0.0,0.0,1032.192,847.8720000000001,2543.616,0.0,2188.8000000000006,1612.8000000000004,5414.4000000000015,0.0,8755.2,460.80000000000007,0.0,0.0,6451.0,0.0,0.0,2288.667778671532,2810.7364037427756,642.6664772129228,0.0,672.566221834044,1677.486207358827,1460.4832757946763,655.1579298314982,6.0,4.0,2.0,0.0,0.0,1.0,1988.4859437229466,0.0,0.0,329.76972058060875,0.0,3898.772282793896,0.0,0.0,457.57296444968154,0.0,0.0,1.0,0.0,2371.3309319073705,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,21391.111376275254,344.86987184407116,0.0,135.7608617541097,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
10,3833.856,589.8240000000001,0.0,0.0,552.96,774.144,3096.576,0.0,1036.8000000000002,2188.8,5990.4000000000015,0.0,7948.8,1267.2000000000003,0.0,0.0,4193.15,1290.2,967.65,2595.2831200688147,2599.0486898749286,2192.013350868653,0.0,815.3552288498712,2265.200151300076,1900.8694866076985,688.0009959329789,2.0,8.0,0.0,2.0,0.0,1.0,2302.860408685211,81.68060290999755,0.0,242.41061349138954,72.160558632734,3472.9565318738914,330.1029776995336,61.287228481721804,361.0124463801588,208.37610457450776,0.0,0.0,1.0,1384.9814620167233,368.1403277575753,0.0,103.2192,44.236799999999995,8.0,8.0,2.0,0.0,0.0,1.0,0.0,22885.100745003463,3108.1580107387567,1089.1769870919622,257.02536176027166,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
11,4018.1760000000004,405.504,0.0,0.0,626.6880000000001,700.416,3096.576,0.0,1843.2000000000005,1497.6000000000004,5875.200000000001,0.0,7488.000000000001,1728.0000000000005,0.0,0.0,5805.9,645.1,0.0,1492.9991017407713,1191.9171643661346,1169.2018651992155,55.51518098452215,1451.654053747978,2669.025709122109,2666.5991107313394,970.9587211417384,2.0,8.0,2.0,0.0,0.0,1.0,2324.5987143476314,53.708955494096244,0.0,283.24988392424206,0.0,5561.642564094467,275.9135998550847,76.1084129809563,474.19344905768054,235.5757192687206,0.0,0.0,1.0,1293.4831580012742,260.37165689380464,401.1449000750976,121.6512,25.8048,12.0,4.0,2.0,0.0,0.0,1.0,0.0,14027.464766755256,3835.577428091313,542.8599310752495,235.1527777760728,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
12,4091.9040000000005,331.776,0.0,0.0,847.8720000000001,847.872,2727.936,0.0,1382.4000000000005,2188.8000000000006,5644.800000000002,0.0,7948.800000000001,1267.2000000000003,0.0,0.0,6451.0,0.0,0.0,2618.5475174593753,4537.876324916928,2287.576716763805,0.0,631.9183227120957,2006.7251011220426,2795.3776174639593,883.7700808659538,6.0,4.0,2.0,0.0,1.0,0.0,2069.848548815503,0.0,0.0,321.6743983781065,0.0,7084.2893285245245,0.0,0.0,676.2254365565839,0.0,0.0,1.0,0.0,1807.2529270318546,0.0,0.0,145.6128,1.8432,12.0,4.0,2.0,0.0,0.0,1.0,0.0,17125.356356222102,301.3951234517529,0.0,318.95418428476756,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
13,4018.1760000000004,405.504,0.0,0.0,958.464,700.4159999999999,2764.8,0.0,1728.0000000000005,1382.4000000000003,6105.600000000001,0.0,8179.200000000002,1036.8000000000002,0.0,0.0,5483.349999999999,967.65,0.0,2009.5014263286157,2409.351340177617,1840.6200571044155,0.0,771.9122065580891,2603.9112770534607,4820.264112124416,655.6152740564132,4.0,6.0,2.0,0.0,0.0,1.0,1358.3573540519653,0.0,0.0,231.68681713330238,0.0,2367.284277709608,40.743372010865066,0.0,365.6575834778672,157.44428883390376,0.0,0.0,1.0,2194.5207183660295,192.06595778873572,0.0,140.0832,7.3728,8.0,8.0,2.0,0.0,0.0,1.0,0.0,20892.332817204442,2290.6554673668034,0.0,231.48827539284116,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
14,4386.816000000001,36.864000000000004,0.0,0.0,1400.832,1253.376,1769.472,0.0,3225.6000000000013,2649.600000000001,3340.8000000000006,0.0,9216.000000000002,0.0,0.0,0.0,5805.9,645.1,0.0,2690.89216046793,3107.832525085461,310.45411673509386,0.0,1216.9896716792746,3080.7631082865073,1353.6720720657136,522.5176905058371,6.0,6.0,0.0,0.0,0.0,1.0,1377.3980574112093,0.0,0.0,162.0134024380642,51.82795869048856,4022.4245119408097,0.0,0.0,188.3090641879554,185.29630247142552,185.27876315174043,0.0,1.0,1619.0736829561467,757.5164063618814,0.0,134.5536,12.9024,12.0,4.0,2.0,0.0,0.0,1.0,0.0,16622.080961878502,1054.2748397780397,0.0,224.62972121483614,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
15,4423.68,0.0,0.0,0.0,2248.7039999999997,1658.88,516.096,0.0,5184.000000000001,3571.2000000000007,460.8000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6128.450000000001,322.55,0.0,3544.9826285359177,1131.137344842623,113.26804067210988,0.0,3219.049771578675,3187.6826769784007,451.2679761127963,0.0,8.0,4.0,0.0,0.0,1.0,0.0,2710.1949331837905,0.0,0.0,355.17439110134103,0.0,5102.662173022278,91.0789505161925,0.0,497.9700781597165,0.0,0.0,0.0,1.0,2452.332470595017,0.0,0.0,140.0832,7.3728,16.0,0.0,2.0,0.0,0.0,1.0,0.0,13982.6169553119,797.5444453271032,0.0,267.0215099306911,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
16,3760.128,442.36800000000005,221.184,0.0,626.688,663.552,2691.072,442.368,1728.0000000000005,1267.2000000000003,5414.4000000000015,806.4000000000001,7718.4000000000015,576.0000000000001,921.6000000000001,0.0,1612.75,1935.3,2902.95,1294.2579496823582,1869.301860581493,1083.8112068121109,433.30070294080497,964.2637912489645,3071.4448580209746,2163.3664256722027,796.3897570591546,0.0,8.0,2.0,2.0,0.0,1.0,1627.43194982011,523.8022692575115,16.132310632769517,0.0,278.1343437800041,3125.85637814295,917.7146099743375,0.0,218.85297103916002,115.02441732425768,264.36080724236365,0.0,1.0,936.7381166705968,850.6045576002214,418.86375568704085,79.2576,68.19839999999999,8.0,8.0,2.0,0.0,0.0,1.0,0.0,9347.25518232727,12420.408305290017,3129.5674980618987,255.23674429403303,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
17,4386.816000000001,36.864000000000004,0.0,0.0,1253.376,1400.832,1769.472,0.0,2764.8000000000006,2995.2000000000007,3456.000000000001,0.0,8985.600000000002,230.40000000000003,0.0,0.0,5805.9,645.1,0.0,3271.0478574628155,1575.3916275974025,801.5669309668441,0.0,1685.6399421864353,3447.4826559951366,1299.368379147434,292.41672900168396,6.0,4.0,2.0,0.0,1.0,0.0,1505.8410042773273,0.0,0.0,292.1893237294612,97.04963964782364,2899.6673422653257,80.76356607762989,0.0,650.6539390142792,0.0,0.0,0.0,1.0,1934.6559005845907,219.4659232082821,0.0,132.7104,14.7456,0.0,16.0,0.0,2.0,0.0,1.0,0.0,21238.830866965567,2978.1097377143305,0.0,434.9762402326099,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
18,4386.816000000001,36.864000000000004,0.0,0.0,1622.016,1658.88,1142.784,0.0,2419.2000000000007,4032.000000000001,2764.8000000000006,0.0,9100.800000000001,115.20000000000002,0.0,0.0,6128.450000000001,322.55,0.0,4423.738332315686,1962.9311178644266,367.7152276523772,0.0,1045.9185428644635,3356.8889272546553,718.5284646696884,506.3084657528727,6.0,6.0,0.0,0.0,0.0,1.0,2750.7817654398827,29.435973735118658,0.0,236.46161105354915,0.0,3451.032798504848,0.0,0.0,472.74411332337905,0.0,0.0,1.0,0.0,1769.138198414831,0.0,0.0,136.39679999999998,11.0592,12.0,4.0,2.0,0.0,0.0,1.0,0.0,17387.873407214924,734.9708998379994,146.32677252356143,340.9322390221335,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
19,4055.04,368.64,0.0,0.0,1032.192,847.8720000000001,2543.616,0.0,2188.800000000001,1843.2000000000003,5184.000000000002,0.0,8755.2,460.80000000000007,0.0,0.0,6451.0,0.0,0.0,2902.599936849402,2604.564680999008,1552.880805779028,0.0,1147.0838062510745,2105.85051583848,1757.4279979435237,336.11925404252753,6.0,4.0,2.0,0.0,0.0,1.0,1405.8316467318216,0.0,0.0,257.96350638573506,0.0,3876.1254272593715,0.0,0.0,543.3538278598319,0.0,0.0,0.0,1.0,2472.8189433167972,0.0,0.0,141.9264,5.5296,8.0,8.0,2.0,0.0,0.0,1.0,0.0,17431.00471118532,224.05114460248018,0.0,262.486668331203,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
