dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a
0,2748.7830530449,72813.89774383488,121274.75692800002,16806.30053691084,30353.04283840589,40754.160398091604,210569.26355936524,8005.967637119871,1113.171595854852,13.33910489220319,0.0,18.788645239933857,49.71705063390843,0.0,0.0,4174.660418914743,16567.861843883133,0.0,679.92770747857,0.0,0.0,3.124890016037554,84.83036784473553,104.96447344493538,7.98442258299707,31.311426098349596,47.084778513113186,201.22753332850255,6.983024760530661,3.766213985010047,0.0069051309498988885,0.0,0.022316027918358083,0.2867734446340809,0.0,0.0,6.806115506783997,17.98306187813922,0.0,1.6148852446090218,0.0,0.0
1,0.0,23495.442737015648,46495.93083038316,0.0,0.0,1896.1829249065797,14709.224547885244,9228.776888382119,1732.2490665185323,0.0,19.14470659937813,0.0,0.0,59536.827424012736,0.0,850.1214763993405,9670.097850833068,0.0,486.16900907559955,0.0,0.0,0.0,18.37701376204961,30.91140540966071,0.0,0.0,1.9496305867716135,12.831158118485067,3.887789396141459,1.8363063665954644,0.0,0.036071382524245105,0.0,0.0,9.624948104134372,0.0,0.7440460037657766,12.259460261593919,0.0,0.5383310286142348,0.0,0.0
2,0.0,43992.6445440525,63445.27928418975,0.0,0.0,5339.019941615995,58121.87140907411,16049.341366699828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.57122195531936,51.346645130287506,0.0,0.0,5.226388026428897,48.85118977569047,9.723073654356872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,6866.904147936295,9823.46752939855,0.0,0.0,0.0,14256.679898040158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8922.602219667886,0.0,0.0,0.0,0.0,0.0,7.023527038332024,9.469667003387102,0.0,0.0,0.0,14.887200092858501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.758206525539194,0.0,0.0,0.0,0.0
4,0.0,50415.48822062802,63335.473855517455,0.0,3331.216230637053,8447.933676104765,102720.47480658711,0.0,0.0,0.0,0.0,0.0,0.0,63233.918274896605,249.9080315665368,1549.6528438698494,0.0,0.0,98.69702901175653,0.0,8841.680478928976,0.0,48.3353442375329,53.81474323944864,0.0,4.191536513698562,15.046999640377395,66.78270497832662,0.0,0.0,0.0,0.0,0.0,0.0,12.232788485977002,0.12003115656912065,2.554385508316091,0.0,0.0,0.13551566405857185,0.0,2.9112244523620463
5,776.4039511849227,66518.44664479782,92399.73860292038,0.0,0.0,12070.961319878661,141756.83554029785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11489.081107649996,0.0,0.0,0.0,0.0,0.8769051628451224,52.82923847749035,77.43532661603808,0.0,0.0,8.120646253979617,73.43915906453564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.840544208040466,0.0,0.0,0.0,0.0
6,0.0,12799.879640286084,17680.013096160175,0.0,0.0,3325.6515059726835,15945.445138649406,9417.138775270705,0.0,0.0,0.0,0.0,0.0,48597.19853013343,0.0,0.0,0.0,0.0,29.753439552041975,0.0,0.0,0.0,11.532537983340749,15.439204104867057,0.0,0.0,0.42975094600476466,25.26323082217261,4.4689089815714045,0.0,0.0,0.0,0.0,0.0,14.068236062560581,0.0,0.0,0.0,0.0,0.04232535611655759,0.0,0.0
7,1575.6903405269675,64947.75193946059,111323.78471143864,6409.082895337986,21295.755747933887,100130.06477385414,120069.34265344197,11346.142141416662,2306.4285466163847,0.0,0.0,40.32837747365125,27.35088341618833,49081.45343305764,63.7324046522076,2301.1572588897566,11444.233470174677,0.0,1902.6909982187603,0.0,0.0,1.4427891039398548,57.071125261698405,83.06725570096937,4.24341806641166,25.067245438043933,51.69606962391563,111.36265327260962,7.319066586775712,7.59512804079681,0.0,0.0,0.014012609269292835,0.10412361325891195,12.118557132481294,0.09822947026842148,3.8767365775914113,10.157640998209965,0.0,1.0767544239937454,0.0,0.0
8,0.0,55249.68648256169,75120.9022357126,0.0,0.0,32922.4041034778,121697.89025285043,21173.038576205523,3786.930281020528,0.0,0.0,0.0,0.0,40464.05480965444,0.0,384.84334831506266,9771.44201868856,0.0,63.14794487940115,0.0,0.0,0.0,63.23543774937308,60.689235286989856,0.0,0.0,19.933870151675496,60.9552731647195,6.814655992458498,1.371665286812448,0.0,0.0,0.0,0.0,14.176881373233769,0.0,0.337701422126386,8.087396414988161,0.0,0.06154219027766767,0.0,0.0
9,0.0,8689.088457418107,17471.275089693318,0.0,0.0,0.0,12425.476342349659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.9678172669313,9789.572409283044,0.0,0.0,0.0,0.0,0.0,19.14558371470268,8.91196323949719,0.0,0.0,0.0,10.330808452966613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8342554922506267,10.667018544604144,0.0,0.0,0.0,0.0
