cmp-loc-dir,B.10.71.002-1-1,B.10.71.002-1-2,B.10.71.002-2-1,B.10.71.002-2-2,B.10.71.002-3-1,B.10.71.002-3-2,B.10.71.002-4-1,B.10.71.002-4-2,B.10.71.012-1-1,B.10.71.012-1-2,B.10.71.012-2-1,B.10.71.012-2-2,B.10.71.012-3-1,B.10.71.012-3-2,B.10.71.012-4-1,B.10.71.012-4-2,B.20.11.102-1-1,B.20.11.102-1-2,B.20.11.102-2-1,B.20.11.102-2-2,B.20.11.102-3-1,B.20.11.102-3-2,B.20.11.102-4-1,B.20.11.102-4-2,B.20.11.121-1-1,B.20.11.121-1-2,B.20.11.121-2-1,B.20.11.121-2-2,B.20.11.121-3-1,B.20.11.121-3-2,B.20.11.121-4-1,B.20.11.121-4-2,B.30.11.012-5-1,C.10.11.001a-1-1,C.10.11.001a-1-2,C.10.11.001a-2-1,C.10.11.001a-2-2,C.10.11.001a-3-1,C.10.11.001a-3-2,C.10.11.001a-4-1,C.10.11.001a-4-2,C.10.11.011a-1-1,C.10.11.011a-1-2,C.10.11.011a-2-1,C.10.11.011a-2-2,C.10.11.011a-3-1,C.10.11.011a-3-2,C.10.11.011a-4-1,C.10.11.011a-4-2,C.20.11.001b-1-1,C.20.11.001b-1-2,C.20.11.001b-2-1,C.20.11.001b-2-2,C.20.11.001b-3-1,C.20.11.001b-3-2,D.10.14.021-1-1,D.20.21.013a-1-1,D.20.21.013a-2-1,D.20.21.013a-3-1,D.20.21.013a-4-1,D.20.21.013b-1-1,D.20.21.013b-2-1,D.20.21.013b-3-1,D.20.21.013b-4-1,D.20.21.023a-1-1,D.20.21.023a-2-1,D.20.21.023a-3-1,D.20.21.023a-4-1,D.20.21.023b-1-1,D.20.21.023b-2-1,D.20.21.023b-3-1,D.20.21.023b-4-1,D.20.31.013b-1-1,D.20.31.013b-2-1,D.20.31.013b-3-1,D.20.31.013b-4-1,D.30.31.013a-5-1,D.30.31.013b-5-1,D.30.41.011c-1-1,D.30.41.011c-1-2,D.30.41.011c-2-1,D.30.41.011c-2-2,D.30.41.011c-3-1,D.30.41.011c-3-2,D.30.41.011c-4-1,D.30.41.011c-4-2,D.30.41.032c-1-1,D.30.41.032c-2-1,D.30.41.032c-3-1,D.30.41.032c-4-1,D.30.41.102b-1-1,D.30.41.102b-2-1,D.30.41.102b-3-1,D.30.41.102b-4-1,D.30.41.103a-5-1,D.30.52.013a-5-2,D.30.52.013b-1-1,D.30.67.012a-1-1,D.30.67.012b-1-1,D.40.11.023a-1-1,D.40.11.023a-2-1,D.40.11.023a-3-1,D.40.11.023a-4-1,D.40.11.074a-1-1,D.40.11.074a-2-1,D.40.11.074a-3-1,D.40.11.074a-4-1,D.50.11.011a-1-1,D.50.12.013d-1-1,D.50.12.023a-1-1,D.50.12.023b-1-1,collapse-0-1,excessiveRID-1-1,excessiveRID-1-2,irreparable-0-1
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,748.7962070891929,748.7983186364219,748.7301777478293,748.7605240508493,748.7132312189143,748.8444269076057,748.7393173614116,748.724107221663,748.6901115367826,748.831411166107,748.7254420392148,748.7238716098797,748.7664895674345,748.7010283112432,748.695435794885,748.708051355593,2.0,2.0,2.0,2.0,2.0,2.0,1.0,529.2003955063326,529.2298398649789,529.0939968919525,529.1011277335923,74.88041843320285,74.8809903529373,74.87118512684584,74.8720198952765,1058.165488503647,1058.1952555592723,1058.2122453622449,1058.2295875126024,149.75785029817675,149.74671804858056,149.7504581743892,149.74696123249905,604.0607424615467,603.9963477680755,603.9652643367239,604.0611173053753,1.0,1.0,249.66482145261952,249.5643066492479,249.59475591619758,249.56417658236697,249.5849218220802,249.58342401532954,249.58186337375102,249.57160364166242,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,5291.087985398636,5291.305151752717,5291.82446507987,5290.848900001881,59.89461972710517,59.89587723356007,59.907122617846916,59.89768661099641,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.11425626577017,312.10480515998967,311.68467584923394,311.83128655571505,311.49889621344124,312.61364131982947,311.67049388366286,311.6130340677429,311.3324398629084,312.3403177878051,311.5317042934797,311.53584294936286,311.84461701628646,311.4011913756038,311.3767238668599,311.44912540828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.9797142157575,221.29651552458483,220.1475214170137,220.22027550939777,31.221080425798192,31.219592198013974,31.156030009985066,31.15203928486795,440.14972128570685,440.3285470477125,440.5250669853827,440.5639301370278,62.414395668249625,62.335264085218824,62.343746775743526,62.33534087926776,252.1599072039687,251.49418484561397,251.30899683371572,252.02038768329086,0.0,0.0,104.67692581532053,103.79507742158661,103.98387758133305,103.78784426972628,103.95489024939087,103.90385816505324,103.92024070497315,103.83828118264118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2202.291218149949,2204.112113571583,2208.271299779867,2200.579506730285,24.903074522952245,24.914172909975722,24.998974346026785,24.92189840096017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
log_std,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1.7763568394002505e-15,0.4000143072995727,0.4001813134956609,0.40011705959515637,0.3999510496752488,0.3998643095449798,0.400092469194193,0.39991094849716147,0.39992125052354993,0.3998366844931268,0.40001814760462356,0.3998750826640376,0.3998721565479734,0.3999937789604487,0.3998725736134178,0.39989569539023406,0.3999137564192802,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.4001117938460035,0.4000507434887934,0.3999514341645846,0.4001124675799194,0.40009189182920035,0.39996951440895473,0.4002406153694833,0.3999080582449806,0.3998767482620968,0.3999834276149008,0.4001393326373156,0.3999387817943427,0.40009097215865935,0.40004625415309114,0.399885430376848,0.399987454217381,0.40032914161695354,0.39993307027791936,0.39993405879339616,0.39999618385124613,0.0,0.0,0.4001905046558636,0.39995765755942114,0.39998143143295556,0.399885987711085,0.3999509700436174,0.3999185443201963,0.40002827872889385,0.39993397959828864,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.39998643440707793,0.39999656765837516,0.4000499328763922,0.3998444565260655,0.3998291516762832,0.3999580647711997,0.39999938613729247,0.39985793607622766,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0
min,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,154.40249492871283,126.56392234158868,127.62237028683992,162.0204714071627,165.24101674815785,149.0022346473094,166.3009644990886,161.74853384221583,156.7147273702809,164.89936394056946,160.98950415633237,161.82164148459216,155.92099684450437,163.45654791286879,158.45515707520957,159.6386000128764,2.0,2.0,2.0,2.0,2.0,2.0,1.0,109.38910003008827,118.03575273781021,112.54162760132557,87.62450845494787,13.934421865259077,16.60442824524881,10.763775573307127,15.743288045692,222.82887671541175,208.41662130814754,176.45642671801866,220.4254312368733,28.38314881790814,28.541456004410037,32.690681592143804,29.04313172484336,91.21632379838604,132.26590908077466,121.74596828029512,134.08227289260483,1.0,1.0,55.653529901732966,47.785130561448774,51.80249932104872,52.69294663020919,54.105979662329275,53.880533630551476,47.325388524022564,50.650562429298844,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1030.5078173684083,1119.6636371754387,1152.913540645156,1180.1072175681472,12.936812618161335,11.402303650334371,13.331506652900796,12.89391492158242,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
0.1%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,204.57453601475729,203.9928889586412,205.01392041764296,201.51279265456245,205.0569178714418,201.56262468841388,204.0200146337883,201.80710082634727,202.83858960740142,204.29313749842538,204.7749169362733,205.00007946603878,202.9012044333126,204.86987564209895,203.33312454343329,203.89916096932532,2.0,2.0,2.0,2.0,2.0,2.0,1.0,143.24919945258006,145.00038295523774,143.78603021913267,143.2869940044599,20.469877716470652,20.489528990726594,20.42338681050905,20.225167920598945,288.8210131722,287.5138407010404,288.2969487713842,283.8024547120644,40.40301386612657,40.17059248708685,40.52515125578191,40.406678453060046,162.14879559787298,164.99656191360313,162.6478544726326,162.58477407370395,1.0,1.0,68.19686710526204,67.36480633467676,68.15843656484455,67.76501981749117,67.82845987440606,68.12232540105617,68.1310914654094,67.05297006700047,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,1435.4284132337182,1419.847180674948,1431.7023954276794,1444.5054742929422,16.164473442782448,16.409607016192904,16.289526565615727,16.12601980574721,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
2.3%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,311.18496820833974,311.3561214059661,311.282026695802,311.4778784340952,311.5053373076753,311.2999153283289,311.41439650617,311.3442990333593,311.29440611522006,311.4344642500569,311.3927425931094,311.4176168118571,311.1756558403295,311.3093729023308,311.28138494707935,311.3694656015901,2.0,2.0,2.0,2.0,2.0,2.0,1.0,219.916909855501,220.16095807062274,220.00215131158348,220.08905872165744,31.120042508823207,31.143042826491715,31.13335664726951,31.14591308202762,440.37463522613274,440.2446738832379,439.96672611945445,440.0474686035316,62.23306088150074,62.27173431973674,62.23229059793568,62.31286341605,251.3167082386624,251.19117733247893,251.06049509945103,251.14018048686157,1.0,1.0,103.74091810413815,103.82059189115121,103.78540257112208,103.72228025069093,103.78165920243741,103.85652810446638,103.76253936201721,103.72903827214087,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2199.255077606466,2199.0778738514673,2200.8901064536403,2201.1394460632537,24.910481666747742,24.918157552635428,24.897014479243616,24.926458370824296,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
10%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,414.0085447045379,413.99602009101744,413.998867152425,414.12639822913326,414.091593808044,414.102581796858,414.0800778683346,414.0317194454241,414.04693206602525,414.0942042715903,414.0348966636613,414.03347283756335,413.9978467988452,414.1077504779857,414.0946619759962,414.1254514750137,2.0,2.0,2.0,2.0,2.0,2.0,1.0,292.58176365658534,292.65312639320354,292.5814110352193,292.6093225081721,41.39947853501274,41.40205504866549,41.41280442847843,41.40186692829286,585.1234374183191,585.3126690054439,585.1341110929367,585.2064098836763,82.80119949073995,82.81543123833363,82.82014421289192,82.80894770482648,334.062811795179,334.06655859576097,333.9742218658746,333.9860506760657,1.0,1.0,137.99376730667822,138.01835189535848,138.03957784741186,138.01081145060843,138.0053529079721,138.02942757095423,138.02458088220757,138.0163122691716,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2925.3972292831027,2925.5917450623983,2926.0212707279316,2926.179866206078,33.12462963343083,33.12429630625097,33.123177000417925,33.12867754128391,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
15.9%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,463.62095235568864,463.6600535440032,463.6376146736115,463.6030470085711,463.58818601237186,463.6100532924985,463.5872612270395,463.66682741286644,463.64013133577106,463.57643545552884,463.70767021971807,463.5836390514699,463.6583105966564,463.6759034148462,463.61149893976074,463.6239716696222,2.0,2.0,2.0,2.0,2.0,2.0,1.0,327.6421442092422,327.6041780765562,327.609541500363,327.62008011139596,46.36705898232577,46.36789262347926,46.36464695985099,46.36753443112323,655.2322873334107,655.2200834089574,655.3802115323626,655.3291444354275,92.72060580721133,92.72867983429536,92.71645583160971,92.73327515812407,374.0424459078744,374.0198890891208,374.0204860786574,374.0338398502089,1.0,1.0,154.52365363557442,154.55179093887313,154.5493238819586,154.52776257687083,154.5370631710322,154.53070049853085,154.5627076177715,154.53424632714786,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,3276.799615267269,3275.9110281939193,3276.0398967102883,3276.8417994044194,37.08792116305036,37.08956670338379,37.09402320919493,37.09569066036281,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
50%,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,552.96,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,1152.0,6451.0,691.212346958698,691.2209673648499,691.2075160597711,691.1699888894296,691.1905032083962,691.1899751289486,691.1918986482203,691.167385709783,691.239160583352,691.2325125564,691.1932231107949,691.1938598409436,691.1641516820996,691.1800819394617,691.1872546961924,691.1822930361066,2.0,2.0,2.0,2.0,2.0,2.0,1.0,488.46374049567214,488.4324316720197,488.4220574237934,488.4137671837741,69.11937342681466,69.11932194936475,69.12319449714937,69.11819262862434,976.8716466780501,976.8524948375818,976.8641936018056,976.8755495263201,138.23988137362898,138.24022545440124,138.24368952675414,138.2421149510491,557.6065929727963,557.5610931117453,557.5979791107811,557.5668663691914,1.0,1.0,230.40318486075154,230.40017381265227,230.4049699911935,230.4204929041934,230.4134602367942,230.38475739260178,230.4119444593312,230.39498046689175,36.864,36.864,36.864,36.864,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,4884.238177185407,4884.927054607251,4884.331461433649,4884.706710418066,55.297079870392125,55.29683824115665,55.30127083323835,55.296141407965095,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
