cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,excessiveRID-1,irreparable-0,irreparable-1
0,4202.496,221.18400000000003,0.0,0.0,1142.784,847.8720000000001,2433.0240000000003,0.0,2534.400000000001,1728.0000000000005,4953.600000000001,0.0,8870.400000000001,345.6,0.0,0.0,5483.349999999999,645.1,322.55,2016.7124133540417,2578.490914864911,746.6796887860788,0.0,1640.6108885737892,2399.3057468198576,1295.452901744461,278.36613797640723,2.0,10.0,0.0,0.0,1.0,0.0,2139.303248778456,0.0,0.0,138.35318262395685,69.37936825308779,5447.884856070972,0.0,0.0,487.9069876064823,0.0,0.0,0.0,1.0,1934.2082002709599,0.0,0.0,140.0832,7.3728,16.0,0.0,2.0,0.0,0.0,1.0,18699.82708779743,1279.099905314703,0.0,281.5613955278229,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
1,2506.752,1400.832,368.64,147.45600000000002,884.736,221.184,2727.936,589.8240000000001,1843.2000000000005,460.8000000000001,5990.4000000000015,921.6000000000003,4953.6,3340.8000000000006,921.6000000000001,0.0,3870.6,2257.85,322.55,1328.779828393707,621.2767158016263,2271.562504983618,1262.8491387152874,250.59884919687403,1074.2637177162164,3372.932175742556,1243.2385599381735,2.0,4.0,6.0,0.0,0.0,1.0,1418.7621331984672,16.05793565283423,0.0,266.1859656547588,61.94964318618572,4364.77880719199,181.38383909668084,0.0,540.6878403091255,167.45063023711356,0.0,0.0,1.0,1523.6647178898352,401.993255894698,0.0,108.7488,38.7072,8.0,8.0,2.0,0.0,0.0,1.0,7989.6482007946215,3954.747394401615,424.7752118872225,295.9595933520163,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
2,4055.04,368.64,0.0,0.0,1142.784,995.3280000000001,2285.568,0.0,2764.800000000001,1728.0000000000005,4723.200000000002,0.0,8755.2,460.80000000000007,0.0,0.0,4193.15,645.1,1612.75,2687.298859396722,2115.372354090162,773.9003513184526,0.0,1347.9361230915842,1747.8976438185941,1547.3612397524637,194.28804037496138,6.0,6.0,0.0,0.0,0.0,1.0,2026.7448771561471,109.27183732038064,0.0,266.21947475396286,0.0,6267.320177397374,62.2047097585168,0.0,629.1835774182044,87.46545340335933,0.0,0.0,1.0,1861.2294233883429,235.9397123411047,0.0,132.7104,14.7456,4.0,12.0,2.0,0.0,0.0,1.0,11306.494254986224,2665.681568048769,0.0,182.93312662239367,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3,4349.952,73.72800000000001,0.0,0.0,1769.472,1032.192,1622.016,0.0,3110.400000000001,3225.600000000001,2880.000000000001,0.0,9100.800000000001,115.20000000000002,0.0,0.0,6128.450000000001,322.55,0.0,2655.876204885259,2217.635028631782,247.98126403746832,0.0,1736.0403033388498,2052.343797655663,702.9584643036512,462.4110267986933,4.0,8.0,0.0,0.0,0.0,1.0,1650.2878671480748,9.661277146785412,0.0,352.2301098301887,0.0,3350.824297060328,0.0,0.0,541.3348251693542,0.0,0.0,0.0,1.0,2066.4442084336883,0.0,0.0,141.9264,5.5296,8.0,8.0,2.0,0.0,0.0,1.0,18801.70391333186,1039.4828895247772,0.0,310.39884588444863,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4,4423.68,0.0,0.0,0.0,1253.376,2027.5200000000002,1142.784,0.0,2880.0000000000005,4262.400000000001,2073.6000000000004,0.0,9216.000000000002,0.0,0.0,0.0,6128.450000000001,322.55,0.0,4603.869428481573,1569.343829401839,0.0,0.0,1325.8658190582967,4038.8889166704284,904.4760536195715,111.90004863022028,10.0,2.0,0.0,0.0,0.0,1.0,2381.5920924430015,0.0,0.0,241.12326825926044,0.0,4360.01213094734,0.0,0.0,658.1763016420058,0.0,0.0,1.0,0.0,1910.8188104590527,0.0,0.0,145.6128,1.8432,8.0,8.0,0.0,2.0,0.0,1.0,22100.16533205736,0.0,0.0,177.83278113520055,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
5,4423.68,0.0,0.0,0.0,1622.016,1880.064,921.6,0.0,2764.8000000000006,4723.200000000001,1728.0000000000005,0.0,9216.000000000002,0.0,0.0,0.0,6128.450000000001,322.55,0.0,4752.454636188807,1667.7743266685893,0.0,0.0,1206.0963592831456,3113.905005613603,200.5061605485683,0.0,8.0,4.0,0.0,0.0,0.0,1.0,2010.2018860256244,0.0,0.0,298.7837162051187,0.0,4386.351084043262,81.22650383226053,0.0,646.7895173852968,0.0,0.0,0.0,1.0,1711.1614175564675,0.0,0.0,141.9264,5.5296,4.0,12.0,2.0,0.0,0.0,1.0,22553.560150051606,402.43510091154155,0.0,347.86552286040177,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
6,4349.952,73.72800000000001,0.0,0.0,1769.4720000000002,1437.6960000000001,1216.5120000000002,0.0,2649.6000000000004,3456.000000000001,3110.400000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4728.366267292211,1696.0532020130356,123.33958866349008,0.0,1726.0422720297315,3257.338363336149,503.7017383457089,192.1473876656458,6.0,6.0,0.0,0.0,1.0,0.0,1505.138749915451,49.949028228295056,0.0,426.97271505508684,0.0,2619.305493259783,26.59649841840827,0.0,564.6601644117945,0.0,0.0,0.0,1.0,1530.0469159203906,262.9034855468462,0.0,136.39679999999998,11.0592,12.0,4.0,2.0,0.0,0.0,1.0,19861.819210176687,1078.978442504349,800.6754710568779,235.04372312774962,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
7,4128.768,294.91200000000003,0.0,0.0,1069.056,1142.784,2211.84,0.0,2880.000000000001,1382.4000000000003,4953.600000000001,0.0,8524.800000000001,691.2000000000002,0.0,0.0,2257.85,1612.75,2580.4,2587.5074670414833,1786.6664109340043,1014.8399839701742,0.0,885.5292321795117,2308.9765995140438,1706.690472122383,655.9405897335768,4.0,6.0,2.0,0.0,0.0,1.0,1581.8513538090617,196.2583929857374,0.0,47.240178510259355,299.8306371085081,3115.771639813816,525.1061932979161,0.0,232.32912562310182,197.09090870167137,254.34891412485038,0.0,1.0,1673.6517771111871,224.41809704901894,184.71867813930737,81.10079999999999,66.3552,8.0,8.0,2.0,0.0,0.0,1.0,13190.913751194144,10174.418159872996,1330.2103623280777,201.81683562516804,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
8,3244.032,1069.056,110.592,0.0,811.008,552.96,2949.12,110.592,1612.8000000000002,1152.0000000000002,6336.000000000002,115.20000000000003,6796.800000000001,2188.8,230.40000000000003,0.0,6451.0,0.0,0.0,1687.3207069834505,1598.3440504984812,1892.2506237458085,174.6691987872467,976.6168621334346,1206.1983414454783,2436.3239026396327,1023.5145503560477,2.0,6.0,2.0,2.0,0.0,1.0,1680.115810578719,0.0,0.0,272.1267005948423,0.0,4179.5618628786,0.0,0.0,497.93910422366775,0.0,0.0,1.0,0.0,2084.9935048860816,0.0,0.0,141.9264,5.5296,16.0,0.0,0.0,2.0,0.0,1.0,14000.68596133041,619.0623904181778,0.0,185.6412137929796,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
9,4018.1760000000004,405.504,0.0,0.0,847.8720000000001,811.008,2764.8,0.0,2073.6000000000004,1728.0000000000005,5414.4000000000015,0.0,8179.200000000001,1036.8000000000002,0.0,0.0,2902.95,967.65,2580.4,2602.6354057202525,1891.0854663184023,2075.304073309413,0.0,916.8371441496366,2106.5981827682976,2930.1049482022077,1089.774986800882,2.0,4.0,6.0,0.0,0.0,1.0,2093.911575713441,125.27212617824296,0.0,153.43565032642158,109.51451231089527,3540.457381901423,462.71014963060804,0.0,184.2510437001955,154.88964142270618,290.5538141266298,0.0,1.0,444.4061549688072,1026.4384657555624,211.86883560287126,92.16,55.296,4.0,12.0,2.0,0.0,0.0,1.0,10592.731331208672,5246.094042051276,910.4341110522545,220.98169193199035,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
