cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,excessiveRID-1,irreparable-0,irreparable-1
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,4169.6428032,222.4594944,22.627123200000003,8.9505792,1573.2080640000001,1271.7416448,1543.9306752,34.799616,3277.7856000000006,2650.8211200000005,3215.784960000001,71.60832000000002,8687.13984,463.4496,46.97856000000001,18.432,5097.90275,645.48706,707.61019,3743.6356151978703,1503.302743312008,651.4609021155471,91.82539761945492,1832.1082920180068,2682.2721622509075,1180.0903975270699,295.52958144731883,6.0348,4.9532,0.8052,0.2068,0.2316,0.7684,2021.7980158761427,88.43340461993742,6.240558160438836,250.71787794929185,48.79708069808416,4038.443933549344,181.23330144314147,13.401787415696177,500.47983061384326,69.51856417715999,29.01367393939878,0.23,0.77,1662.8586312214259,240.59236511897942,93.19617312605925,123.45569279999998,24.000307199999998,10.148,5.852,1.8196,0.124,0.0564,1.0,17701.318393734047,2922.584348112095,540.5154359198559,238.62202174484665,0.5532853515725661,0.43029968573808786,0.7392,0.2608,1.996,0.004,1.0,1.991,0.009,0.992,0.008
std,405.59577010869737,317.490946601513,91.05833234944551,63.174566429635604,712.782190148145,469.14127556821666,915.6863477249116,152.02038328877217,1497.5946421188419,999.4603669495688,1917.7730096852274,313.13833392609797,850.2840985731957,668.930348420557,189.350378160352,134.55600924494152,1634.3487812880448,691.8316793108394,1193.2335477208749,1383.557749841218,767.3363011248729,765.6897210687896,314.1120306017979,928.6912977872493,796.6499637080823,930.8716561007822,267.89271205482777,3.335897870577063,2.82775688520077,1.3795773290110795,0.7492302911694383,0.4218969535418353,0.4218969535418353,465.54742348101587,167.59273180982208,30.44645528023517,92.06202965058628,76.70219778438478,934.9720060238311,349.7050575514246,67.6026524563521,186.13901633752403,119.75437658542235,86.14595654964339,0.42087459781438114,0.42087459781438114,510.0611598271507,322.66189493737363,231.05873667288003,27.35722479202882,27.357224792028823,4.389208246347621,4.389208246347621,0.5729934592129827,0.48235934126626107,0.33112077584114036,0.0,5455.4897330459735,3100.68793685488,1344.7917662591944,50.31543090384533,6.100010816529693,5.63628719110818,0.43911493300146026,0.4391149330014603,0.08936216827843808,0.08936216827843808,0.0,0.10450446993716282,0.10450446993716282,0.08909313956474707,0.08909313956474707
log_std,0.11318797369537556,,,,0.4468816596019182,,,,0.4579331706477716,,,,0.11397372135552752,,,,,,,0.406477657229655,,,,0.5269679595890999,0.32574157571039786,,,,,,,,,0.24154689654683273,,,,,0.2395751415380511,,,,,,,,,,,0.32161786462308717,,,,,,,0.0,0.3843200030330228,,,0.21101699633895837,,,,,,,0.0,,,,
min,1474.5600000000002,0.0,0.0,0.0,110.59200000000001,0.0,0.0,0.0,115.20000000000003,0.0,0.0,0.0,2880.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,631.8181486492795,0.0,0.0,0.0,98.22196907124655,111.44683611772561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.1213617698538,0.0,0.0,0.0,0.0,775.6563560057133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,541.3096930041548,0.0,0.0,49.20276037576357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1%,1953.7920000000001,0.0,0.0,0.0,294.912,147.45600000000002,0.0,0.0,460.8000000000001,345.48480000000006,0.0,0.0,4147.200000000001,0.0,0.0,0.0,0.0,0.0,0.0,805.5299477683864,0.0,0.0,0.0,228.06842082262727,632.855769125077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.8288262439648,0.0,0.0,0.0,0.0,1300.6275376052836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.057356799999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1400.5195284151828,0.0,0.0,112.4220235426498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9989999999999997,0.0,0.0,0.0
2.3%,2912.2560000000003,0.0,0.0,0.0,589.8240000000001,442.368,0.0,0.0,1152.0000000000005,806.4000000000002,0.0,0.0,5990.4000000000015,0.0,0.0,0.0,645.1,0.0,0.0,1381.7514677143693,73.70683074021689,0.0,0.0,503.5925769625724,1157.782257464465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1185.7250846667,0.0,0.0,47.954049918721374,0.0,2413.2610100476527,0.0,0.0,87.81373016460977,0.0,0.0,0.0,0.0,418.30205185424245,0.0,0.0,47.923199999999994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6063.537523928809,0.0,0.0,152.05568467191867,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
10%,3612.6720000000005,0.0,0.0,0.0,811.008,626.6880000000001,221.18400000000003,0.0,1728.0000000000005,1370.880000000004,460.8000000000001,0.0,7603.200000000001,0.0,0.0,0.0,2257.85,0.0,0.0,1967.748348691169,456.46227422821937,0.0,0.0,819.3704375821474,1670.7153339818708,106.62692256002047,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1478.9283590745483,0.0,0.0,124.2730602682887,0.0,2921.667227436046,0.0,0.0,246.9743500860178,0.0,0.0,0.0,0.0,954.7335612209142,0.0,0.0,81.10079999999999,0.0,4.0,0.0,2.0,0.0,0.0,1.0,10821.382117620398,0.0,0.0,179.57799727489157,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
15.9%,3870.7200000000003,0.0,0.0,0.0,921.6,774.144,442.368,0.0,1843.2000000000007,1612.8000000000004,921.6000000000001,0.0,8064.000000000001,0.0,0.0,0.0,3225.5,0.0,0.0,2263.2011190063217,676.3553884245092,0.0,0.0,957.6835883742187,1889.2015282969328,220.832731122089,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1575.8434997123975,0.0,0.0,160.9375725529642,0.0,3152.2390135686665,0.0,0.0,323.5522891414659,0.0,0.0,0.0,0.0,1155.0292603909008,0.0,0.0,97.6896,1.8432,4.0,0.0,2.0,0.0,0.0,1.0,12563.54889996674,208.71718692620144,0.0,190.6471611874156,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
50%,4349.952,73.72800000000001,0.0,0.0,1400.832,1253.376,1585.152,0.0,2880.000000000001,2649.6000000000004,3340.8000000000006,0.0,9100.800000000001,115.20000000000002,0.0,0.0,5805.9,322.55,0.0,3664.1306811120094,1506.8154769001744,331.2723913262182,0.0,1653.3627341140852,2656.1675102330655,999.890065946264,233.05394535744324,6.0,4.0,0.0,0.0,0.0,1.0,1986.6632945058032,19.909439279697374,0.0,258.0664222356073,0.0,3965.1779531964467,38.88889996094732,0.0,514.6092298198919,0.0,0.0,0.0,1.0,1729.2893556659924,92.48269564308734,0.0,134.5536,12.9024,12.0,4.0,2.0,0.0,0.0,1.0,17770.854059995443,1792.1435542684806,0.0,232.81621748849295,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
