dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,COST-replacement-irreparable,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b,TIME-replacement-irreparable
0,4314.058445952051,72982.42974214122,116879.94070977236,14657.806898680068,25716.043213921937,70674.96346424524,157022.27574984924,10822.12513498293,0.0,0.0,68.2147518062087,0.0,0.0,73008.03327566078,0.0,1822.798392048667,0.0,0.0,998.9478507471141,0.0,5769.99065742552,0.0,0.0,3.8775388017115326,77.96429234498402,95.81108101602652,10.641287578822674,19.54049670626918,66.58324665445076,121.91609174818004,9.428164231337963,0.0,0.0,0.029437435518485842,0.0,0.0,18.126632199990485,0.0,2.891933943149485,0.0,0.0,0.8018170016116712,0.0,2.314129041735376,0.0,0.0
1,35296.365396171,83451.90595358734,143881.3880444762,202862.27964038,27967.866579520803,184029.72386275904,245078.5181145962,37477.682363859145,186.72198883996666,3.773484043270935,52.00195922720593,80.32970392178117,368.29294692272737,60868.26331409434,481.31306368679935,10402.703786286635,18285.446538022497,0.0,3841.18633848121,0.0,0.0,0.0,0.0,46.14018004251899,104.0436158281075,102.1370770359673,204.54230788933378,47.317139582302374,163.38621121245887,189.91052151702462,40.461156452317184,3.231779433248436,0.001314492667976435,0.04694495356268892,0.24277445417698248,0.1818735284825637,12.16470807140422,0.26573952489930464,8.288188616765284,25.676313495803555,0.0,2.9682882233592216,0.0,0.0,0.0,0.0
2,7911.451682639911,70188.8635183865,94803.64318609728,20577.70639474001,58622.04311471412,54526.1565302822,136648.61737217836,10052.209960364762,823.1913544139802,28.621580050658828,0.0,89.6759035608569,80.61907543312559,55470.96318037271,241.59121365028244,4590.4183452920315,28220.73501161017,0.0,1004.5023755495699,0.0,0.0,0.0,0.0,3.6218296396527023,60.63426798116624,83.718873201816,12.80662201081384,101.77174211579216,62.895310913525314,94.32156258756952,9.31850164066584,1.0913077152565014,0.08571058802882851,0.0,0.06084439021787732,0.03030481370505963,11.118350351993502,0.17650974996176821,5.917483614979,35.61528648922704,0.0,1.3344512239986024,0.0,0.0,0.0,0.0
3,1759.7313996631606,49446.85362410502,96474.54082584917,7012.549230243931,8043.394891454629,54294.56739553759,152056.6312100846,22036.62976190083,2556.705254890749,3.662039998020347,0.0,0.0,0.0,46982.24801515924,0.0,1818.991150812702,18822.081802912006,0.0,292.41250322578384,0.0,0.0,0.0,0.0,1.21677728778957,75.1791166975707,62.99976486514974,5.65989889363423,2.9519879978462638,47.75867124068371,193.6137336511498,6.835845062783882,0.20447670021262637,0.0006607113420161751,0.0,0.0,0.0,14.893198954180937,0.0,1.7464086165332948,19.424736551752005,0.0,0.1610166605015869,0.0,0.0,0.0,0.0
4,0.0,72705.69558043615,95227.53163891865,0.0,3922.661788351597,22260.850441219798,125914.93083420294,8947.555298999841,785.464611672527,0.0,0.0,0.0,0.0,0.0,0.0,924.0318718648113,22098.42562280719,2283.3977167138946,0.0,0.0,0.0,0.0,0.0,0.0,69.71052004657288,85.89279557554102,0.0,4.855560898367624,15.668622530789891,91.32216132709317,9.800685984885938,0.4446790353790876,0.0,0.0,0.0,0.0,0.0,0.0,0.6930706013431596,29.770306454382148,0.4962004768645139,0.0,0.0,0.0,0.0,0.0
5,0.0,61989.5953010847,91027.58203690787,0.0,9308.208364391605,27983.533699279174,60591.921593930056,10037.609146031918,1322.0800639903875,0.0,0.0,52.638307888329706,0.0,64127.117104346864,0.0,2247.065832655889,30605.83685649331,0.0,132.75337192752693,0.0,0.0,0.0,0.0,0.0,53.84058951869346,82.63285882601559,0.0,4.178081538841451,29.70205276472599,35.91292017065662,11.908396201509014,5.970592876384415,0.0,0.0,0.02826209816741181,0.0,14.346557321363699,0.0,1.5779645599559646,32.8957744369565,0.0,0.1459714399006274,0.0,0.0,0.0,0.0
6,1535.3834136932455,66451.46549767572,120847.15558258827,0.0,0.0,61756.17978827803,146966.6428048578,12961.359791375795,0.0,110.7943210822673,0.0,12.718032945129861,0.0,51437.086367796925,215.13724955272951,3490.278358784763,11136.087343606589,0.0,3287.959297402572,0.0,0.0,0.0,0.0,1.6349892222135576,60.09005988679331,80.68052923138104,0.0,0.0,25.091798213172254,118.14622320433305,13.783008554267855,0.0,0.01226241790274907,0.0,0.0064911870962491985,0.0,15.46510956981235,0.22124117397022053,4.145693849853664,9.938013387434472,0.0,1.905993238881172,0.0,0.0,0.0,0.0
7,7582.881856139724,78729.78416209552,103110.40670007374,33503.90963535208,58278.47042811156,88755.90921721386,231140.434288483,59791.84275638428,1790.14031359984,186.72038198691016,108.91918374597671,770.8009077124093,609.0005090602253,52160.78632453564,1363.6887120462652,16901.70501957201,19414.08489273578,0.0,7978.673803505753,0.0,0.0,0.0,0.0,3.6497867856664628,75.65657396674465,82.75198756210274,20.682471493925057,93.30183278032456,58.617991388211216,141.20287523826605,26.971700080250947,1.6169840827870883,0.06905611026792054,0.15465147007199645,0.5091774220890114,0.24715797541078272,10.358644183591831,0.9719664778066317,14.236476638550911,20.281505129402504,0.0,7.758340288235139,0.0,0.0,0.0,0.0
8,17822.470550250913,83632.53430307518,146548.7232311872,132140.9028586616,0.0,107415.83671425327,215081.50701448918,109944.2144467682,779.9485211753398,0.0,0.0,0.0,0.0,0.0,0.0,1954.2642752667641,0.0,2197.917659167034,508.9132588539641,0.0,8048.802822194767,0.0,0.0,17.06411140341836,90.36940064274144,129.64986441530056,126.24744660552052,0.0,118.647991344977,191.8495164340654,147.69516238388877,2.4476925447868534,0.0,0.0,0.0,0.0,0.0,0.0,2.2843543262171107,0.0,1.1207074789864009,0.535669194631229,0.0,3.633973756849595,0.0,0.0
9,7360.215669505706,84314.90949158429,120801.49327589897,48984.040936287034,62169.19944585353,136486.1584805076,250662.31525735313,61272.492427884055,3210.4812911324443,43.330909000530696,52.096675300861875,255.5765214377632,224.86631300315844,59378.45616338783,2324.0365171393787,12286.6513837299,29141.076654088953,0.0,4355.593431519905,0.0,0.0,0.0,0.0,9.267158602089326,103.36458633203583,96.66324832737133,39.84408498125843,94.0022888314549,89.69597509117524,178.7025689161954,44.67615124262481,0.5531641585617199,0.07057906988519508,0.12342656985080955,1.0053846400243045,0.703400534390832,21.53848431073102,1.8048581960163737,18.039681515276964,36.7399560235533,0.0,2.5636957377505714,0.0,0.0,0.0,0.0
