dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,COST-replacement-irreparable,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b,TIME-replacement-irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,4433.927672936031,63735.75038861349,97352.98089570826,24189.538551975893,26206.41487365079,59074.19569257141,149495.54803475048,25750.283685614042,1712.7439250621435,54.87416985746126,23.919083808056225,242.43352602918367,83.03653563935194,39401.39411867857,805.8950267756278,6747.173691536155,14075.149267679513,1881.043311335769,2836.930606640895,5.74002024840924,2178.935759405036,39.28780550712774,57065.43355559306,4.384732239623694,63.787565305643234,78.61035198052684,19.51758804302976,29.881227679401672,47.642587736265895,119.12500840583705,20.44225927079605,1.6724050575227505,0.060717798928118474,0.026229859052434846,0.2660155538563633,0.09058537119180679,11.407959532194283,0.4999896662600976,7.958894633597958,17.028146035796283,0.5616148481226357,1.9821813409514888,0.004279347119126297,0.7123528808857711,0.011140883893660653,5.840384879319733
std,7114.012609211532,21705.785801220605,33706.816271865755,42161.74680842675,34164.66420651937,51881.59042506258,68333.09474940586,28266.15291901049,2139.351914866786,156.75826039015598,43.36123776006224,730.280953348573,155.590753878939,23380.3182018263,1652.1630656478508,7289.400995567731,10624.490610521216,10424.11603502927,4826.141396035936,56.01171670646913,3787.3057424402145,898.457577803527,635517.329514758,7.147711205441893,22.825988833294296,28.43451011227198,34.25635329249727,40.59303255486864,42.49578139482392,56.01612299637632,23.028464646541803,2.2201766976783337,0.17678144880976257,0.04874203813395951,0.8145920252673273,0.1752698754899809,7.568190561604137,0.8483941714562806,8.79836232400461,13.343272489606187,3.1374368722432484,2.497070639177253,0.045576625295850604,1.2860362969961816,0.2565738679275812,65.0422846478883
log_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,16059.456618190978,25151.306689204815,0.0,0.0,683.425867507351,23472.002497930804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.304278218755998,19.127409423470944,0.0,0.0,0.28501147381935527,17.476431745916546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,36065.01728034093,53414.389250684886,0.0,0.0,8908.352145499153,53348.21926920776,3667.068088507813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.96525367738939,42.46545938864961,0.0,0.0,7.029974985567279,40.796654792392346,2.629615815812066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.9%,0.0,42870.70938510277,64342.41493101562,0.0,0.0,12770.352732510486,72961.75141549115,7735.5399681264835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.2112415582488,0.0,0.0,58.641337747623304,0.0,0.0,0.0,0.0,0.0,42.06955837720104,51.19400210633536,0.0,0.0,10.419546767398643,56.73280522983205,5.939855391914125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6034773514200669,0.0,0.0,0.07144429355698173,0.0,0.0,0.0,0.0
50%,1352.759774666567,64643.53629797068,99782.62422620517,7775.616324100445,11646.23523189604,46005.6677187296,152808.6771268082,16117.640356745917,1157.4851229872402,4.488187294657718,0.0,20.872789804041005,0.0,47359.82880466858,96.91606606435639,4281.353795292338,11599.665554443873,0.0,962.8253979983931,0.0,0.0,0.0,0.0,1.2859146687085858,63.86648215146889,79.45215866633237,6.012794562135715,12.287217072301,37.20589273573748,120.11035087217306,12.836276626899899,1.085300905279098,0.004412941560141187,0.0,0.0233753951318638,0.0,12.62366614905649,0.12029621693366346,5.00685683695909,15.42417681470037,0.0,0.993653061414884,0.0,0.0,0.0,0.0
