type-loc-dir,ONE-0-1,PFA-0-1,PFA-0-2,PFA-1-1,PFA-1-2,PFA-2-1,PFA-2-2,PFA-3-1,PFA-3-2,PFA-4-1,PFA-4-2,PID-1-1,PID-1-2,PID-2-1,PID-2-2,PID-3-1,PID-3-2,PID-4-1,PID-4-2,RID-1-1,RID-1-2,SA-0-1
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,1.0,310.17533049704724,308.52412002249304,386.17163253301436,426.40616282397696,411.7480625614862,419.3953576241148,407.1991249139134,416.23809026822045,428.0001972582523,448.1350385568887,0.04994996677870839,0.026320267822454634,0.011807834379521721,0.015524912619290359,0.007728902872018807,0.008768304110786293,0.0022981032655447864,0.0032146565013368234,0.05192138490761763,0.024862298616105828,1.6999999999999988
std,0.0,106.15019770333923,114.08804694115865,156.07651907212266,186.37565638451372,185.13997597283483,177.91620971404757,203.12105271295468,202.98981400390997,193.05526981203477,200.67822844322214,0.07617613657855216,0.025373916959649724,0.005136226071615306,0.009454788075751026,0.0031893459321976963,0.003757051488878307,0.0008877313452034654,0.0014321490424925175,0.12197513080177075,0.037405527947395774,8.68596390454297e-16
log_std,0.0,0.3329730135111825,0.35764443115958794,0.3880392659700037,0.41373104667857025,0.42736688163732045,0.4080308517317027,0.47073499990964196,0.4539127361138402,0.429780929496515,0.4238202573002726,1.0806790858552624,0.7963498905227165,0.4229628086621781,0.5531962706258514,0.40135143555673736,0.40405847233413583,0.3781387563384178,0.4234064040448027,1.3645482690569966,1.0868424587215626,4.790248909887872e-16
min,1.0,87.70674545312215,61.66287531448755,70.39693455570796,63.73437117490522,60.83040599285442,54.68954084686681,47.89716681325678,52.39563540166771,65.3222930633478,63.22081161785801,6.773710003605735e-05,0.0011188254468529036,0.0013104426810022374,0.001584278142354012,0.001355893006067052,0.0016547352805711094,0.0004020064190086947,0.0005658749667469055,1.0651572134362565e-05,0.00024196993468858516,1.6999999999999962
0.1%,1.0,106.1248276409661,89.31618907306705,94.45929526535708,106.93991659591921,90.65279787488194,103.66817043804853,73.30654434084414,84.81387603319524,90.39159977315589,104.64944207300064,0.0011147185886735216,0.0017575907536915216,0.002964463331197255,0.0026116057304846015,0.0021159611517534782,0.002399861439036285,0.0006511568476268751,0.0008325777815948958,0.00025580875419347303,0.00045656855905508984,1.6999999999999968
2.3%,1.0,151.1376799588758,144.29091011141324,164.16276183469353,172.3500653828418,162.3304309860218,168.85188727212258,144.21579038900165,152.33498410744093,167.7900340476289,174.26034300858677,0.0031693214320580847,0.0038577955655712385,0.004695276891364472,0.004414344440329851,0.0031764246163847164,0.0035888903976374806,0.0009808424930135636,0.0012630336074056895,0.001342351202635013,0.0016263324065716486,1.6999999999999977
10%,1.0,191.51627518115322,180.36852289666226,219.0909139186992,231.14363619652616,220.35282917041135,230.33766563751294,201.67577498822152,211.2037538603503,228.12178858393423,238.31524086147422,0.007129105987687563,0.006880023133120105,0.006267116475247043,0.006566002943265355,0.0042864673002303835,0.004865871013600222,0.0013178860900953902,0.0017211291675524251,0.0036909204477641763,0.003421239711815096,1.6999999999999982
15.9%,1.0,210.42060961633652,200.8356665308262,244.35183422588614,262.4517942530942,245.43779809844287,259.2681829469666,227.15647391444256,239.58934557663187,253.2189935914667,269.5931729847104,0.00950122810599261,0.00868429240848796,0.007061836120265075,0.00761844507945265,0.004794004114359591,0.005422258736771602,0.001472060693533251,0.0019387790386093133,0.005285161436183152,0.004678854776408247,1.6999999999999982
50%,1.0,293.4383140499408,290.18533658097374,356.49884659071023,391.0799959353427,374.82225302784514,387.54481228060405,363.81474295853207,374.964625815581,391.2353402755799,409.16798761192854,0.028093969531871314,0.019084786887235416,0.010850721289420471,0.013314662911519996,0.00712580419184851,0.008037365129786245,0.002146750210692272,0.002924222373657085,0.020879984532774253,0.013739271801977678,1.699999999999999
84.1%,1.0,409.17203778998635,411.5797687286596,529.2419469366503,593.6821558255864,572.6700990062344,581.4872539782997,583.8518628906064,580.7023565553703,597.8967051921638,622.0025882065158,0.08273960842696332,0.04177835363347599,0.016491015859745217,0.023056048177075232,0.010738795240018311,0.01213277629105092,0.0031162799209248234,0.0044808937576578944,0.0813123337022568,0.03952428180273022,1.7
90%,1.0,449.676200965246,454.660754800729,587.4451781671015,663.0670402227739,651.2116710462808,645.627275681235,661.6034939052083,663.988791844822,673.9117613592462,693.8693133652893,0.10855151603920245,0.05252831971259586,0.018625082952114246,0.02697671865090561,0.011999617330786923,0.013601820432279987,0.003457414188330766,0.005059695251642649,0.12092932311007193,0.05465010423349522,1.7
97.7%,1.0,569.7550803814296,584.008226519859,783.7926825391154,894.3884763903334,895.5562279134941,866.5496825994181,941.4756473894801,956.428846234853,919.6451392939405,974.6401810171218,0.23389151534704766,0.09418704461180745,0.02444556423132744,0.04013678294947532,0.01573236774281927,0.01859290495759946,0.004540111009011823,0.0069150194666920285,0.3041095964331765,0.12973505639012864,1.7000000000000006
99.9%,1.0,808.0918591040432,870.1418801520737,1170.8015621903198,1398.970576982277,1409.2761091060067,1455.0508579768984,1480.5757941670981,1550.3642920330678,1501.163008800249,1489.0667571811712,0.7547865243965299,0.22767509531980887,0.03746694926146875,0.07369401091092065,0.02245673865918229,0.029643948499734035,0.0064438013882151856,0.011163200378474179,1.300799361969002,0.3767315760285314,1.7000000000000013
max,1.0,958.9691849291885,1332.7979456576452,1374.2996233102488,2025.2946185707385,1809.969819884319,1687.7895853395569,2090.930397423416,2691.549692925889,1885.5757097789212,2083.064154522805,2.242157017860432,0.2695775578853474,0.042074882660180946,0.1221724629215243,0.028603529223045095,0.03798404541243262,0.007236241383067772,0.013385471687685987,4.747343792159515,0.7068814848879054,1.7000000000000022
