dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.30.67.012b-D.30.67.012b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,COST-replacement-irreparable,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.30.67.012b-D.30.67.012b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b,TIME-replacement-irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,16804.576449975557,83714.97744999845,134447.01238955779,97551.52730255606,50012.53068378696,128647.41480674941,204097.28555719624,59901.22442814467,1855.1194215591356,251.86199662731784,52.91141580923046,1081.1801202900854,182.33890675889907,42613.88699772498,2357.988287810542,14208.526977465475,20270.839581087577,4328.740792178225,49.369359290786946,8213.7781403307,41.0920023973694,3371.721188640839,572.6661633259387,577787.9601183727,16.793448211638122,83.56645607622326,108.01039242428298,79.06402098725252,56.68185943801651,102.43212080525574,162.5133489588557,47.62670972180454,1.8667905051049984,0.2717221177644965,0.05737479594221552,1.1838033026266153,0.1973405300305089,12.345646610088851,1.2627107695246151,16.79046141732816,24.634341137142393,1.294932868648584,0.022366999537440067,4.136205507121024,0.034058866310201906,1.1185705873411802,0.1674004194159985,59.12917126549507
std,14485.73638129751,30247.34062233735,50027.52465278352,86543.46486920325,46922.656532148,75726.09193956248,76918.22857917608,48376.32473882409,2202.457423380106,503.1222220101838,63.644832165786646,2240.437047243653,224.73198066184432,21399.942229484048,3162.5623068608525,11670.672869490832,12648.232608701634,15462.476828137045,486.0208330448343,10234.248659028592,165.5499948614936,4268.503039494612,3347.992964466232,1946377.9138153493,14.788403281453835,31.39325339498334,41.568674983362044,71.40578131066658,56.2186039659898,60.54460343241304,63.048805209529434,39.38039251566168,2.6015703799501115,0.5392524219334204,0.0716477207513372,2.5321305500847617,0.2507447135769909,7.14098746135452,1.4584235169602773,14.080341126990158,16.06596707287062,4.660323306697294,0.22422920694734258,3.750865038089197,0.1482030747105453,1.491152561253212,1.0066125980787564,199.18677863573808
log_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,55351.55026610599,87777.783044637,0.0,0.0,31882.234765568777,108225.0429383278,9357.805145796478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.56626219927197,67.22741720648995,0.0,0.0,25.471114077973514,84.31672203118076,7.052943726305372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.9%,2517.2659558745063,66645.94238643728,105831.60997921544,12026.816050970958,0.0,55851.79887636742,152420.83924687488,13341.479204745783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1361.9878156090276,0.0,0.0,0.0,198.96858941472217,0.0,0.0,0.0,0.0,2.5597251609412703,64.74925524887584,82.7486415325668,9.778176851546602,0.0,44.599439081713534,115.64166325153246,10.550726317499647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5286590966080076,0.0,0.0,0.0,0.2470475160496442,0.0,0.0,0.0,0.0
50%,12506.039074681714,88674.30669952481,140130.66313932504,75566.93442015235,42563.68664949263,124673.6677433845,220115.2547098181,45041.80781152063,1280.4640033471069,49.48088941814512,31.02367283146186,217.41479354814737,104.21919612209575,48452.39750709006,692.8841943266692,12086.887848070874,20243.42807576286,0.0,0.0,4153.306536315666,0.0,0.0,0.0,0.0,12.655051360670608,88.00361909998642,111.9898802030084,61.015712432566005,46.14840082056702,98.74222042699958,173.9652659646047,36.25678743630267,1.225384594930084,0.052210458568272014,0.03231713908297691,0.23195502090053283,0.11076969495318402,13.089487166760506,0.6900910202162083,13.947192058548294,24.750250154821423,0.0,0.0,3.3074076110303183,0.0,0.0,0.0,0.0
