comp_id,ds_seq_id,ds_sub_id
B1071.002,1,1
B1071.002,2,1
B1071.002,3,1
B1071.041,1,1
B1071.041,2,1
B1071.041,3,1
B2011.111,1,1
B2011.111,2,1
B2011.111,3,1
B3011.012,1,1
B3011.012,2,1
C1011.001a,1,1
C1011.001a,2,1
C1011.001a,3,1
C1011.011a,1,1
C1011.011a,2,1
C1011.011a,2,2
D2021.013a,1,1
D2021.013a,2,1
D2021.013b,1,1
D2021.023a,1,1
D2021.023a,2,1
D2021.023b,1,1
D2021.023b,2,1
D2031.013b,1,1
D3031.013a,1,1
D3031.013a,1,2
D3041.011c,1,1
D3041.011c,2,1
D3041.032c,1,1
D3041.102b,1,1
D3041.103a,1,1
D3041.103a,1,2
